[2024-03-26T08:23:07.740+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T08:23:07.751+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T08:23:07.752+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 3
[2024-03-26T08:23:07.767+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_connector_jar_task> on 2024-03-26 08:20:00.691315+00:00
[2024-03-26T08:23:07.775+0000] {standard_task_runner.py:60} INFO - Started process 256 to run task
[2024-03-26T08:23:07.777+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_connector_jar_task', 'manual__2024-03-26T08:20:00.691315+00:00', '--job-id', '301', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmp_y771cqk']
[2024-03-26T08:23:07.780+0000] {standard_task_runner.py:88} INFO - Job 301: Subtask download_connector_jar_task
[2024-03-26T08:23:07.869+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [running]> on host 4820cb2471ab
[2024-03-26T08:23:08.040+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T08:20:00.691315+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-26T08:20:00.691315+00:00'
[2024-03-26T08:23:08.043+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-26T08:23:08.045+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/spark-3.5-bigquery-0.36.1.jar https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar']
[2024-03-26T08:23:08.070+0000] {subprocess.py:86} INFO - Output:
[2024-03-26T08:23:08.080+0000] {subprocess.py:93} INFO - --2024-03-26 08:23:08--  https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar
[2024-03-26T08:23:08.194+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.155, 142.250.203.219, 142.250.186.219, ...
[2024-03-26T08:23:08.198+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.155|:443... connected.
[2024-03-26T08:23:08.705+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-26T08:23:08.706+0000] {subprocess.py:93} INFO - Length: 51434550 (49M) [application/java-archive]
[2024-03-26T08:23:08.707+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/spark-3.5-bigquery-0.36.1.jar’
[2024-03-26T08:23:08.708+0000] {subprocess.py:93} INFO - 
[2024-03-26T08:23:08.884+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  279K 3m0s
[2024-03-26T08:23:09.014+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  386K 2m35s
[2024-03-26T08:23:09.070+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0%  885K 2m2s
[2024-03-26T08:23:09.110+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0% 1.24M 1m41s
[2024-03-26T08:23:09.153+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 1.13M 90s
[2024-03-26T08:23:09.192+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 1.23M 81s
[2024-03-26T08:23:09.204+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 4.81M 71s
[2024-03-26T08:23:09.222+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  0% 2.50M 64s
[2024-03-26T08:23:09.238+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  0% 3.04M 59s
[2024-03-26T08:23:09.273+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  0% 1.39M 57s
[2024-03-26T08:23:09.293+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 2.56M 53s
[2024-03-26T08:23:09.300+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 8.48M 49s
[2024-03-26T08:23:09.301+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1% 62.3M 45s
[2024-03-26T08:23:09.319+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 2.66M 43s
[2024-03-26T08:23:09.320+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1% 16.6M 41s
[2024-03-26T08:23:09.334+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  1% 3.45M 39s
[2024-03-26T08:23:09.366+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  1% 1.57M 38s
[2024-03-26T08:23:09.368+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  1% 39.4M 36s
[2024-03-26T08:23:09.372+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  1% 24.0M 34s
[2024-03-26T08:23:09.373+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  1%  176M 33s
[2024-03-26T08:23:09.374+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  2%  187M 31s
[2024-03-26T08:23:09.375+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  2%  324M 30s
[2024-03-26T08:23:09.377+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  2% 9.60M 29s
[2024-03-26T08:23:09.394+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  2% 2.55M 28s
[2024-03-26T08:23:09.403+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 5.39M 27s
[2024-03-26T08:23:09.405+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 23.6M 26s
[2024-03-26T08:23:09.406+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2%  215M 25s
[2024-03-26T08:23:09.407+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 28.9M 24s
[2024-03-26T08:23:09.410+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 13.8M 24s
[2024-03-26T08:23:09.414+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 13.5M 23s
[2024-03-26T08:23:09.422+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 9.19M 22s
[2024-03-26T08:23:09.425+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 8.55M 22s
[2024-03-26T08:23:09.430+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 11.1M 21s
