[2024-03-26T08:23:41.463+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T08:23:41.476+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T08:23:41.477+0000] {taskinstance.py:2193} INFO - Starting attempt 3 of 4
[2024-03-26T08:23:41.510+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_connector_jar_task> on 2024-03-26 08:20:00.691315+00:00
[2024-03-26T08:23:41.528+0000] {standard_task_runner.py:60} INFO - Started process 271 to run task
[2024-03-26T08:23:41.535+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_connector_jar_task', 'manual__2024-03-26T08:20:00.691315+00:00', '--job-id', '303', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpcgvcokzv']
[2024-03-26T08:23:41.539+0000] {standard_task_runner.py:88} INFO - Job 303: Subtask download_connector_jar_task
[2024-03-26T08:23:41.606+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [running]> on host 4820cb2471ab
[2024-03-26T08:23:41.736+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T08:20:00.691315+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-26T08:20:00.691315+00:00'
[2024-03-26T08:23:41.739+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-26T08:23:41.742+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/spark-3.5-bigquery-0.36.1.jar https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar']
[2024-03-26T08:23:41.761+0000] {subprocess.py:86} INFO - Output:
[2024-03-26T08:23:41.772+0000] {subprocess.py:93} INFO - --2024-03-26 08:23:41--  https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar
[2024-03-26T08:23:41.788+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.155, 216.58.215.123, 216.58.208.219, ...
[2024-03-26T08:23:41.789+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.155|:443... connected.
[2024-03-26T08:23:42.076+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-26T08:23:42.077+0000] {subprocess.py:93} INFO - Length: 51434550 (49M) [application/java-archive]
[2024-03-26T08:23:42.078+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/spark-3.5-bigquery-0.36.1.jar’
[2024-03-26T08:23:42.079+0000] {subprocess.py:93} INFO - 
[2024-03-26T08:23:42.262+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  274K 3m3s
[2024-03-26T08:23:42.386+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  395K 2m35s
[2024-03-26T08:23:42.436+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0% 1000K 2m0s
[2024-03-26T08:23:42.484+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0% 1.05M 1m42s
[2024-03-26T08:23:42.526+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 1.13M 90s
[2024-03-26T08:23:42.559+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 1.51M 80s
[2024-03-26T08:23:42.579+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 3.01M 71s
[2024-03-26T08:23:42.598+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  0% 2.13M 65s
[2024-03-26T08:23:42.612+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  0% 3.39M 59s
[2024-03-26T08:23:42.628+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  0% 3.07M 55s
[2024-03-26T08:23:42.655+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 1.85M 52s
[2024-03-26T08:23:42.659+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 10.4M 48s
[2024-03-26T08:23:42.669+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1% 4.76M 45s
[2024-03-26T08:23:42.679+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 4.86M 43s
[2024-03-26T08:23:42.693+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1% 4.85M 40s
[2024-03-26T08:23:42.709+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  1% 2.47M 39s
[2024-03-26T08:23:42.710+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  1%  117M 37s
[2024-03-26T08:23:42.718+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  1% 5.62M 35s
[2024-03-26T08:23:42.726+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  1% 6.37M 34s
[2024-03-26T08:23:42.730+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  1% 12.5M 32s
[2024-03-26T08:23:42.738+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  2% 6.24M 31s
[2024-03-26T08:23:42.743+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  2% 8.65M 30s
[2024-03-26T08:23:42.749+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  2% 11.5M 29s
[2024-03-26T08:23:42.755+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  2% 7.01M 28s
[2024-03-26T08:23:42.762+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 6.87M 27s
[2024-03-26T08:23:42.765+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 13.1M 26s
[2024-03-26T08:23:42.771+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 8.43M 25s
[2024-03-26T08:23:42.778+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 7.12M 24s
[2024-03-26T08:23:42.782+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 14.2M 24s
[2024-03-26T08:23:42.785+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 12.8M 23s
[2024-03-26T08:23:42.792+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 9.60M 22s
[2024-03-26T08:23:42.797+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 7.60M 22s
[2024-03-26T08:23:42.804+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 7.12M 21s
[2024-03-26T08:23:42.806+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 24.6M 21s
[2024-03-26T08:23:42.809+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 13.0M 20s
[2024-03-26T08:23:42.817+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3% 6.72M 20s
[2024-03-26T08:23:42.818+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  3% 31.9M 19s
[2024-03-26T08:23:42.820+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  3% 21.2M 19s
[2024-03-26T08:23:42.831+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  3% 4.62M 19s
[2024-03-26T08:23:42.832+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  3% 33.6M 18s
[2024-03-26T08:23:42.848+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  4% 3.27M 18s
[2024-03-26T08:23:42.853+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  4% 10.2M 18s
[2024-03-26T08:23:42.854+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  4% 38.7M 17s
[2024-03-26T08:23:42.888+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  4% 89.0M 17s
[2024-03-26T08:23:42.913+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  4% 93.5M 17s
[2024-03-26T08:23:42.914+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  4% 62.0M 16s
[2024-03-26T08:23:42.915+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  4% 4.23M 16s
[2024-03-26T08:23:42.918+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  4% 12.2M 16s
[2024-03-26T08:23:42.920+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  4%  133M 15s
[2024-03-26T08:23:42.921+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  4%  135M 15s
[2024-03-26T08:23:42.926+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  5% 48.3M 15s
[2024-03-26T08:23:42.928+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  5% 20.7M 15s
[2024-03-26T08:23:42.964+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  5%  131M 14s
[2024-03-26T08:23:42.971+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  5% 13.1M 14s
[2024-03-26T08:23:42.977+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  5%  118M 14s
[2024-03-26T08:23:43.006+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  5%  119M 14s
[2024-03-26T08:23:43.016+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  5%  157M 13s
[2024-03-26T08:23:43.068+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  5% 2.16M 13s
[2024-03-26T08:23:43.078+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  5%  171M 13s
[2024-03-26T08:23:43.091+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  5% 5.13M 13s
[2024-03-26T08:23:43.102+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  6%  341M 13s
[2024-03-26T08:23:43.105+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  6%  328M 13s
[2024-03-26T08:23:43.110+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  6%  301M 12s
[2024-03-26T08:23:43.115+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  6%  329M 12s
[2024-03-26T08:23:43.120+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  6% 27.5M 12s
[2024-03-26T08:23:43.122+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  6% 12.7M 12s
[2024-03-26T08:23:43.126+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  6%  254M 12s
[2024-03-26T08:23:43.128+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  6%  354M 12s
[2024-03-26T08:23:43.129+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  6%  254M 11s
[2024-03-26T08:23:43.174+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  6% 40.2M 11s
[2024-03-26T08:23:43.201+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  7% 4.83M 11s
[2024-03-26T08:23:43.204+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  7% 2.28M 11s
[2024-03-26T08:23:43.206+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  7%  166M 11s
[2024-03-26T08:23:43.207+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  7%  153M 11s
[2024-03-26T08:23:43.213+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  7%  193M 11s
[2024-03-26T08:23:43.217+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  7%  221M 11s
[2024-03-26T08:23:43.220+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  7%  170M 11s
[2024-03-26T08:23:43.222+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  7%  152M 10s
[2024-03-26T08:23:43.224+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  7%  177M 10s
[2024-03-26T08:23:43.226+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  7%  147M 10s
[2024-03-26T08:23:43.227+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  8%  169M 10s
[2024-03-26T08:23:43.230+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  8% 3.95M 10s
[2024-03-26T08:23:43.230+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  8% 7.23M 10s
[2024-03-26T08:23:43.232+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  8% 5.08M 10s
[2024-03-26T08:23:43.248+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  8% 26.2M 10s
[2024-03-26T08:23:43.256+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  8% 65.3M 10s
[2024-03-26T08:23:43.263+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  8% 46.8M 10s
[2024-03-26T08:23:43.265+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  8% 5.85M 10s
[2024-03-26T08:23:43.268+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  8%  304M 9s
[2024-03-26T08:23:43.269+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  8% 68.2M 9s
[2024-03-26T08:23:43.270+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  9% 10.4M 9s
[2024-03-26T08:23:43.270+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  9%  164M 9s
[2024-03-26T08:23:43.271+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  9%  322M 9s
[2024-03-26T08:23:43.272+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  9% 73.4M 9s
[2024-03-26T08:23:43.273+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  9%  966K 9s
[2024-03-26T08:23:43.274+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  9% 20.0M 9s
[2024-03-26T08:23:43.276+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  9%  330M 9s
[2024-03-26T08:23:43.277+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  9% 64.9M 9s
[2024-03-26T08:23:43.289+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  9%  240M 9s
[2024-03-26T08:23:43.294+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  9% 90.9M 9s
[2024-03-26T08:23:43.295+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 10%  285M 9s
[2024-03-26T08:23:43.297+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 10%  284M 9s
[2024-03-26T08:23:43.305+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 10% 21.9M 9s
[2024-03-26T08:23:43.306+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 10% 82.4M 9s
[2024-03-26T08:23:43.306+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 10%  163M 8s
[2024-03-26T08:23:43.307+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 10% 6.20M 8s
[2024-03-26T08:23:43.309+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10% 1.46M 9s
[2024-03-26T08:23:43.318+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10%  237M 9s
[2024-03-26T08:23:43.323+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10%  295M 8s
[2024-03-26T08:23:43.326+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10%  228M 8s
[2024-03-26T08:23:43.338+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11%  174M 8s
[2024-03-26T08:23:43.356+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11% 3.66M 8s
[2024-03-26T08:23:43.359+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11% 16.9M 8s
[2024-03-26T08:23:43.365+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11% 26.2M 8s
[2024-03-26T08:23:43.370+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11% 58.7M 8s
[2024-03-26T08:23:43.374+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11%  196M 8s
[2024-03-26T08:23:43.379+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11%  269M 8s
[2024-03-26T08:23:43.389+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11%  252M 8s
