[2024-03-26T14:46:52.560+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T14:46:52.583+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T14:46:52.585+0000] {taskinstance.py:2193} INFO - Starting attempt 5 of 6
[2024-03-26T14:46:52.612+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_connector_jar_task> on 2024-03-26 08:20:00.691315+00:00
[2024-03-26T14:46:52.621+0000] {standard_task_runner.py:60} INFO - Started process 359 to run task
[2024-03-26T14:46:52.629+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_connector_jar_task', 'manual__2024-03-26T08:20:00.691315+00:00', '--job-id', '355', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpvug0p7bp']
[2024-03-26T14:46:52.640+0000] {standard_task_runner.py:88} INFO - Job 355: Subtask download_connector_jar_task
[2024-03-26T14:46:52.854+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [running]> on host d3d7fa608a49
[2024-03-26T14:46:53.102+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T08:20:00.691315+00:00' AIRFLOW_CTX_TRY_NUMBER='5' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-26T08:20:00.691315+00:00'
[2024-03-26T14:46:53.116+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-26T14:46:53.118+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/spark-3.5-bigquery-0.36.1.jar https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar']
[2024-03-26T14:46:53.175+0000] {subprocess.py:86} INFO - Output:
[2024-03-26T14:46:53.198+0000] {subprocess.py:93} INFO - --2024-03-26 14:46:53--  https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar
[2024-03-26T14:46:53.233+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 216.58.208.219, 216.58.215.91, 142.250.203.155, ...
[2024-03-26T14:46:53.235+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|216.58.208.219|:443... connected.
[2024-03-26T14:46:53.625+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-26T14:46:53.627+0000] {subprocess.py:93} INFO - Length: 51434550 (49M) [application/java-archive]
[2024-03-26T14:46:53.627+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/spark-3.5-bigquery-0.36.1.jar’
[2024-03-26T14:46:53.628+0000] {subprocess.py:93} INFO - 
[2024-03-26T14:46:53.830+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  245K 3m25s
[2024-03-26T14:46:53.966+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  367K 2m51s
[2024-03-26T14:46:54.011+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0% 1.08M 2m9s
[2024-03-26T14:46:54.096+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0%  595K 1m58s
[2024-03-26T14:46:54.106+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 4.56M 96s
[2024-03-26T14:46:54.182+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0%  656K 93s
[2024-03-26T14:46:54.197+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 3.53M 81s
[2024-03-26T14:46:54.216+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  0% 2.47M 74s
[2024-03-26T14:46:54.220+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  0% 11.8M 66s
[2024-03-26T14:46:54.237+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  0% 2.81M 61s
[2024-03-26T14:46:54.253+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 3.16M 57s
[2024-03-26T14:46:54.263+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 4.69M 53s
[2024-03-26T14:46:54.270+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1% 7.78M 49s
[2024-03-26T14:46:54.296+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 1.98M 47s
[2024-03-26T14:46:54.315+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1% 2.79M 45s
[2024-03-26T14:46:54.340+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  1% 2.14M 44s
[2024-03-26T14:46:54.342+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  1%  108M 41s
[2024-03-26T14:46:54.343+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  1%  119M 39s
[2024-03-26T14:46:54.346+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  1% 74.8M 37s
[2024-03-26T14:46:54.347+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  1% 99.2M 35s
[2024-03-26T14:46:54.353+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  2% 11.1M 34s
[2024-03-26T14:46:54.369+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  2%  231M 32s
[2024-03-26T14:46:54.371+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  2% 69.2M 31s
[2024-03-26T14:46:54.372+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  2% 2.28M 30s
[2024-03-26T14:46:54.373+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2%  213M 29s
[2024-03-26T14:46:54.374+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 17.6M 28s
[2024-03-26T14:46:54.377+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 28.2M 27s
[2024-03-26T14:46:54.378+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 88.8M 26s
[2024-03-26T14:46:54.380+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 4.14M 25s
[2024-03-26T14:46:54.392+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 4.26M 25s
[2024-03-26T14:46:54.401+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3% 5.51M 24s
[2024-03-26T14:46:54.404+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 14.3M 24s
[2024-03-26T14:46:54.410+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 8.41M 23s
