[2024-03-26T15:33:17.560+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T15:33:17.572+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T15:33:17.573+0000] {taskinstance.py:2193} INFO - Starting attempt 6 of 7
[2024-03-26T15:33:17.599+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_connector_jar_task> on 2024-03-26 08:20:00.691315+00:00
[2024-03-26T15:33:17.607+0000] {standard_task_runner.py:60} INFO - Started process 1172 to run task
[2024-03-26T15:33:17.611+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_connector_jar_task', 'manual__2024-03-26T08:20:00.691315+00:00', '--job-id', '361', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpowr_umlc']
[2024-03-26T15:33:17.614+0000] {standard_task_runner.py:88} INFO - Job 361: Subtask download_connector_jar_task
[2024-03-26T15:33:17.676+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [running]> on host d3d7fa608a49
[2024-03-26T15:33:17.786+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T08:20:00.691315+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-26T08:20:00.691315+00:00'
[2024-03-26T15:33:17.790+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-26T15:33:17.791+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/spark-3.5-bigquery-0.36.1.jar https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar']
[2024-03-26T15:33:17.804+0000] {subprocess.py:86} INFO - Output:
[2024-03-26T15:33:17.818+0000] {subprocess.py:93} INFO - --2024-03-26 15:33:17--  https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar
[2024-03-26T15:33:17.843+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 172.217.16.27, 172.217.16.59, 142.250.203.155, ...
[2024-03-26T15:33:17.844+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|172.217.16.27|:443... connected.
[2024-03-26T15:33:18.196+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-26T15:33:18.197+0000] {subprocess.py:93} INFO - Length: 51434550 (49M) [application/java-archive]
[2024-03-26T15:33:18.197+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/spark-3.5-bigquery-0.36.1.jar’
[2024-03-26T15:33:18.198+0000] {subprocess.py:93} INFO - 
[2024-03-26T15:33:18.298+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  490K 1m42s
[2024-03-26T15:33:18.401+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  482K 1m43s
[2024-03-26T15:33:18.411+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0% 5.20M 72s
