[2024-03-26T16:35:08.796+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T16:35:08.804+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [queued]>
[2024-03-26T16:35:08.805+0000] {taskinstance.py:2193} INFO - Starting attempt 8 of 9
[2024-03-26T16:35:08.816+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_connector_jar_task> on 2024-03-26 08:20:00.691315+00:00
[2024-03-26T16:35:08.821+0000] {standard_task_runner.py:60} INFO - Started process 2235 to run task
[2024-03-26T16:35:08.824+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_connector_jar_task', 'manual__2024-03-26T08:20:00.691315+00:00', '--job-id', '369', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpkbrheqm2']
[2024-03-26T16:35:08.826+0000] {standard_task_runner.py:88} INFO - Job 369: Subtask download_connector_jar_task
[2024-03-26T16:35:08.867+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_connector_jar_task manual__2024-03-26T08:20:00.691315+00:00 [running]> on host d3d7fa608a49
[2024-03-26T16:35:08.929+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T08:20:00.691315+00:00' AIRFLOW_CTX_TRY_NUMBER='8' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-26T08:20:00.691315+00:00'
[2024-03-26T16:35:08.932+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-26T16:35:08.934+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/spark-3.5-bigquery-0.36.1.jar https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar']
[2024-03-26T16:35:08.944+0000] {subprocess.py:86} INFO - Output:
[2024-03-26T16:35:08.953+0000] {subprocess.py:93} INFO - --2024-03-26 16:35:08--  https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar
[2024-03-26T16:35:08.988+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 216.58.209.27, 142.250.203.155, 142.250.186.219, ...
[2024-03-26T16:35:08.990+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|216.58.209.27|:443... connected.
[2024-03-26T16:35:09.327+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-26T16:35:09.328+0000] {subprocess.py:93} INFO - Length: 51434550 (49M) [application/java-archive]
[2024-03-26T16:35:09.328+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/spark-3.5-bigquery-0.36.1.jar’
[2024-03-26T16:35:09.328+0000] {subprocess.py:93} INFO - 
[2024-03-26T16:35:09.426+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  506K 99s
[2024-03-26T16:35:09.523+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  511K 99s
[2024-03-26T16:35:09.529+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0% 9.26M 67s
[2024-03-26T16:35:09.534+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0% 8.57M 52s
[2024-03-26T16:35:09.539+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 11.5M 42s
[2024-03-26T16:35:09.543+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 11.6M 36s
[2024-03-26T16:35:09.551+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 6.28M 32s
[2024-03-26T16:35:09.553+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  0%  155M 28s
[2024-03-26T16:35:09.555+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  0%  232M 25s
[2024-03-26T16:35:09.556+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  0%  124M 22s
[2024-03-26T16:35:09.558+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 37.5M 20s
[2024-03-26T16:35:09.560+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 36.3M 19s
[2024-03-26T16:35:09.562+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1% 30.8M 17s
[2024-03-26T16:35:09.569+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 11.0M 17s
[2024-03-26T16:35:09.572+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1% 15.1M 16s
[2024-03-26T16:35:09.574+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  1% 17.8M 15s
[2024-03-26T16:35:09.578+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  1% 16.3M 14s
[2024-03-26T16:35:09.580+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  1% 14.8M 13s
[2024-03-26T16:35:09.584+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  1% 7.45M 13s
[2024-03-26T16:35:09.585+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  1% 75.0M 12s
[2024-03-26T16:35:09.586+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  2% 9.42M 12s
[2024-03-26T16:35:09.587+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  2%  181M 12s
[2024-03-26T16:35:09.588+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  2% 21.7M 11s
[2024-03-26T16:35:09.591+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  2% 13.9M 11s
[2024-03-26T16:35:09.594+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  2% 19.1M 10s
[2024-03-26T16:35:09.622+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  2% 1.73M 11s
[2024-03-26T16:35:09.627+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  2% 15.5M 11s
[2024-03-26T16:35:09.635+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  2% 71.5M 10s
[2024-03-26T16:35:09.637+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  2% 37.3M 10s
[2024-03-26T16:35:09.639+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  2% 6.34M 10s
[2024-03-26T16:35:09.640+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  3%  172M 10s
[2024-03-26T16:35:09.643+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  3% 19.9M 9s
[2024-03-26T16:35:09.646+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  3% 13.3M 9s
[2024-03-26T16:35:09.647+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  3% 18.2M 9s
[2024-03-26T16:35:09.649+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  3% 24.0M 9s
[2024-03-26T16:35:09.651+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  3% 15.4M 9s
