[2024-03-28T10:04:38.511+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_BQ_connector_jar_task manual__2024-03-28T10:02:37.059426+00:00 [queued]>
[2024-03-28T10:04:38.537+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_BQ_connector_jar_task manual__2024-03-28T10:02:37.059426+00:00 [queued]>
[2024-03-28T10:04:38.538+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-03-28T10:04:38.596+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_BQ_connector_jar_task> on 2024-03-28 10:02:37.059426+00:00
[2024-03-28T10:04:38.602+0000] {standard_task_runner.py:60} INFO - Started process 69 to run task
[2024-03-28T10:04:38.605+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_BQ_connector_jar_task', 'manual__2024-03-28T10:02:37.059426+00:00', '--job-id', '435', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpaw21i_6d']
[2024-03-28T10:04:38.618+0000] {standard_task_runner.py:88} INFO - Job 435: Subtask download_BQ_connector_jar_task
[2024-03-28T10:04:38.740+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_BQ_connector_jar_task manual__2024-03-28T10:02:37.059426+00:00 [running]> on host d3d7fa608a49
[2024-03-28T10:04:38.908+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_BQ_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-28T10:02:37.059426+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-28T10:02:37.059426+00:00'
[2024-03-28T10:04:38.910+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-28T10:04:38.911+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/spark-3.5-bigquery-0.36.1.jar https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar']
[2024-03-28T10:04:38.942+0000] {subprocess.py:86} INFO - Output:
[2024-03-28T10:04:38.943+0000] {subprocess.py:93} INFO - --2024-03-28 10:04:38--  https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar
[2024-03-28T10:04:39.007+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 172.217.16.59, 142.250.186.219, 142.250.75.27, ...
[2024-03-28T10:04:39.009+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|172.217.16.59|:443... connected.
[2024-03-28T10:04:39.333+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-28T10:04:39.334+0000] {subprocess.py:93} INFO - Length: 51434550 (49M) [application/java-archive]
[2024-03-28T10:04:39.335+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/spark-3.5-bigquery-0.36.1.jar’
