[2024-03-28T16:45:23.132+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-28T10:02:37.059426+00:00 [queued]>
[2024-03-28T16:45:23.145+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-28T10:02:37.059426+00:00 [queued]>
[2024-03-28T16:45:23.145+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 3
[2024-03-28T16:45:23.163+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-03-28 10:02:37.059426+00:00
[2024-03-28T16:45:23.170+0000] {standard_task_runner.py:60} INFO - Started process 4916 to run task
[2024-03-28T16:45:23.178+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-03-28T10:02:37.059426+00:00', '--job-id', '474', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmposx7is0_']
[2024-03-28T16:45:23.181+0000] {standard_task_runner.py:88} INFO - Job 474: Subtask download_GCS_connector_jar_task
[2024-03-28T16:45:23.277+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-28T10:02:37.059426+00:00 [running]> on host d3d7fa608a49
[2024-03-28T16:45:23.400+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-28T10:02:37.059426+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-28T10:02:37.059426+00:00'
[2024-03-28T16:45:23.403+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-28T16:45:23.405+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-03-28T16:45:23.419+0000] {subprocess.py:86} INFO - Output:
[2024-03-28T16:45:23.427+0000] {subprocess.py:93} INFO - --2024-03-28 16:45:23--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-03-28T16:45:23.449+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.155, 142.250.75.27, 142.250.186.219, ...
[2024-03-28T16:45:23.450+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.155|:443... connected.
[2024-03-28T16:45:23.724+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-28T16:45:23.725+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-03-28T16:45:23.725+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
[2024-03-28T16:45:23.726+0000] {subprocess.py:93} INFO - 
[2024-03-28T16:45:23.908+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  273K 2m21s
[2024-03-28T16:45:24.037+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  386K 2m0s
[2024-03-28T16:45:24.084+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0% 1.04M 92s
[2024-03-28T16:45:24.134+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0% 1004K 78s
[2024-03-28T16:45:24.180+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 1.06M 70s
[2024-03-28T16:45:24.208+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 1.72M 62s
[2024-03-28T16:45:24.229+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 2.78M 55s
