[2024-03-29T11:28:53.724+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:27:05.130804+00:00 [queued]>
[2024-03-29T11:28:53.776+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:27:05.130804+00:00 [queued]>
[2024-03-29T11:28:53.777+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-03-29T11:28:53.863+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-03-29 11:27:05.130804+00:00
[2024-03-29T11:28:53.885+0000] {standard_task_runner.py:60} INFO - Started process 73 to run task
[2024-03-29T11:28:53.916+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-03-29T11:27:05.130804+00:00', '--job-id', '488', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpokqucigm']
[2024-03-29T11:28:53.931+0000] {standard_task_runner.py:88} INFO - Job 488: Subtask download_GCS_connector_jar_task
[2024-03-29T11:28:54.218+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:27:05.130804+00:00 [running]> on host d3d7fa608a49
[2024-03-29T11:28:54.600+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:27:05.130804+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:27:05.130804+00:00'
[2024-03-29T11:28:54.614+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:28:54.616+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-03-29T11:28:54.680+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:28:55.228+0000] {subprocess.py:93} INFO - --2024-03-29 11:28:55--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-03-29T11:28:55.343+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.75.27, 142.250.186.219, 142.250.203.219, ...
[2024-03-29T11:28:55.348+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.75.27|:443... connected.
[2024-03-29T11:28:55.718+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:28:55.720+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-03-29T11:28:55.731+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
[2024-03-29T11:28:55.734+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:28:55.925+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  240K 2m40s
[2024-03-29T11:28:56.138+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  235K 2m41s
[2024-03-29T11:28:56.144+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0% 7.81M 1m49s
[2024-03-29T11:28:56.176+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0% 1.54M 88s
[2024-03-29T11:28:56.209+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 1.47M 75s
[2024-03-29T11:28:56.230+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 2.31M 65s
[2024-03-29T11:28:56.250+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 2.61M 58s
[2024-03-29T11:28:56.274+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  1% 1.93M 53s
[2024-03-29T11:28:56.300+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  1% 1.95M 49s
[2024-03-29T11:28:56.306+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  1% 7.34M 45s
[2024-03-29T11:28:56.329+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 2.13M 42s
[2024-03-29T11:28:56.343+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 14.9M 39s
[2024-03-29T11:28:56.419+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1%  727K 40s
[2024-03-29T11:28:56.423+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 32.5M 37s
[2024-03-29T11:28:56.435+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1% 3.22M 35s
[2024-03-29T11:28:56.446+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  2% 4.03M 34s
[2024-03-29T11:28:56.462+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  2%  164M 32s
[2024-03-29T11:28:56.478+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  2%  121M 30s
[2024-03-29T11:28:56.484+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  2%  128M 28s
[2024-03-29T11:28:56.562+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  2%  131M 27s
[2024-03-29T11:28:56.635+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  2%  157M 25s
[2024-03-29T11:28:56.819+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  2%  385M 24s
[2024-03-29T11:28:56.902+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  2%  296K 29s
[2024-03-29T11:28:56.909+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  3% 57.1M 27s
[2024-03-29T11:28:56.934+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3% 3.15M 27s
[2024-03-29T11:28:56.944+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3%  321M 26s
[2024-03-29T11:28:56.957+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3%  311M 25s
[2024-03-29T11:28:57.001+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3%  285M 24s
[2024-03-29T11:28:57.076+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3%  335M 23s
[2024-03-29T11:28:57.130+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3%  236M 22s
[2024-03-29T11:28:57.131+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4%  448M 21s
[2024-03-29T11:28:57.132+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4%  327M 21s
[2024-03-29T11:28:57.151+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4%  360M 20s
[2024-03-29T11:28:57.157+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4%  479M 19s
[2024-03-29T11:28:57.175+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4%  472M 19s
[2024-03-29T11:28:57.195+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4%  418M 18s
[2024-03-29T11:28:57.197+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4%  288M 18s
[2024-03-29T11:28:57.212+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4%  345M 17s
[2024-03-29T11:28:57.213+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5%  385M 17s
[2024-03-29T11:28:57.232+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5%  311M 16s
[2024-03-29T11:28:57.237+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5%  333M 16s
[2024-03-29T11:28:57.294+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5%  559M 16s
[2024-03-29T11:28:57.294+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5%  295K 18s
[2024-03-29T11:28:57.294+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5%  289M 18s
[2024-03-29T11:28:57.295+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5%  312M 17s
[2024-03-29T11:28:57.296+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5%  431M 17s
[2024-03-29T11:28:57.297+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6%  349M 16s
[2024-03-29T11:28:57.297+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6%  386M 16s
[2024-03-29T11:28:57.297+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6%  369M 16s
[2024-03-29T11:28:57.298+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6%  429M 15s
[2024-03-29T11:28:57.298+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6%  435M 15s
[2024-03-29T11:28:57.298+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6%  437M 15s
[2024-03-29T11:28:57.299+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  6%  727K 15s
[2024-03-29T11:28:57.311+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  7%  387M 15s
[2024-03-29T11:28:57.312+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  7%  440M 15s
[2024-03-29T11:28:57.316+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  7%  434M 15s
[2024-03-29T11:28:57.340+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  7%  310M 14s
