[2024-03-29T11:42:22.053+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:29:40.107681+00:00 [queued]>
[2024-03-29T11:42:22.116+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:29:40.107681+00:00 [queued]>
[2024-03-29T11:42:22.117+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-03-29T11:42:22.219+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-03-29 11:29:40.107681+00:00
[2024-03-29T11:42:22.242+0000] {standard_task_runner.py:60} INFO - Started process 203 to run task
[2024-03-29T11:42:22.298+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-03-29T11:29:40.107681+00:00', '--job-id', '517', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpudo4gk9d']
[2024-03-29T11:42:22.336+0000] {standard_task_runner.py:88} INFO - Job 517: Subtask download_GCS_connector_jar_task
[2024-03-29T11:42:22.591+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:29:40.107681+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:42:23.064+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:29:40.107681+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:29:40.107681+00:00'
[2024-03-29T11:42:23.067+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:42:23.097+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-03-29T11:42:23.159+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:42:23.231+0000] {subprocess.py:93} INFO - --2024-03-29 11:42:23--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-03-29T11:42:23.292+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.219, 172.217.16.59, 142.250.203.155, ...
[2024-03-29T11:42:23.300+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.219|:443... connected.
[2024-03-29T11:42:23.584+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:42:23.584+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-03-29T11:42:23.585+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
[2024-03-29T11:42:23.585+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:42:23.801+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  233K 2m44s
[2024-03-29T11:42:23.925+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  395K 2m11s
[2024-03-29T11:42:23.975+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0%  984K 1m40s
[2024-03-29T11:42:24.041+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0%  762K 87s
[2024-03-29T11:42:24.128+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0%  605K 82s
[2024-03-29T11:42:24.142+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 12.3M 69s
[2024-03-29T11:42:24.154+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0%  141M 59s
[2024-03-29T11:42:24.168+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  1% 1.94M 54s
[2024-03-29T11:42:24.190+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  1% 3.79M 49s
[2024-03-29T11:42:24.204+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  1% 1.48M 47s
[2024-03-29T11:42:24.218+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 2.55M 44s
[2024-03-29T11:42:24.292+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 8.18M 40s
[2024-03-29T11:42:24.332+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1% 6.28M 38s
[2024-03-29T11:42:24.336+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 8.82M 35s
[2024-03-29T11:42:24.365+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1% 1.13M 35s
[2024-03-29T11:42:24.376+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  2%  195M 33s
[2024-03-29T11:42:24.387+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  2%  717K 34s
[2024-03-29T11:42:24.393+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  2%  207M 32s
[2024-03-29T11:42:24.402+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  2%  166M 30s
[2024-03-29T11:42:24.411+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  2%  191M 29s
[2024-03-29T11:42:24.424+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  2%  703K 30s
[2024-03-29T11:42:24.483+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  2% 1021K 30s
[2024-03-29T11:42:24.544+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  2%  254M 29s
[2024-03-29T11:42:24.550+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  3% 1.13M 29s
[2024-03-29T11:42:24.591+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3%  367M 28s
[2024-03-29T11:42:24.606+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3%  425M 27s
[2024-03-29T11:42:24.622+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3% 2.65M 26s
[2024-03-29T11:42:24.701+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3%  229M 25s
[2024-03-29T11:42:24.728+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3% 45.9M 24s
[2024-03-29T11:42:24.784+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3% 6.27M 24s
