[2024-03-29T11:42:21.880+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:30:08.676450+00:00 [queued]>
[2024-03-29T11:42:21.951+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:30:08.676450+00:00 [queued]>
[2024-03-29T11:42:21.954+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-03-29T11:42:22.067+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-03-29 11:30:08.676450+00:00
[2024-03-29T11:42:22.115+0000] {standard_task_runner.py:60} INFO - Started process 202 to run task
[2024-03-29T11:42:22.130+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-03-29T11:30:08.676450+00:00', '--job-id', '516', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpjjgdu3ya']
[2024-03-29T11:42:22.143+0000] {standard_task_runner.py:88} INFO - Job 516: Subtask download_GCS_connector_jar_task
[2024-03-29T11:42:22.334+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:30:08.676450+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:42:22.843+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:30:08.676450+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:30:08.676450+00:00'
[2024-03-29T11:42:22.848+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:42:22.851+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-03-29T11:42:23.016+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:42:23.069+0000] {subprocess.py:93} INFO - --2024-03-29 11:42:23--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-03-29T11:42:23.140+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.219, 172.217.16.59, 142.250.203.155, ...
[2024-03-29T11:42:23.142+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.219|:443... connected.
[2024-03-29T11:42:23.483+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:42:23.485+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-03-29T11:42:23.487+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
