[2024-03-29T11:42:21.563+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:30:13.527654+00:00 [queued]>
[2024-03-29T11:42:21.651+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:30:13.527654+00:00 [queued]>
[2024-03-29T11:42:21.657+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-03-29T11:42:21.849+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-03-29 11:30:13.527654+00:00
[2024-03-29T11:42:21.872+0000] {standard_task_runner.py:60} INFO - Started process 201 to run task
[2024-03-29T11:42:21.956+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-03-29T11:30:13.527654+00:00', '--job-id', '515', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmp48ecggee']
[2024-03-29T11:42:22.000+0000] {standard_task_runner.py:88} INFO - Job 515: Subtask download_GCS_connector_jar_task
[2024-03-29T11:42:22.270+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:30:13.527654+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:42:22.665+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:30:13.527654+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:30:13.527654+00:00'
[2024-03-29T11:42:22.674+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:42:22.719+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-03-29T11:42:22.854+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:42:22.915+0000] {subprocess.py:93} INFO - --2024-03-29 11:42:22--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-03-29T11:42:23.031+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.219, 172.217.16.59, 142.250.203.155, ...
[2024-03-29T11:42:23.033+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.219|:443... connected.
[2024-03-29T11:42:23.308+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:42:23.309+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-03-29T11:42:23.310+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
[2024-03-29T11:42:23.312+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:42:23.506+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  254K 2m31s
[2024-03-29T11:42:23.638+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  377K 2m6s
[2024-03-29T11:42:23.695+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0%  883K 99s
[2024-03-29T11:42:23.768+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0%  682K 88s
[2024-03-29T11:42:23.807+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 1.25M 76s
[2024-03-29T11:42:23.820+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 3.68M 65s
[2024-03-29T11:42:23.837+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 3.16M 57s
[2024-03-29T11:42:23.881+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  1% 1.09M 54s
[2024-03-29T11:42:23.908+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  1% 1.81M 51s
[2024-03-29T11:42:23.918+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  1% 6.16M 46s
[2024-03-29T11:42:23.934+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 8.97M 42s
[2024-03-29T11:42:23.937+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 3.22M 40s
[2024-03-29T11:42:23.961+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1% 2.09M 38s
[2024-03-29T11:42:23.977+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 19.8M 35s
[2024-03-29T11:42:23.981+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1% 3.05M 34s
[2024-03-29T11:42:23.985+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  2% 28.0M 32s
[2024-03-29T11:42:24.030+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  2% 1.67M 31s
[2024-03-29T11:42:24.095+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  2% 20.5M 29s
[2024-03-29T11:42:24.096+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  2%  218M 28s
[2024-03-29T11:42:24.099+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  2%  193M 26s
