[2024-03-29T11:42:21.066+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:33:06.238124+00:00 [queued]>
[2024-03-29T11:42:21.130+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:33:06.238124+00:00 [queued]>
[2024-03-29T11:42:21.134+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-03-29T11:42:21.300+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-03-29 11:33:06.238124+00:00
[2024-03-29T11:42:21.399+0000] {standard_task_runner.py:60} INFO - Started process 198 to run task
[2024-03-29T11:42:21.461+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-03-29T11:33:06.238124+00:00', '--job-id', '513', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmp995rggk6']
[2024-03-29T11:42:21.517+0000] {standard_task_runner.py:88} INFO - Job 513: Subtask download_GCS_connector_jar_task
[2024-03-29T11:42:21.916+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:33:06.238124+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:42:22.427+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:33:06.238124+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:33:06.238124+00:00'
[2024-03-29T11:42:22.435+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:42:22.452+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-03-29T11:42:22.573+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:42:22.578+0000] {subprocess.py:93} INFO - --2024-03-29 11:42:22--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-03-29T11:42:22.814+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.219, 172.217.16.59, 142.250.203.155, ...
[2024-03-29T11:42:22.818+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.219|:443... connected.
[2024-03-29T11:42:23.094+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:42:23.109+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-03-29T11:42:23.115+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
[2024-03-29T11:42:23.118+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:42:23.296+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  249K 2m34s
[2024-03-29T11:42:23.430+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  373K 2m8s
[2024-03-29T11:42:23.484+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0%  933K 99s
[2024-03-29T11:42:23.548+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0%  788K 86s
[2024-03-29T11:42:23.577+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 1.92M 73s
[2024-03-29T11:42:23.603+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 1.64M 64s
[2024-03-29T11:42:23.629+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 2.33M 57s
[2024-03-29T11:42:23.644+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  1% 2.55M 52s
[2024-03-29T11:42:23.665+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  1% 2.24M 48s
[2024-03-29T11:42:23.736+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  1%  709K 49s
[2024-03-29T11:42:23.772+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 1.31M 47s
[2024-03-29T11:42:23.783+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  1% 14.7M 43s
[2024-03-29T11:42:23.784+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  1% 8.41M 40s
[2024-03-29T11:42:23.786+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  1% 80.3M 37s
[2024-03-29T11:42:23.787+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  1%  136M 35s
[2024-03-29T11:42:23.789+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  2%  153M 32s
[2024-03-29T11:42:23.796+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  2%  177M 30s
[2024-03-29T11:42:23.813+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  2% 1.67M 30s
[2024-03-29T11:42:23.882+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  2%  901K 30s
[2024-03-29T11:42:23.912+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  2%  104M 29s
[2024-03-29T11:42:23.929+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  2%  118M 28s
[2024-03-29T11:42:23.962+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  2%  414M 26s
[2024-03-29T11:42:24.214+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  2%  481M 25s
[2024-03-29T11:42:24.321+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  3%  234M 24s
[2024-03-29T11:42:24.337+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  3%  273M 23s
[2024-03-29T11:42:24.363+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  3%  122M 22s
[2024-03-29T11:42:24.377+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  3%  164M 21s
[2024-03-29T11:42:24.388+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  3%  350M 20s
[2024-03-29T11:42:24.394+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  3%  227M 20s
[2024-03-29T11:42:24.410+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  3%  460K 22s
[2024-03-29T11:42:24.414+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  4% 36.5M 21s
[2024-03-29T11:42:24.427+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  4%  985K 22s
[2024-03-29T11:42:24.591+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  4%  440K 23s
[2024-03-29T11:42:24.645+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  4%  269M 23s
[2024-03-29T11:42:24.720+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  4% 68.3M 22s
[2024-03-29T11:42:24.797+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  4%  111M 21s
[2024-03-29T11:42:24.839+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  4% 2.18M 21s
[2024-03-29T11:42:24.882+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  4% 14.9M 21s
[2024-03-29T11:42:24.941+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  5% 13.8M 20s
[2024-03-29T11:42:24.948+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  5% 31.9M 20s
[2024-03-29T11:42:24.971+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  5%  298M 19s
[2024-03-29T11:42:25.032+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5% 13.6M 19s
[2024-03-29T11:42:25.090+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5%  120M 18s
[2024-03-29T11:42:25.106+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5%  115M 18s
[2024-03-29T11:42:25.203+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5% 59.2M 17s
[2024-03-29T11:42:25.219+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5%  200M 17s
[2024-03-29T11:42:25.225+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6%  358M 17s
[2024-03-29T11:42:25.231+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6% 46.9M 16s
[2024-03-29T11:42:25.240+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6% 19.5M 16s
[2024-03-29T11:42:25.259+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6% 20.1M 16s
[2024-03-29T11:42:25.293+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6% 97.3M 15s
[2024-03-29T11:42:25.312+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6%  347M 15s
