[2024-04-02T13:54:14.408+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:33:06.238124+00:00 [queued]>
[2024-04-02T13:54:14.417+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:33:06.238124+00:00 [queued]>
[2024-04-02T13:54:14.418+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 3
[2024-04-02T13:54:14.432+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-03-29 11:33:06.238124+00:00
[2024-04-02T13:54:14.439+0000] {standard_task_runner.py:60} INFO - Started process 196 to run task
[2024-04-02T13:54:14.441+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-03-29T11:33:06.238124+00:00', '--job-id', '676', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmph6z429oi']
[2024-04-02T13:54:14.444+0000] {standard_task_runner.py:88} INFO - Job 676: Subtask download_GCS_connector_jar_task
[2024-04-02T13:54:14.491+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-03-29T11:33:06.238124+00:00 [running]> on host 0f6b1d3e95d8
[2024-04-02T13:54:14.586+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:33:06.238124+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:33:06.238124+00:00'
[2024-04-02T13:54:14.588+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T13:54:14.589+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-04-02T13:54:14.605+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T13:54:14.613+0000] {subprocess.py:93} INFO - --2024-04-02 13:54:14--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-04-02T13:54:14.638+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.219, 142.250.186.219, 216.58.208.219, ...
[2024-04-02T13:54:14.639+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.219|:443... connected.
[2024-04-02T13:54:14.904+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T13:54:14.905+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-04-02T13:54:14.906+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
[2024-04-02T13:54:14.907+0000] {subprocess.py:93} INFO - 
[2024-04-02T13:54:15.106+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  248K 2m35s
[2024-04-02T13:54:15.237+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  380K 2m8s
