[2024-04-02T14:06:47.321+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-04-02T14:06:40.408956+00:00 [queued]>
[2024-04-02T14:06:47.357+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-04-02T14:06:40.408956+00:00 [queued]>
[2024-04-02T14:06:47.358+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 2
[2024-04-02T14:06:47.402+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_GCS_connector_jar_task> on 2024-04-02 14:06:40.408956+00:00
[2024-04-02T14:06:47.409+0000] {standard_task_runner.py:60} INFO - Started process 110 to run task
[2024-04-02T14:06:47.417+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_GCS_connector_jar_task', 'manual__2024-04-02T14:06:40.408956+00:00', '--job-id', '681', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmp81ioi30t']
[2024-04-02T14:06:47.420+0000] {standard_task_runner.py:88} INFO - Job 681: Subtask download_GCS_connector_jar_task
[2024-04-02T14:06:47.495+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_GCS_connector_jar_task manual__2024-04-02T14:06:40.408956+00:00 [running]> on host e9eb88e3fe4c
[2024-04-02T14:06:47.648+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_GCS_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-04-02T14:06:40.408956+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-02T14:06:40.408956+00:00'
[2024-04-02T14:06:47.653+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T14:06:47.655+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/gcs-connector-latest-hadoop3.jar https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar']
[2024-04-02T14:06:47.706+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T14:06:48.108+0000] {subprocess.py:93} INFO - --2024-04-02 14:06:48--  https://storage.googleapis.com/hadoop-lib/gcs/gcs-connector-latest-hadoop3.jar
[2024-04-02T14:06:48.188+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 216.58.209.27, 142.250.203.155, 172.217.16.59, ...
[2024-04-02T14:06:48.190+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|216.58.209.27|:443... connected.
[2024-04-02T14:06:48.538+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T14:06:48.539+0000] {subprocess.py:93} INFO - Length: 39359477 (38M) [application/java-archive]
[2024-04-02T14:06:48.540+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/gcs-connector-latest-hadoop3.jar’
