[2024-03-26T08:25:15.139+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task scheduled__2024-03-26T08:19:35.384419+00:00 [queued]>
[2024-03-26T08:25:15.154+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: data_crime_process_dag.download_connector_jar_task scheduled__2024-03-26T08:19:35.384419+00:00 [queued]>
[2024-03-26T08:25:15.155+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-26T08:25:15.176+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_connector_jar_task> on 2024-03-26 08:19:35.384419+00:00
[2024-03-26T08:25:15.185+0000] {standard_task_runner.py:60} INFO - Started process 313 to run task
[2024-03-26T08:25:15.193+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'data_crime_process_dag', 'download_connector_jar_task', 'scheduled__2024-03-26T08:19:35.384419+00:00', '--job-id', '306', '--raw', '--subdir', 'DAGS_FOLDER/data_transformation.py', '--cfg-path', '/tmp/tmpoiwz1spx']
[2024-03-26T08:25:15.196+0000] {standard_task_runner.py:88} INFO - Job 306: Subtask download_connector_jar_task
[2024-03-26T08:25:15.253+0000] {task_command.py:423} INFO - Running <TaskInstance: data_crime_process_dag.download_connector_jar_task scheduled__2024-03-26T08:19:35.384419+00:00 [running]> on host 4820cb2471ab
[2024-03-26T08:25:15.346+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='data_crime_process_dag' AIRFLOW_CTX_TASK_ID='download_connector_jar_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T08:19:35.384419+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-26T08:19:35.384419+00:00'
[2024-03-26T08:25:15.348+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-26T08:25:15.349+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/spark-3.5-bigquery-0.36.1.jar https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar']
[2024-03-26T08:25:15.365+0000] {subprocess.py:86} INFO - Output:
[2024-03-26T08:25:15.378+0000] {subprocess.py:93} INFO - --2024-03-26 08:25:15--  https://storage.googleapis.com/spark-lib/bigquery/spark-3.5-bigquery-0.36.1.jar
[2024-03-26T08:25:15.397+0000] {subprocess.py:93} INFO - Resolving storage.googleapis.com (storage.googleapis.com)... 142.250.203.155, 216.58.215.123, 216.58.208.219, ...
[2024-03-26T08:25:15.398+0000] {subprocess.py:93} INFO - Connecting to storage.googleapis.com (storage.googleapis.com)|142.250.203.155|:443... connected.
[2024-03-26T08:25:15.682+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-26T08:25:15.683+0000] {subprocess.py:93} INFO - Length: 51434550 (49M) [application/java-archive]
[2024-03-26T08:25:15.683+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/spark-3.5-bigquery-0.36.1.jar’
[2024-03-26T08:25:15.684+0000] {subprocess.py:93} INFO - 
[2024-03-26T08:25:15.866+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  0%  274K 3m3s
[2024-03-26T08:25:15.995+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  0%  388K 2m36s
[2024-03-26T08:25:16.045+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  0% 1006K 2m1s
[2024-03-26T08:25:16.097+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  0%  956K 1m44s
[2024-03-26T08:25:16.135+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  0% 1.28M 90s
[2024-03-26T08:25:16.168+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  0% 1.47M 81s
[2024-03-26T08:25:16.189+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  0% 2.90M 72s
[2024-03-26T08:25:16.207+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  0% 2.35M 65s
[2024-03-26T08:25:16.225+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  0% 2.69M 60s
[2024-03-26T08:25:16.238+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  0% 3.40M 55s
[2024-03-26T08:25:16.254+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  1% 3.05M 52s
