[2024-03-29T11:40:50.702+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_1_task manual__2024-03-28T07:31:49.089267+00:00 [queued]>
[2024-03-29T11:40:50.802+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_1_task manual__2024-03-28T07:31:49.089267+00:00 [queued]>
[2024-03-29T11:40:50.836+0000] {taskinstance.py:2193} INFO - Starting attempt 3 of 3
[2024-03-29T11:40:51.165+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-28 07:31:49.089267+00:00
[2024-03-29T11:40:51.313+0000] {standard_task_runner.py:60} INFO - Started process 125 to run task
[2024-03-29T11:40:51.322+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_1_task', 'manual__2024-03-28T07:31:49.089267+00:00', '--job-id', '505', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp1k2tydre']
[2024-03-29T11:40:51.326+0000] {standard_task_runner.py:88} INFO - Job 505: Subtask download_dataset_1_task
[2024-03-29T11:40:52.056+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_1_task manual__2024-03-28T07:31:49.089267+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:40:53.311+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-28T07:31:49.089267+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-28T07:31:49.089267+00:00'
[2024-03-29T11:40:53.353+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:40:53.403+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-29T11:40:53.637+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:40:53.763+0000] {subprocess.py:93} INFO - --2024-03-29 11:40:53--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-29T11:40:56.131+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-03-29T11:40:56.147+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-29T11:40:57.309+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:40:57.310+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-29T11:40:57.310+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-29T11:40:57.311+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:40:57.419+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  455K
[2024-03-29T11:40:57.525+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  474K
[2024-03-29T11:40:57.634+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  458K
[2024-03-29T11:40:57.942+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  260K
[2024-03-29T11:40:57.977+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  988K
[2024-03-29T11:40:57.983+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  599M
[2024-03-29T11:40:58.070+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  586K
[2024-03-29T11:40:58.084+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  432K
[2024-03-29T11:40:58.176+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  509K
[2024-03-29T11:40:58.279+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  488K
[2024-03-29T11:40:58.398+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  457K
[2024-03-29T11:40:58.412+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 2.73M
[2024-03-29T11:40:58.500+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  530K
[2024-03-29T11:40:58.615+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  465K
[2024-03-29T11:40:58.709+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 5.54M
[2024-03-29T11:40:58.722+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  480K
[2024-03-29T11:40:58.896+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  287K
[2024-03-29T11:40:58.941+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 1.07M
[2024-03-29T11:40:58.990+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 1.90M
[2024-03-29T11:40:59.062+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  521K
[2024-03-29T11:40:59.185+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  408K
[2024-03-29T11:40:59.292+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  568K
[2024-03-29T11:40:59.317+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 2.10M
