[2024-03-29T11:40:50.381+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-28T07:31:49.089267+00:00 [queued]>
[2024-03-29T11:40:50.522+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-28T07:31:49.089267+00:00 [queued]>
[2024-03-29T11:40:50.537+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-29T11:40:50.678+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-28 07:31:49.089267+00:00
[2024-03-29T11:40:50.717+0000] {standard_task_runner.py:60} INFO - Started process 113 to run task
[2024-03-29T11:40:50.773+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_3_task', 'manual__2024-03-28T07:31:49.089267+00:00', '--job-id', '494', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmps5w927yv']
[2024-03-29T11:40:50.791+0000] {standard_task_runner.py:88} INFO - Job 494: Subtask download_dataset_3_task
[2024-03-29T11:40:51.228+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-28T07:31:49.089267+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:40:52.893+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-28T07:31:49.089267+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-28T07:31:49.089267+00:00'
[2024-03-29T11:40:52.981+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:40:52.991+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-29T11:40:53.364+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:40:53.663+0000] {subprocess.py:93} INFO - --2024-03-29 11:40:53--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-29T11:40:56.134+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-03-29T11:40:56.139+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-29T11:40:57.394+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:40:57.395+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-29T11:40:57.395+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-29T11:40:57.396+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:40:57.510+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  431K
[2024-03-29T11:40:57.612+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  496K
[2024-03-29T11:40:57.865+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  212K
[2024-03-29T11:40:57.894+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 12.3M
[2024-03-29T11:40:57.903+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  212M
[2024-03-29T11:40:57.956+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  521K
[2024-03-29T11:40:58.061+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  439K
[2024-03-29T11:40:58.163+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  492K
[2024-03-29T11:40:58.202+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 1.23M
[2024-03-29T11:40:58.267+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  771K
[2024-03-29T11:40:58.389+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  412K
[2024-03-29T11:40:58.406+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 3.07M
[2024-03-29T11:40:58.497+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  640K
[2024-03-29T11:40:58.595+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  446K
[2024-03-29T11:40:58.697+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 11.1M
[2024-03-29T11:40:58.702+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  508K
[2024-03-29T11:40:58.872+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  295K
[2024-03-29T11:40:58.908+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 1.34M
[2024-03-29T11:40:58.927+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 2.03M
[2024-03-29T11:40:59.042+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  438K
[2024-03-29T11:40:59.076+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 1.44M
[2024-03-29T11:40:59.157+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  614K
[2024-03-29T11:40:59.255+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  604M
[2024-03-29T11:40:59.266+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  467K
[2024-03-29T11:40:59.388+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  417K
[2024-03-29T11:40:59.395+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  326M
[2024-03-29T11:40:59.475+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  548K
[2024-03-29T11:40:59.577+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  492K
[2024-03-29T11:40:59.583+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 8.19M
[2024-03-29T11:40:59.700+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  442K
