[2024-03-28T07:32:28.154+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task manual__2024-03-28T07:31:49.089267+00:00 [queued]>
[2024-03-28T07:32:28.242+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task manual__2024-03-28T07:31:49.089267+00:00 [queued]>
[2024-03-28T07:32:28.252+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-28T07:32:28.629+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-28 07:31:49.089267+00:00
[2024-03-28T07:32:28.687+0000] {standard_task_runner.py:60} INFO - Started process 176 to run task
[2024-03-28T07:32:28.727+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_4_task', 'manual__2024-03-28T07:31:49.089267+00:00', '--job-id', '385', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpj3ufix7f']
[2024-03-28T07:32:28.798+0000] {standard_task_runner.py:88} INFO - Job 385: Subtask download_dataset_4_task
[2024-03-28T07:32:29.628+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_4_task manual__2024-03-28T07:31:49.089267+00:00 [running]> on host d3d7fa608a49
[2024-03-28T07:32:32.000+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-28T07:31:49.089267+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-28T07:31:49.089267+00:00'
[2024-03-28T07:32:32.105+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-28T07:32:32.137+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-28T07:32:32.758+0000] {subprocess.py:86} INFO - Output:
[2024-03-28T07:32:33.149+0000] {subprocess.py:93} INFO - --2024-03-28 07:32:33--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-28T07:32:35.773+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-28T07:32:35.806+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-28T07:32:36.517+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-28T07:32:36.519+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-28T07:32:36.520+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-28T07:32:36.521+0000] {subprocess.py:93} INFO - 
[2024-03-28T07:32:36.626+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  460K
[2024-03-28T07:32:36.756+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  387K
[2024-03-28T07:32:36.866+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  455K
[2024-03-28T07:32:36.872+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 9.61M
[2024-03-28T07:32:36.975+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  479K
[2024-03-28T07:32:37.101+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  419K
[2024-03-28T07:32:37.213+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  446K
[2024-03-28T07:32:37.242+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 1.39M
[2024-03-28T07:32:37.365+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  409K
[2024-03-28T07:32:37.498+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  419K
[2024-03-28T07:32:37.506+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 2.33M
[2024-03-28T07:32:37.559+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  921K
[2024-03-28T07:32:37.788+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  219K
[2024-03-28T07:32:37.800+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 3.85M
[2024-03-28T07:32:37.900+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  501K
[2024-03-28T07:32:38.011+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  453K
[2024-03-28T07:32:38.263+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  199K
[2024-03-28T07:32:38.347+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  583K
[2024-03-28T07:32:38.507+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  315K
[2024-03-28T07:32:38.565+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  852K
[2024-03-28T07:32:38.658+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  533K
[2024-03-28T07:32:38.776+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  428K
[2024-03-28T07:32:39.009+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  437K
[2024-03-28T07:32:39.145+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  196K
[2024-03-28T07:32:39.321+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  286K
[2024-03-28T07:32:39.789+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  107K
[2024-03-28T07:32:40.007+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  228K
[2024-03-28T07:32:40.141+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  376K
[2024-03-28T07:32:40.355+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  232K
[2024-03-28T07:32:41.488+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 44.4K
[2024-03-28T07:32:41.715+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  384K
[2024-03-28T07:32:41.832+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  242K
[2024-03-28T07:32:42.037+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  227K
[2024-03-28T07:32:42.144+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  469K
[2024-03-28T07:32:42.391+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  206K
[2024-03-28T07:32:42.634+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  230K
[2024-03-28T07:32:42.764+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  328K
[2024-03-28T07:32:42.865+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  472K
[2024-03-28T07:32:43.131+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  187K
[2024-03-28T07:32:43.224+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  553K
[2024-03-28T07:32:43.443+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  228K
[2024-03-28T07:32:43.545+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  478K
[2024-03-28T07:32:43.676+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  391K
[2024-03-28T07:32:43.876+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  248K
[2024-03-28T07:32:44.036+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  311K
[2024-03-28T07:32:44.146+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  450K
[2024-03-28T07:32:44.256+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  456K
[2024-03-28T07:32:44.390+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  372K
[2024-03-28T07:32:44.569+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  329K
[2024-03-28T07:32:44.694+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  370K
[2024-03-28T07:32:44.799+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  413K
[2024-03-28T07:32:44.945+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  340K
[2024-03-28T07:32:45.281+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  149K
[2024-03-28T07:32:45.455+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  289K
[2024-03-28T07:32:45.634+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  281K
[2024-03-28T07:32:45.765+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  378K
[2024-03-28T07:32:45.995+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  217K
[2024-03-28T07:32:46.192+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  254K
[2024-03-28T07:32:46.376+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  271K
[2024-03-28T07:32:46.566+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  263K
[2024-03-28T07:32:46.745+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  280K
[2024-03-28T07:32:46.903+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  316K
[2024-03-28T07:32:47.119+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  265K
[2024-03-28T07:32:47.313+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  227K
[2024-03-28T07:32:47.458+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  346K
[2024-03-28T07:32:47.574+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  441K
