[2024-03-29T11:40:50.529+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task manual__2024-03-29T11:37:08.320769+00:00 [queued]>
[2024-03-29T11:40:50.624+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task manual__2024-03-29T11:37:08.320769+00:00 [queued]>
[2024-03-29T11:40:50.630+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-29T11:40:50.772+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-29 11:37:08.320769+00:00
[2024-03-29T11:40:50.911+0000] {standard_task_runner.py:60} INFO - Started process 117 to run task
[2024-03-29T11:40:50.987+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_0_task', 'manual__2024-03-29T11:37:08.320769+00:00', '--job-id', '497', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpllhor70r']
[2024-03-29T11:40:51.100+0000] {standard_task_runner.py:88} INFO - Job 497: Subtask download_dataset_0_task
[2024-03-29T11:40:52.150+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_0_task manual__2024-03-29T11:37:08.320769+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:40:53.542+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:37:08.320769+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:37:08.320769+00:00'
[2024-03-29T11:40:53.562+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:40:53.612+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-29T11:40:53.793+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:40:53.798+0000] {subprocess.py:93} INFO - --2024-03-29 11:40:53--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-29T11:40:56.134+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-03-29T11:40:56.143+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-29T11:40:57.814+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:40:57.815+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-29T11:40:57.817+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-29T11:40:57.819+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:40:57.879+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... .......... 1.11M
[2024-03-29T11:40:57.973+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  437K
[2024-03-29T11:40:58.082+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  455K
[2024-03-29T11:40:58.189+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  469K
[2024-03-29T11:40:58.194+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 9.20M
[2024-03-29T11:40:58.311+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  430K
[2024-03-29T11:40:58.414+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  489K
[2024-03-29T11:40:58.526+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  441K
[2024-03-29T11:40:58.639+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  445K
[2024-03-29T11:40:58.640+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  133M
[2024-03-29T11:40:58.750+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  453K
[2024-03-29T11:40:58.867+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  425K
[2024-03-29T11:40:58.910+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 1.15M
[2024-03-29T11:40:58.977+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  739K
[2024-03-29T11:40:59.096+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  421K
[2024-03-29T11:40:59.113+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 2.89M
[2024-03-29T11:40:59.197+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  596K
[2024-03-29T11:40:59.309+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  446K
[2024-03-29T11:40:59.310+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  267M
[2024-03-29T11:40:59.441+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  379K
[2024-03-29T11:40:59.529+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  576K
[2024-03-29T11:40:59.530+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 26.1M
[2024-03-29T11:40:59.640+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  454K
[2024-03-29T11:40:59.748+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  463K
