[2024-03-29T11:40:50.588+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task manual__2024-03-29T11:37:08.320769+00:00 [queued]>
[2024-03-29T11:40:50.693+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task manual__2024-03-29T11:37:08.320769+00:00 [queued]>
[2024-03-29T11:40:50.694+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-29T11:40:50.896+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-29 11:37:08.320769+00:00
[2024-03-29T11:40:51.089+0000] {standard_task_runner.py:60} INFO - Started process 120 to run task
[2024-03-29T11:40:51.185+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_2_task', 'manual__2024-03-29T11:37:08.320769+00:00', '--job-id', '503', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpjkbfhy8c']
[2024-03-29T11:40:51.197+0000] {standard_task_runner.py:88} INFO - Job 503: Subtask download_dataset_2_task
[2024-03-29T11:40:52.080+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_2_task manual__2024-03-29T11:37:08.320769+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:40:53.364+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:37:08.320769+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:37:08.320769+00:00'
[2024-03-29T11:40:53.416+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:40:53.462+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-29T11:40:53.593+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:40:53.680+0000] {subprocess.py:93} INFO - --2024-03-29 11:40:53--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-29T11:40:56.135+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-03-29T11:40:56.138+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-29T11:40:57.392+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:40:57.393+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-29T11:40:57.395+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-29T11:40:57.395+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:40:57.499+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  468K
[2024-03-29T11:40:57.607+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  463K
[2024-03-29T11:40:57.821+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  236K
[2024-03-29T11:40:57.901+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 3.06M
[2024-03-29T11:40:57.927+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  542K
[2024-03-29T11:40:58.057+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  385K
[2024-03-29T11:40:58.150+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 3.09M
[2024-03-29T11:40:58.166+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  570K
[2024-03-29T11:40:58.259+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  519K
[2024-03-29T11:40:58.380+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  406K
[2024-03-29T11:40:58.470+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  557K
[2024-03-29T11:40:58.471+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 33.0M
[2024-03-29T11:40:58.588+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  430K
[2024-03-29T11:40:58.686+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  506K
[2024-03-29T11:40:58.872+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  392K
[2024-03-29T11:40:58.907+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  560K
[2024-03-29T11:40:58.920+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 3.10M
[2024-03-29T11:40:59.042+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  404K
[2024-03-29T11:40:59.114+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  698K
[2024-03-29T11:40:59.122+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 9.33M
[2024-03-29T11:40:59.233+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  443K
[2024-03-29T11:40:59.342+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  500K
[2024-03-29T11:40:59.449+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  159M
[2024-03-29T11:40:59.451+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  422K
[2024-03-29T11:40:59.544+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  536K
[2024-03-29T11:40:59.547+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 14.6M
[2024-03-29T11:40:59.653+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  472K
[2024-03-29T11:40:59.758+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  477K
[2024-03-29T11:40:59.768+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 10.0M
[2024-03-29T11:40:59.882+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  430K
[2024-03-29T11:40:59.979+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  508K
[2024-03-29T11:41:00.084+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  472K
[2024-03-29T11:41:00.094+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 8.43M
[2024-03-29T11:41:00.196+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  468K
[2024-03-29T11:41:00.297+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  507K
[2024-03-29T11:41:00.334+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 1.43M
[2024-03-29T11:41:00.417+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  585K
[2024-03-29T11:41:00.446+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 3.74M
[2024-03-29T11:41:00.516+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  567K
[2024-03-29T11:41:00.621+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  473K
[2024-03-29T11:41:00.725+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  484K
[2024-03-29T11:41:00.730+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 9.14M
[2024-03-29T11:41:00.844+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  438K
[2024-03-29T11:41:00.938+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  531K
[2024-03-29T11:41:00.954+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... .......... 3.06M
[2024-03-29T11:41:01.057+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  486K
[2024-03-29T11:41:01.159+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  496K
[2024-03-29T11:41:01.164+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 7.69M
[2024-03-29T11:41:01.272+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  465K
[2024-03-29T11:41:01.371+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  502K
[2024-03-29T11:41:01.380+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 6.32M
[2024-03-29T11:41:01.486+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  466K
[2024-03-29T11:41:01.589+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  485K
[2024-03-29T11:41:01.591+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 26.4M
[2024-03-29T11:41:01.698+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  470K
[2024-03-29T11:41:01.829+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  466K
[2024-03-29T11:41:01.829+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 2.03M
[2024-03-29T11:41:01.916+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  579K
[2024-03-29T11:41:01.944+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 1.67M
[2024-03-29T11:41:02.028+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  598K
[2024-03-29T11:41:02.141+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  443K
[2024-03-29T11:41:02.144+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  560M
[2024-03-29T11:41:02.242+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  514K
[2024-03-29T11:41:02.340+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  492K
[2024-03-29T11:41:02.350+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 7.50M
[2024-03-29T11:41:02.474+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  405K
[2024-03-29T11:41:02.476+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 10.0M
[2024-03-29T11:41:02.561+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  581K
[2024-03-29T11:41:02.624+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  801K
[2024-03-29T11:41:02.677+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  936K
[2024-03-29T11:41:02.773+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  520K
[2024-03-29T11:41:02.797+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 2.01M
[2024-03-29T11:41:02.888+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  551K
[2024-03-29T11:41:02.975+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  574K
[2024-03-29T11:41:02.989+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... .......... 3.41M
[2024-03-29T11:41:03.097+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  466K
[2024-03-29T11:41:03.100+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 25.4M
[2024-03-29T11:41:03.206+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  467K
[2024-03-29T11:41:03.226+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 2.52M
[2024-03-29T11:41:03.314+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  563K
[2024-03-29T11:41:03.375+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  843K
[2024-03-29T11:41:03.426+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  962K
[2024-03-29T11:41:03.539+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  546K
[2024-03-29T11:41:03.549+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 1.58M
[2024-03-29T11:41:03.640+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  544K
[2024-03-29T11:41:03.658+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 3.49M
[2024-03-29T11:41:03.766+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  491K
[2024-03-29T11:41:03.798+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 1.15M
[2024-03-29T11:41:03.863+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  770K
[2024-03-29T11:41:03.912+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 1.01M
[2024-03-29T11:41:03.970+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  856K
[2024-03-29T11:41:04.015+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 1.07M
[2024-03-29T11:41:04.077+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  809K
[2024-03-29T11:41:04.123+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 1.05M
[2024-03-29T11:41:04.191+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  757K
[2024-03-29T11:41:04.277+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  567K
[2024-03-29T11:41:04.291+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 3.57M
[2024-03-29T11:41:04.389+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  513K
[2024-03-29T11:41:04.406+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 2.81M
[2024-03-29T11:41:04.501+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  526K
[2024-03-29T11:41:04.529+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 1.79M
[2024-03-29T11:41:04.648+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... ..........  548K
[2024-03-29T11:41:04.649+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 5.91M
[2024-03-29T11:41:04.854+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... ..........  227K
[2024-03-29T11:41:04.857+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... ..........  492M
[2024-03-29T11:41:04.860+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... ..........  109M
[2024-03-29T11:41:04.969+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... ..........  435K
