[2024-03-29T11:40:50.350+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-29T11:37:08.320769+00:00 [queued]>
[2024-03-29T11:40:50.496+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-29T11:37:08.320769+00:00 [queued]>
[2024-03-29T11:40:50.505+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-29T11:40:50.661+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-29 11:37:08.320769+00:00
[2024-03-29T11:40:50.709+0000] {standard_task_runner.py:60} INFO - Started process 112 to run task
[2024-03-29T11:40:50.778+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_3_task', 'manual__2024-03-29T11:37:08.320769+00:00', '--job-id', '493', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp8z53d2t0']
[2024-03-29T11:40:50.810+0000] {standard_task_runner.py:88} INFO - Job 493: Subtask download_dataset_3_task
[2024-03-29T11:40:51.452+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-29T11:37:08.320769+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:40:53.127+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-29T11:37:08.320769+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-29T11:37:08.320769+00:00'
[2024-03-29T11:40:53.141+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:40:53.146+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-29T11:40:53.457+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:40:53.663+0000] {subprocess.py:93} INFO - --2024-03-29 11:40:53--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-29T11:40:56.135+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-03-29T11:40:56.145+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-29T11:40:57.846+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:40:57.875+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-29T11:40:57.876+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-29T11:40:57.876+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:40:57.906+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  834K
[2024-03-29T11:40:58.015+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  459K
[2024-03-29T11:40:58.016+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  280M
[2024-03-29T11:40:58.018+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  595M
[2024-03-29T11:40:58.146+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  433K
[2024-03-29T11:40:58.179+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 53.3M
[2024-03-29T11:40:58.181+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 83.9M
[2024-03-29T11:40:58.181+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 9.49M
[2024-03-29T11:40:58.229+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  543K
[2024-03-29T11:40:58.236+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 7.63M
[2024-03-29T11:40:58.341+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  476K
[2024-03-29T11:40:58.344+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 18.4M
[2024-03-29T11:40:58.427+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  601K
[2024-03-29T11:40:58.433+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 29.8M
[2024-03-29T11:40:58.530+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  492K
[2024-03-29T11:40:58.531+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  149M
[2024-03-29T11:40:58.609+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  644K
[2024-03-29T11:40:58.634+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 5.86M
[2024-03-29T11:40:58.636+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 3.10M
[2024-03-29T11:40:58.673+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 1.19M
[2024-03-29T11:40:58.674+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  218M
[2024-03-29T11:40:58.754+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  619K
[2024-03-29T11:40:58.838+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 30.5M
