[2024-04-02T06:08:37.930+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task manual__2024-03-31T06:12:11.756547+00:00 [queued]>
[2024-04-02T06:08:38.170+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task manual__2024-03-31T06:12:11.756547+00:00 [queued]>
[2024-04-02T06:08:38.187+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-02T06:08:38.348+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-31 06:12:11.756547+00:00
[2024-04-02T06:08:38.354+0000] {standard_task_runner.py:60} INFO - Started process 109 to run task
[2024-04-02T06:08:38.385+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_2_task', 'manual__2024-03-31T06:12:11.756547+00:00', '--job-id', '584', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpw3uqrqrt']
[2024-04-02T06:08:38.406+0000] {standard_task_runner.py:88} INFO - Job 584: Subtask download_dataset_2_task
[2024-04-02T06:08:38.991+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_2_task manual__2024-03-31T06:12:11.756547+00:00 [running]> on host 0f6b1d3e95d8
[2024-04-02T06:08:40.449+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-31T06:12:11.756547+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-31T06:12:11.756547+00:00'
[2024-04-02T06:08:40.460+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T06:08:40.486+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-04-02T06:08:40.677+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T06:08:40.754+0000] {subprocess.py:93} INFO - --2024-04-02 06:08:40--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-04-02T06:08:41.088+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-04-02T06:08:41.098+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-04-02T06:08:42.449+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T06:08:42.451+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-04-02T06:08:42.453+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-04-02T06:08:42.454+0000] {subprocess.py:93} INFO - 
[2024-04-02T06:08:42.558+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  465K
[2024-04-02T06:08:42.664+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  473K
[2024-04-02T06:08:42.674+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 6.35M
[2024-04-02T06:08:42.676+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 58.0M
[2024-04-02T06:08:42.782+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  454K
[2024-04-02T06:08:42.785+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 28.9M
[2024-04-02T06:08:42.786+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  241M
[2024-04-02T06:08:42.786+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  284M
[2024-04-02T06:08:42.884+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  505K
[2024-04-02T06:08:42.904+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  348M
[2024-04-02T06:08:42.904+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  367M
[2024-04-02T06:08:42.905+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 2.47M
[2024-04-02T06:08:42.905+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  498M
[2024-04-02T06:08:42.990+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  583K
[2024-04-02T06:08:42.991+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  292M
[2024-04-02T06:08:42.994+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  363M
[2024-04-02T06:08:42.996+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  384M
[2024-04-02T06:08:43.001+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 11.1M
[2024-04-02T06:08:43.004+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 41.6M
[2024-04-02T06:08:43.013+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 16.1M
[2024-04-02T06:08:43.014+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  285M
[2024-04-02T06:08:43.015+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 21.3M
[2024-04-02T06:08:43.045+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  128M
[2024-04-02T06:08:43.164+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  528K
[2024-04-02T06:08:43.189+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 4.14M
[2024-04-02T06:08:43.227+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 8.93M
[2024-04-02T06:08:43.230+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  404M
[2024-04-02T06:08:43.232+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 10.5M
[2024-04-02T06:08:43.282+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  348M
[2024-04-02T06:08:43.289+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  283M
[2024-04-02T06:08:43.310+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  789K
[2024-04-02T06:08:43.374+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  314M
[2024-04-02T06:08:43.383+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  538M
[2024-04-02T06:08:43.405+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  491M
[2024-04-02T06:08:43.413+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  438M
[2024-04-02T06:08:43.458+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  487M
[2024-04-02T06:08:43.466+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  410M
[2024-04-02T06:08:43.481+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  540M
[2024-04-02T06:08:43.491+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  502M
[2024-04-02T06:08:43.503+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  281M
[2024-04-02T06:08:43.548+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  409M
[2024-04-02T06:08:43.619+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  395M
[2024-04-02T06:08:43.676+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  389M
[2024-04-02T06:08:43.696+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  346M
