[2024-04-02T06:08:37.567+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-31T06:12:11.756547+00:00 [queued]>
[2024-04-02T06:08:37.716+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-31T06:12:11.756547+00:00 [queued]>
[2024-04-02T06:08:37.739+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-02T06:08:37.924+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-31 06:12:11.756547+00:00
[2024-04-02T06:08:37.986+0000] {standard_task_runner.py:60} INFO - Started process 106 to run task
[2024-04-02T06:08:38.079+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_3_task', 'manual__2024-03-31T06:12:11.756547+00:00', '--job-id', '580', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpd8lfpmwr']
[2024-04-02T06:08:38.096+0000] {standard_task_runner.py:88} INFO - Job 580: Subtask download_dataset_3_task
[2024-04-02T06:08:38.530+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_3_task manual__2024-03-31T06:12:11.756547+00:00 [running]> on host 0f6b1d3e95d8
[2024-04-02T06:08:40.021+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-31T06:12:11.756547+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-31T06:12:11.756547+00:00'
[2024-04-02T06:08:40.033+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T06:08:40.040+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-04-02T06:08:40.180+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T06:08:40.699+0000] {subprocess.py:93} INFO - --2024-04-02 06:08:40--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-04-02T06:08:41.086+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-04-02T06:08:41.103+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-04-02T06:08:42.593+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T06:08:42.594+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-04-02T06:08:42.599+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-04-02T06:08:42.600+0000] {subprocess.py:93} INFO - 
[2024-04-02T06:08:42.702+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  464K
[2024-04-02T06:08:42.804+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  490K
[2024-04-02T06:08:42.911+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  467K
[2024-04-02T06:08:42.918+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 14.3M
[2024-04-02T06:08:42.922+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 35.9M
[2024-04-02T06:08:43.024+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  462K
[2024-04-02T06:08:43.037+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 5.56M
[2024-04-02T06:08:43.042+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  313M
[2024-04-02T06:08:43.050+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 85.3M
[2024-04-02T06:08:43.163+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  385K
[2024-04-02T06:08:43.164+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  335M
[2024-04-02T06:08:43.164+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  362M
[2024-04-02T06:08:43.165+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  380M
[2024-04-02T06:08:43.165+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  306M
[2024-04-02T06:08:43.295+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  437K
[2024-04-02T06:08:43.308+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  221M
[2024-04-02T06:08:43.312+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  411M
[2024-04-02T06:08:43.435+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  413M
[2024-04-02T06:08:43.469+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  405M
[2024-04-02T06:08:43.498+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  322M
[2024-04-02T06:08:43.547+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  409M
[2024-04-02T06:08:43.564+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  403M
[2024-04-02T06:08:43.623+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  429M
