[2024-03-31T06:14:01.925+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task manual__2024-03-31T06:12:11.756547+00:00 [queued]>
[2024-03-31T06:14:01.945+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task manual__2024-03-31T06:12:11.756547+00:00 [queued]>
[2024-03-31T06:14:01.945+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-31T06:14:01.983+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-31 06:12:11.756547+00:00
[2024-03-31T06:14:02.001+0000] {standard_task_runner.py:60} INFO - Started process 430 to run task
[2024-03-31T06:14:02.009+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_4_task', 'manual__2024-03-31T06:12:11.756547+00:00', '--job-id', '574', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp85j3a6sy']
[2024-03-31T06:14:02.011+0000] {standard_task_runner.py:88} INFO - Job 574: Subtask download_dataset_4_task
[2024-03-31T06:14:02.114+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_4_task manual__2024-03-31T06:12:11.756547+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-31T06:14:02.418+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-31T06:12:11.756547+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-31T06:12:11.756547+00:00'
[2024-03-31T06:14:02.421+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-31T06:14:02.425+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-31T06:14:02.503+0000] {subprocess.py:86} INFO - Output:
[2024-03-31T06:14:02.539+0000] {subprocess.py:93} INFO - --2024-03-31 06:14:02--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-31T06:14:02.597+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.68.26, 52.206.140.199
[2024-03-31T06:14:02.599+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-31T06:14:03.658+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-31T06:14:03.659+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-31T06:14:03.659+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-31T06:14:03.660+0000] {subprocess.py:93} INFO - 
[2024-03-31T06:14:03.805+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  340K
[2024-03-31T06:14:03.868+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  800K
[2024-03-31T06:14:03.974+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  471K
[2024-03-31T06:14:04.001+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 1.86M
[2024-03-31T06:14:04.098+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  509K
[2024-03-31T06:14:04.187+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  565K
[2024-03-31T06:14:04.294+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  467K
[2024-03-31T06:14:04.404+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  456K
[2024-03-31T06:14:04.433+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 1.66M
[2024-03-31T06:14:04.524+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  550K
[2024-03-31T06:14:04.620+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  518K
[2024-03-31T06:14:04.655+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 1.44M
[2024-03-31T06:14:04.740+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  585K
[2024-03-31T06:14:04.848+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  478K
[2024-03-31T06:14:04.875+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 1.61M
[2024-03-31T06:14:04.971+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  523K
[2024-03-31T06:14:05.078+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  464K
[2024-03-31T06:14:05.120+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 1.16M
[2024-03-31T06:14:05.194+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  680K
[2024-03-31T06:14:05.290+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  528K
[2024-03-31T06:14:05.302+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 6.01M
[2024-03-31T06:14:05.397+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  500K
[2024-03-31T06:14:05.503+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  916K
[2024-03-31T06:14:05.504+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  951K
[2024-03-31T06:14:05.611+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  468K
[2024-03-31T06:14:05.665+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  921K
[2024-03-31T06:14:05.716+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  969K
[2024-03-31T06:14:05.786+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  718K
[2024-03-31T06:14:05.825+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 1.25M
[2024-03-31T06:14:05.932+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  466K
[2024-03-31T06:14:05.990+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 13.6M
