[2024-03-26T14:37:33.820+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-25T00:00:00+00:00 [queued]>
[2024-03-26T14:37:33.856+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-25T00:00:00+00:00 [queued]>
[2024-03-26T14:37:33.857+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-26T14:37:33.930+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-25 00:00:00+00:00
[2024-03-26T14:37:33.946+0000] {standard_task_runner.py:60} INFO - Started process 113 to run task
[2024-03-26T14:37:33.992+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_3_task', 'scheduled__2024-03-25T00:00:00+00:00', '--job-id', '333', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp9k33paj8']
[2024-03-26T14:37:34.001+0000] {standard_task_runner.py:88} INFO - Job 333: Subtask download_dataset_3_task
[2024-03-26T14:37:34.369+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-25T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-26T14:37:35.011+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-25T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-25T00:00:00+00:00'
[2024-03-26T14:37:35.014+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-26T14:37:35.023+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-26T14:37:35.074+0000] {subprocess.py:86} INFO - Output:
[2024-03-26T14:37:35.271+0000] {subprocess.py:93} INFO - --2024-03-26 14:37:35--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-26T14:37:35.643+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-26T14:37:35.647+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-26T14:37:37.591+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-26T14:37:37.592+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-26T14:37:37.593+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-26T14:37:37.594+0000] {subprocess.py:93} INFO - 
[2024-03-26T14:37:37.706+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  434K
[2024-03-26T14:37:37.808+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  490K
[2024-03-26T14:37:37.964+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  324K
[2024-03-26T14:37:37.969+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 11.0M
[2024-03-26T14:37:38.071+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  481K
[2024-03-26T14:37:38.178+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  469K
[2024-03-26T14:37:38.286+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  471K
[2024-03-26T14:37:38.287+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 14.8M
[2024-03-26T14:37:38.446+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  315K
[2024-03-26T14:37:38.572+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  395K
[2024-03-26T14:37:38.634+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  996K
[2024-03-26T14:37:38.728+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  474K
[2024-03-26T14:37:38.819+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  545K
[2024-03-26T14:37:38.826+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 12.2M
[2024-03-26T14:37:38.916+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  538K
[2024-03-26T14:37:39.051+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  376K
[2024-03-26T14:37:39.053+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 16.3M
[2024-03-26T14:37:39.190+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  365K
[2024-03-26T14:37:39.293+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  485K
[2024-03-26T14:37:39.295+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 25.6M
[2024-03-26T14:37:39.407+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  444K
[2024-03-26T14:37:39.408+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  370M
[2024-03-26T14:37:39.516+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  460K
