[2024-03-27T14:59:57.033+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-26T00:00:00+00:00 [queued]>
[2024-03-27T14:59:57.060+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-26T00:00:00+00:00 [queued]>
[2024-03-27T14:59:57.060+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-27T14:59:57.103+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-26 00:00:00+00:00
[2024-03-27T14:59:57.119+0000] {standard_task_runner.py:60} INFO - Started process 86 to run task
[2024-03-27T14:59:57.128+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_0_task', 'scheduled__2024-03-26T00:00:00+00:00', '--job-id', '376', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpyewiunfz']
[2024-03-27T14:59:57.130+0000] {standard_task_runner.py:88} INFO - Job 376: Subtask download_dataset_0_task
[2024-03-27T14:59:57.261+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-26T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-27T14:59:57.580+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-26T00:00:00+00:00'
[2024-03-27T14:59:57.588+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-27T14:59:57.592+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-27T14:59:57.622+0000] {subprocess.py:86} INFO - Output:
[2024-03-27T14:59:57.671+0000] {subprocess.py:93} INFO - --2024-03-27 14:59:57--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-27T14:59:57.699+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26, ...
[2024-03-27T14:59:57.701+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-27T14:59:59.226+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-27T14:59:59.226+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-27T14:59:59.227+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-27T14:59:59.227+0000] {subprocess.py:93} INFO - 
[2024-03-27T14:59:59.338+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  446K
[2024-03-27T14:59:59.450+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  445K
[2024-03-27T14:59:59.453+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 16.2M
[2024-03-27T14:59:59.454+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  425M
[2024-03-27T14:59:59.563+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  456K
[2024-03-27T14:59:59.567+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 13.4M
[2024-03-27T14:59:59.570+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 15.6M
[2024-03-27T14:59:59.570+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  226M
[2024-03-27T14:59:59.675+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  480K
[2024-03-27T14:59:59.677+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 18.6M
[2024-03-27T14:59:59.678+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 32.5M
[2024-03-27T14:59:59.681+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 17.4M
[2024-03-27T14:59:59.684+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  222M
[2024-03-27T14:59:59.786+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  478K
[2024-03-27T14:59:59.789+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 20.1M
[2024-03-27T14:59:59.798+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 5.69M
[2024-03-27T14:59:59.800+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 19.9M
[2024-03-27T14:59:59.800+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  131M
[2024-03-27T14:59:59.801+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  148M
[2024-03-27T14:59:59.801+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 76.5M
[2024-03-27T14:59:59.802+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  292M
[2024-03-27T14:59:59.802+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  478M
[2024-03-27T14:59:59.802+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  261M
[2024-03-27T14:59:59.898+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  515K
[2024-03-27T14:59:59.904+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 20.5M
[2024-03-27T14:59:59.921+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 38.0M
[2024-03-27T14:59:59.931+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 40.4M
[2024-03-27T14:59:59.931+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 33.3M
[2024-03-27T14:59:59.932+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 9.10M
[2024-03-27T14:59:59.933+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 3.06M
[2024-03-27T14:59:59.934+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 55.5M
[2024-03-27T14:59:59.935+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  118M
[2024-03-27T14:59:59.949+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 96.1M
[2024-03-27T14:59:59.950+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  375M
[2024-03-27T14:59:59.951+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  380M
[2024-03-27T14:59:59.952+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  159M
[2024-03-27T14:59:59.953+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  118M
[2024-03-27T14:59:59.959+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 17.9M
[2024-03-27T14:59:59.960+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 13.5M
[2024-03-27T14:59:59.960+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... .......... 3.40M
[2024-03-27T14:59:59.961+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  283M
[2024-03-27T14:59:59.962+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  372M
[2024-03-27T14:59:59.963+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 78.4M
[2024-03-27T14:59:59.964+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 6.03M
[2024-03-27T14:59:59.965+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... .......... 62.2M
[2024-03-27T15:00:00.010+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  988K
[2024-03-27T15:00:00.019+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 14.6M
[2024-03-27T15:00:00.019+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 13.4M
[2024-03-27T15:00:00.020+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 24.8M
[2024-03-27T15:00:00.048+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 1.69M
[2024-03-27T15:00:00.062+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 85.0M
[2024-03-27T15:00:00.068+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... .......... 18.1M
[2024-03-27T15:00:00.075+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 2.04M
[2024-03-27T15:00:00.077+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 36.2M
[2024-03-27T15:00:00.138+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  809K
[2024-03-27T15:00:00.141+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... .......... 34.6M
[2024-03-27T15:00:00.177+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 1.33M
[2024-03-27T15:00:00.178+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... .......... 29.3M
[2024-03-27T15:00:00.224+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 1.09M
[2024-03-27T15:00:00.225+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 30.2M
[2024-03-27T15:00:00.267+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... .......... 1.43M
[2024-03-27T15:00:00.267+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... .......... 7.96M
[2024-03-27T15:00:00.268+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... .......... 30.6M
[2024-03-27T15:00:00.292+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 1.90M
[2024-03-27T15:00:00.294+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 18.3M
[2024-03-27T15:00:00.342+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... .......... 1.06M
[2024-03-27T15:00:00.343+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 30.0M
[2024-03-27T15:00:00.389+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 1.04M
[2024-03-27T15:00:00.393+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... .......... 13.7M
[2024-03-27T15:00:00.438+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... .......... 1.13M
[2024-03-27T15:00:00.439+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... .......... 31.1M
[2024-03-27T15:00:00.439+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 51.5M
[2024-03-27T15:00:00.478+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... .......... 1.25M
[2024-03-27T15:00:00.479+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... .......... 32.3M
[2024-03-27T15:00:00.534+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  905K
