[2024-03-27T14:59:57.170+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_1_task scheduled__2024-03-26T00:00:00+00:00 [queued]>
[2024-03-27T14:59:57.206+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_1_task scheduled__2024-03-26T00:00:00+00:00 [queued]>
[2024-03-27T14:59:57.207+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-27T14:59:57.273+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-26 00:00:00+00:00
[2024-03-27T14:59:57.282+0000] {standard_task_runner.py:60} INFO - Started process 87 to run task
[2024-03-27T14:59:57.292+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_1_task', 'scheduled__2024-03-26T00:00:00+00:00', '--job-id', '377', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpn2i1j0wo']
[2024-03-27T14:59:57.307+0000] {standard_task_runner.py:88} INFO - Job 377: Subtask download_dataset_1_task
[2024-03-27T14:59:57.456+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_1_task scheduled__2024-03-26T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-27T14:59:57.640+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-26T00:00:00+00:00'
[2024-03-27T14:59:57.642+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-27T14:59:57.646+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-27T14:59:57.676+0000] {subprocess.py:86} INFO - Output:
[2024-03-27T14:59:57.680+0000] {subprocess.py:93} INFO - --2024-03-27 14:59:57--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-27T14:59:57.698+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26, ...
[2024-03-27T14:59:57.701+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-27T14:59:59.273+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-27T14:59:59.274+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-27T14:59:59.275+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-27T14:59:59.275+0000] {subprocess.py:93} INFO - 
[2024-03-27T14:59:59.381+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  465K
[2024-03-27T14:59:59.489+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  463K
[2024-03-27T14:59:59.597+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  465K
[2024-03-27T14:59:59.602+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 24.2M
[2024-03-27T14:59:59.603+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 12.4M
[2024-03-27T14:59:59.707+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  480K
[2024-03-27T14:59:59.709+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 16.3M
[2024-03-27T14:59:59.710+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  189M
[2024-03-27T14:59:59.710+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  509M
[2024-03-27T14:59:59.818+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  464K
[2024-03-27T14:59:59.823+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 9.84M
[2024-03-27T14:59:59.836+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  158M
[2024-03-27T14:59:59.837+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 4.64M
[2024-03-27T14:59:59.837+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 18.9M
[2024-03-27T14:59:59.927+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  555K
[2024-03-27T14:59:59.963+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 4.84M
[2024-03-27T14:59:59.964+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 17.4M
[2024-03-27T14:59:59.965+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 48.7M
[2024-03-27T14:59:59.966+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 2.08M
[2024-03-27T15:00:00.032+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  726K
[2024-03-27T15:00:00.034+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 37.1M
[2024-03-27T15:00:00.038+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 11.9M
[2024-03-27T15:00:00.040+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  262M
[2024-03-27T15:00:00.050+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... .......... 18.4M
[2024-03-27T15:00:00.055+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 20.6M
[2024-03-27T15:00:00.056+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 7.03M
[2024-03-27T15:00:00.067+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 3.00M
[2024-03-27T15:00:00.068+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  237M
[2024-03-27T15:00:00.068+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  524M
[2024-03-27T15:00:00.141+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  675K
[2024-03-27T15:00:00.146+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 18.9M
[2024-03-27T15:00:00.152+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 6.98M
[2024-03-27T15:00:00.153+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 29.3M
[2024-03-27T15:00:00.163+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  457M
[2024-03-27T15:00:00.170+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 12.8M
[2024-03-27T15:00:00.171+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 14.2M
[2024-03-27T15:00:00.172+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  198M
[2024-03-27T15:00:00.172+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  374M
