[2024-03-27T14:59:56.423+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-26T00:00:00+00:00 [queued]>
[2024-03-27T14:59:56.435+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-26T00:00:00+00:00 [queued]>
[2024-03-27T14:59:56.449+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-27T14:59:56.477+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-26 00:00:00+00:00
[2024-03-27T14:59:56.511+0000] {standard_task_runner.py:60} INFO - Started process 83 to run task
[2024-03-27T14:59:56.560+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_3_task', 'scheduled__2024-03-26T00:00:00+00:00', '--job-id', '374', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpnbopzwey']
[2024-03-27T14:59:56.561+0000] {standard_task_runner.py:88} INFO - Job 374: Subtask download_dataset_3_task
[2024-03-27T14:59:56.634+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-26T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-27T14:59:56.918+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-26T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-26T00:00:00+00:00'
[2024-03-27T14:59:56.921+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-27T14:59:56.922+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-27T14:59:56.962+0000] {subprocess.py:86} INFO - Output:
[2024-03-27T14:59:57.093+0000] {subprocess.py:93} INFO - --2024-03-27 14:59:57--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-27T14:59:57.325+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-27T14:59:57.326+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-27T14:59:59.636+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-27T14:59:59.637+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-27T14:59:59.637+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-27T14:59:59.638+0000] {subprocess.py:93} INFO - 
[2024-03-27T14:59:59.743+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  466K
[2024-03-27T14:59:59.851+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  463K
[2024-03-27T14:59:59.852+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 45.6M
[2024-03-27T14:59:59.962+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  457K
[2024-03-27T14:59:59.963+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 35.5M
[2024-03-27T15:00:00.070+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  468K
[2024-03-27T15:00:00.071+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 46.9M
[2024-03-27T15:00:00.164+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  540K
[2024-03-27T15:00:00.168+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 12.6M
[2024-03-27T15:00:00.169+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 34.5M
[2024-03-27T15:00:00.345+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  283K
[2024-03-27T15:00:00.346+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  188M
[2024-03-27T15:00:00.415+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  722K
[2024-03-27T15:00:00.416+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 47.6M
[2024-03-27T15:00:00.656+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  208K
[2024-03-27T15:00:00.658+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 27.3M
[2024-03-27T15:00:00.866+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  240K
[2024-03-27T15:00:00.869+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 23.5M
[2024-03-27T15:00:00.869+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 64.9M
[2024-03-27T15:00:01.004+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  372K
[2024-03-27T15:00:01.006+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 18.7M
[2024-03-27T15:00:01.162+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  321K
[2024-03-27T15:00:01.236+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 30.2M
