[2024-03-28T07:32:28.671+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.827+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.851+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-28T07:32:29.031+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-27 00:00:00+00:00
[2024-03-28T07:32:29.109+0000] {standard_task_runner.py:60} INFO - Started process 180 to run task
[2024-03-28T07:32:29.297+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_0_task', 'scheduled__2024-03-27T00:00:00+00:00', '--job-id', '391', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpx674m5bf']
[2024-03-28T07:32:29.368+0000] {standard_task_runner.py:88} INFO - Job 391: Subtask download_dataset_0_task
[2024-03-28T07:32:30.406+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-27T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-28T07:32:32.609+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-27T00:00:00+00:00'
[2024-03-28T07:32:32.662+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-28T07:32:32.932+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-28T07:32:33.267+0000] {subprocess.py:86} INFO - Output:
[2024-03-28T07:32:33.289+0000] {subprocess.py:93} INFO - --2024-03-28 07:32:33--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-28T07:32:35.781+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-28T07:32:35.790+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-28T07:32:37.329+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-28T07:32:37.425+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-28T07:32:37.475+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-28T07:32:37.480+0000] {subprocess.py:93} INFO - 
[2024-03-28T07:32:37.483+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  380K
[2024-03-28T07:32:37.566+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  494K
[2024-03-28T07:32:37.582+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 2.48M
[2024-03-28T07:32:37.591+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 5.11M
[2024-03-28T07:32:37.696+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  480K
[2024-03-28T07:32:37.715+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  159M
[2024-03-28T07:32:37.718+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  157M
[2024-03-28T07:32:37.720+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 2.36M
[2024-03-28T07:32:37.954+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  235K
[2024-03-28T07:32:37.958+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  101M
[2024-03-28T07:32:37.960+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  485M
[2024-03-28T07:32:37.966+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 79.8M
[2024-03-28T07:32:37.999+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  733K
[2024-03-28T07:32:38.101+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 3.16M
[2024-03-28T07:32:38.121+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 4.13M
[2024-03-28T07:32:38.215+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 27.3M
[2024-03-28T07:32:38.229+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 4.62M
[2024-03-28T07:32:38.234+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 1.21M
[2024-03-28T07:32:38.279+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 1.32M
[2024-03-28T07:32:38.286+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 2.35M
[2024-03-28T07:32:38.304+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  508M
[2024-03-28T07:32:38.314+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 10.8M
[2024-03-28T07:32:38.379+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 37.0M
