[2024-03-28T07:32:28.399+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.475+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.482+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-28T07:32:28.742+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-27 00:00:00+00:00
[2024-03-28T07:32:28.816+0000] {standard_task_runner.py:60} INFO - Started process 178 to run task
[2024-03-28T07:32:28.890+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_2_task', 'scheduled__2024-03-27T00:00:00+00:00', '--job-id', '387', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp6z1plsaa']
[2024-03-28T07:32:28.921+0000] {standard_task_runner.py:88} INFO - Job 387: Subtask download_dataset_2_task
[2024-03-28T07:32:29.877+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_2_task scheduled__2024-03-27T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-28T07:32:32.148+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-27T00:00:00+00:00'
[2024-03-28T07:32:32.267+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-28T07:32:32.347+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-28T07:32:32.790+0000] {subprocess.py:86} INFO - Output:
[2024-03-28T07:32:33.118+0000] {subprocess.py:93} INFO - --2024-03-28 07:32:33--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-28T07:32:35.776+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-28T07:32:35.787+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-28T07:32:37.115+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-28T07:32:37.116+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-28T07:32:37.123+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-28T07:32:37.124+0000] {subprocess.py:93} INFO - 
[2024-03-28T07:32:37.224+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  458K
[2024-03-28T07:32:37.352+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  396K
[2024-03-28T07:32:37.396+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 1.36M
[2024-03-28T07:32:37.462+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  788K
[2024-03-28T07:32:37.478+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 3.29M
[2024-03-28T07:32:37.509+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 1.09M
[2024-03-28T07:32:37.514+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  541M
[2024-03-28T07:32:37.517+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  321M
[2024-03-28T07:32:37.560+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 1.01M
[2024-03-28T07:32:37.587+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 1.94M
[2024-03-28T07:32:37.588+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 10.9M
[2024-03-28T07:32:37.593+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 10.0M
[2024-03-28T07:32:37.597+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 10.3M
[2024-03-28T07:32:37.702+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  484K
[2024-03-28T07:32:37.717+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 2.99M
[2024-03-28T07:32:37.827+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  490K
[2024-03-28T07:32:37.838+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  327M
[2024-03-28T07:32:37.869+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 4.00M
[2024-03-28T07:32:37.871+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 13.6M
[2024-03-28T07:32:37.968+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 1.71M
[2024-03-28T07:32:37.970+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 83.2M
[2024-03-28T07:32:37.974+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  520M
[2024-03-28T07:32:38.058+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  546M
