[2024-03-28T07:32:28.028+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.186+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.194+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-28T07:32:28.455+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-27 00:00:00+00:00
[2024-03-28T07:32:28.583+0000] {standard_task_runner.py:60} INFO - Started process 174 to run task
[2024-03-28T07:32:28.616+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_3_task', 'scheduled__2024-03-27T00:00:00+00:00', '--job-id', '382', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpyw62jooe']
[2024-03-28T07:32:28.677+0000] {standard_task_runner.py:88} INFO - Job 382: Subtask download_dataset_3_task
[2024-03-28T07:32:29.481+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-03-27T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-28T07:32:31.662+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-27T00:00:00+00:00'
[2024-03-28T07:32:31.701+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-28T07:32:31.715+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-28T07:32:32.117+0000] {subprocess.py:86} INFO - Output:
[2024-03-28T07:32:32.439+0000] {subprocess.py:93} INFO - --2024-03-28 07:32:32--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-28T07:32:35.780+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-28T07:32:35.803+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-28T07:32:36.574+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-28T07:32:36.590+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-28T07:32:36.608+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-28T07:32:36.609+0000] {subprocess.py:93} INFO - 
[2024-03-28T07:32:36.710+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  367K
[2024-03-28T07:32:36.809+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  504K
[2024-03-28T07:32:36.825+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 3.20M
[2024-03-28T07:32:36.855+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 1.61M
[2024-03-28T07:32:36.907+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  953K
[2024-03-28T07:32:36.924+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 2.89M
[2024-03-28T07:32:36.958+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 5.36M
[2024-03-28T07:32:36.962+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 1.97M
[2024-03-28T07:32:37.019+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  839K
[2024-03-28T07:32:37.021+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 15.7M
[2024-03-28T07:32:37.032+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 4.34M
[2024-03-28T07:32:37.043+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 4.44M
[2024-03-28T07:32:37.099+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  901K
[2024-03-28T07:32:37.123+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 2.23M
[2024-03-28T07:32:37.125+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 19.9M
[2024-03-28T07:32:37.139+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 3.15M
[2024-03-28T07:32:37.149+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 4.54M
[2024-03-28T07:32:37.200+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  976K
[2024-03-28T07:32:37.255+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 1.32M
[2024-03-28T07:32:37.268+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 13.7M
[2024-03-28T07:32:37.268+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 17.6M
[2024-03-28T07:32:37.269+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 10.1M
[2024-03-28T07:32:37.269+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 15.5M
[2024-03-28T07:32:37.270+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... .......... 12.4M
[2024-03-28T07:32:37.270+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 14.5M
[2024-03-28T07:32:37.270+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 11.5M
[2024-03-28T07:32:37.271+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 20.6M
[2024-03-28T07:32:37.315+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 1016K
[2024-03-28T07:32:37.330+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  162M
[2024-03-28T07:32:37.425+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  623K
[2024-03-28T07:32:37.503+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  311M
[2024-03-28T07:32:37.506+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  151M
[2024-03-28T07:32:37.511+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  174M
[2024-03-28T07:32:37.521+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  494K
[2024-03-28T07:32:37.521+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  264M
[2024-03-28T07:32:37.544+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 6.93M
[2024-03-28T07:32:37.564+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 37.9M
[2024-03-28T07:32:37.622+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 98.9M
[2024-03-28T07:32:37.652+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  380M
[2024-03-28T07:32:37.660+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  221M
[2024-03-28T07:32:37.721+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 5.10M
[2024-03-28T07:32:37.724+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 18.8M
[2024-03-28T07:32:37.726+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  272M
[2024-03-28T07:32:37.756+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  226M
[2024-03-28T07:32:37.774+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... .......... 15.9M
[2024-03-28T07:32:37.806+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... .......... 3.51M
[2024-03-28T07:32:37.865+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 68.7M
