[2024-03-28T07:32:28.448+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.651+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-27T00:00:00+00:00 [queued]>
[2024-03-28T07:32:28.672+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-28T07:32:28.882+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-27 00:00:00+00:00
[2024-03-28T07:32:29.280+0000] {standard_task_runner.py:60} INFO - Started process 181 to run task
[2024-03-28T07:32:29.365+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_4_task', 'scheduled__2024-03-27T00:00:00+00:00', '--job-id', '388', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpv9_9rdmu']
[2024-03-28T07:32:29.383+0000] {standard_task_runner.py:88} INFO - Job 388: Subtask download_dataset_4_task
[2024-03-28T07:32:31.126+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-27T00:00:00+00:00 [running]> on host d3d7fa608a49
[2024-03-28T07:32:33.174+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-27T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-27T00:00:00+00:00'
[2024-03-28T07:32:33.214+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-28T07:32:33.293+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-28T07:32:33.614+0000] {subprocess.py:86} INFO - Output:
[2024-03-28T07:32:33.706+0000] {subprocess.py:93} INFO - --2024-03-28 07:32:33--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-28T07:32:35.780+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-28T07:32:35.811+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-28T07:32:37.355+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-28T07:32:37.402+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-28T07:32:37.476+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-28T07:32:37.482+0000] {subprocess.py:93} INFO - 
[2024-03-28T07:32:39.363+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... .......... 24.9K
[2024-03-28T07:32:40.224+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... .......... 58.1K
[2024-03-28T07:32:41.527+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 38.3K
[2024-03-28T07:32:41.982+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  110K
[2024-03-28T07:32:42.454+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  106K
[2024-03-28T07:32:42.823+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  135K
[2024-03-28T07:32:43.240+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  139K
[2024-03-28T07:32:43.514+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  152K
[2024-03-28T07:32:43.867+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  149K
[2024-03-28T07:32:43.989+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  354K
[2024-03-28T07:32:44.704+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 73.6K
[2024-03-28T07:32:45.026+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  140K
[2024-03-28T07:32:45.529+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  100K
[2024-03-28T07:32:45.863+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  147K
[2024-03-28T07:32:46.374+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  135K
[2024-03-28T07:32:46.589+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  140K
[2024-03-28T07:32:46.922+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  150K
[2024-03-28T07:32:47.150+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  222K
[2024-03-28T07:32:47.382+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  218K
[2024-03-28T07:32:47.503+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  395K
[2024-03-28T07:32:47.738+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  213K
[2024-03-28T07:32:47.943+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  245K
[2024-03-28T07:32:48.172+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  252K
