[2024-03-29T11:40:50.641+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task scheduled__2024-03-28T00:00:00+00:00 [queued]>
[2024-03-29T11:40:50.722+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_2_task scheduled__2024-03-28T00:00:00+00:00 [queued]>
[2024-03-29T11:40:50.730+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-29T11:40:50.999+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-28 00:00:00+00:00
[2024-03-29T11:40:51.141+0000] {standard_task_runner.py:60} INFO - Started process 122 to run task
[2024-03-29T11:40:51.237+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_2_task', 'scheduled__2024-03-28T00:00:00+00:00', '--job-id', '504', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpxnjrkxhn']
[2024-03-29T11:40:51.319+0000] {standard_task_runner.py:88} INFO - Job 504: Subtask download_dataset_2_task
[2024-03-29T11:40:52.429+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_2_task scheduled__2024-03-28T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:40:53.673+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-28T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-28T00:00:00+00:00'
[2024-03-29T11:40:53.697+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:40:53.779+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-29T11:40:53.856+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:40:53.866+0000] {subprocess.py:93} INFO - --2024-03-29 11:40:53--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-29T11:40:56.133+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-03-29T11:40:56.145+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-29T11:40:57.849+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:40:57.874+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-29T11:40:57.875+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-29T11:40:57.875+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:40:57.960+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  535K
[2024-03-29T11:40:58.056+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  522K
[2024-03-29T11:40:58.060+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 10.5M
[2024-03-29T11:40:58.161+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  495K
[2024-03-29T11:40:58.273+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  446K
[2024-03-29T11:40:58.390+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  430K
[2024-03-29T11:40:58.494+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  493K
[2024-03-29T11:40:58.495+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 13.9M
[2024-03-29T11:40:58.611+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  433K
[2024-03-29T11:40:58.713+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  486K
[2024-03-29T11:40:58.838+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  401K
[2024-03-29T11:40:58.910+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  686K
[2024-03-29T11:40:58.944+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 1.50M
[2024-03-29T11:40:59.060+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  427K
[2024-03-29T11:40:59.098+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 2.27M
[2024-03-29T11:40:59.184+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  500K
[2024-03-29T11:40:59.290+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  466K
[2024-03-29T11:40:59.321+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 5.29M
[2024-03-29T11:40:59.415+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  429K
[2024-03-29T11:40:59.494+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  657K
[2024-03-29T11:40:59.523+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 1.50M
[2024-03-29T11:40:59.630+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  468K
[2024-03-29T11:40:59.711+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 14.2M
