[2024-03-29T11:40:50.666+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-28T00:00:00+00:00 [queued]>
[2024-03-29T11:40:50.793+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-28T00:00:00+00:00 [queued]>
[2024-03-29T11:40:50.810+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-29T11:40:51.070+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-28 00:00:00+00:00
[2024-03-29T11:40:51.191+0000] {standard_task_runner.py:60} INFO - Started process 124 to run task
[2024-03-29T11:40:51.282+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_4_task', 'scheduled__2024-03-28T00:00:00+00:00', '--job-id', '507', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpffytmdzt']
[2024-03-29T11:40:51.347+0000] {standard_task_runner.py:88} INFO - Job 507: Subtask download_dataset_4_task
[2024-03-29T11:40:52.081+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-28T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-29T11:40:53.404+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-28T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-28T00:00:00+00:00'
[2024-03-29T11:40:53.420+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-29T11:40:53.428+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-29T11:40:53.652+0000] {subprocess.py:86} INFO - Output:
[2024-03-29T11:40:53.698+0000] {subprocess.py:93} INFO - --2024-03-29 11:40:53--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-29T11:40:56.136+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-03-29T11:40:56.144+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-29T11:40:57.313+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-29T11:40:57.314+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-29T11:40:57.314+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-29T11:40:57.315+0000] {subprocess.py:93} INFO - 
[2024-03-29T11:40:57.422+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  460K
[2024-03-29T11:40:57.529+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  467K
[2024-03-29T11:40:57.531+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 23.3M
[2024-03-29T11:40:57.532+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 54.9M
[2024-03-29T11:40:57.733+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  250K
[2024-03-29T11:40:57.734+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 51.2M
[2024-03-29T11:40:57.929+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  327K
[2024-03-29T11:40:57.971+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  228M
[2024-03-29T11:40:57.988+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  304M
[2024-03-29T11:40:57.991+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  367M
[2024-03-29T11:40:57.998+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 7.71M
[2024-03-29T11:40:58.000+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  444M
[2024-03-29T11:40:58.002+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  501M
[2024-03-29T11:40:58.003+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  525M
[2024-03-29T11:40:58.004+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 1.37M
[2024-03-29T11:40:58.004+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 3.76M
[2024-03-29T11:40:58.005+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  473M
[2024-03-29T11:40:58.005+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  226M
[2024-03-29T11:40:58.007+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 3.10M
[2024-03-29T11:40:58.017+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 26.1M
[2024-03-29T11:40:58.018+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 17.8M
[2024-03-29T11:40:58.020+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  474M
[2024-03-29T11:40:58.022+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  430M
