[2024-03-31T06:14:05.837+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-03-31T06:14:05.849+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-03-31T06:14:05.850+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-31T06:14:05.884+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-30 00:00:00+00:00
[2024-03-31T06:14:05.896+0000] {standard_task_runner.py:60} INFO - Started process 433 to run task
[2024-03-31T06:14:05.900+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_0_task', 'scheduled__2024-03-30T00:00:00+00:00', '--job-id', '576', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpasnzy3h3']
[2024-03-31T06:14:05.902+0000] {standard_task_runner.py:88} INFO - Job 576: Subtask download_dataset_0_task
[2024-03-31T06:14:06.002+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-03-30T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-31T06:14:06.180+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-30T00:00:00+00:00'
[2024-03-31T06:14:06.183+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-31T06:14:06.190+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-31T06:14:06.211+0000] {subprocess.py:86} INFO - Output:
[2024-03-31T06:14:06.241+0000] {subprocess.py:93} INFO - --2024-03-31 06:14:06--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-31T06:14:06.265+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.68.26, 52.206.140.199
[2024-03-31T06:14:06.267+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-31T06:14:07.367+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-31T06:14:07.369+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-31T06:14:07.375+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-31T06:14:07.376+0000] {subprocess.py:93} INFO - 
[2024-03-31T06:14:07.482+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  438K
[2024-03-31T06:14:07.593+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  450K
[2024-03-31T06:14:07.596+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 51.3M
[2024-03-31T06:14:07.596+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 38.3M
[2024-03-31T06:14:07.707+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  450K
[2024-03-31T06:14:07.714+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 7.14M
[2024-03-31T06:14:07.729+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 63.7M
[2024-03-31T06:14:07.729+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 65.1M
[2024-03-31T06:14:07.817+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  488K
[2024-03-31T06:14:07.820+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 33.2M
[2024-03-31T06:14:07.838+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 2.81M
[2024-03-31T06:14:07.846+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 11.8M
[2024-03-31T06:14:07.848+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 18.4M
[2024-03-31T06:14:07.927+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  593K
[2024-03-31T06:14:07.929+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 73.7M
[2024-03-31T06:14:07.938+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 5.83M
[2024-03-31T06:14:07.940+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 18.9M
[2024-03-31T06:14:07.940+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  122M
[2024-03-31T06:14:07.941+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  443M
[2024-03-31T06:14:07.965+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 2.51M
[2024-03-31T06:14:07.966+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  486M
[2024-03-31T06:14:07.980+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  321M
[2024-03-31T06:14:07.981+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 6.84M
