[2024-03-31T06:13:53.955+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-03-31T06:13:54.004+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-30T00:00:00+00:00 [queued]>
[2024-03-31T06:13:54.005+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-31T06:13:54.067+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-30 00:00:00+00:00
[2024-03-31T06:13:54.104+0000] {standard_task_runner.py:60} INFO - Started process 406 to run task
[2024-03-31T06:13:54.120+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_4_task', 'scheduled__2024-03-30T00:00:00+00:00', '--job-id', '572', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpjrwavs1w']
[2024-03-31T06:13:54.128+0000] {standard_task_runner.py:88} INFO - Job 572: Subtask download_dataset_4_task
[2024-03-31T06:13:54.295+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-03-30T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-03-31T06:13:54.926+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-03-30T00:00:00+00:00'
[2024-03-31T06:13:55.027+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-31T06:13:55.036+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-31T06:13:55.201+0000] {subprocess.py:86} INFO - Output:
[2024-03-31T06:13:55.251+0000] {subprocess.py:93} INFO - --2024-03-31 06:13:55--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-31T06:13:55.353+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.68.26, 52.206.140.199
[2024-03-31T06:13:55.354+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-31T06:13:56.440+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-31T06:13:56.442+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-31T06:13:56.444+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-31T06:13:56.447+0000] {subprocess.py:93} INFO - 
[2024-03-31T06:13:56.550+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  460K
[2024-03-31T06:13:56.658+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  461K
[2024-03-31T06:13:56.662+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 15.1M
[2024-03-31T06:13:56.677+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 3.94M
[2024-03-31T06:13:56.766+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  539K
[2024-03-31T06:13:56.768+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  510M
[2024-03-31T06:13:56.797+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 12.3M
[2024-03-31T06:13:56.809+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 1.27M
[2024-03-31T06:13:56.886+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  650K
[2024-03-31T06:13:56.888+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 35.7M
[2024-03-31T06:13:56.888+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  240M
[2024-03-31T06:13:56.889+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  140M
[2024-03-31T06:13:56.920+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 1.49M
[2024-03-31T06:13:56.994+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  679K
[2024-03-31T06:13:57.009+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 3.57M
[2024-03-31T06:13:57.014+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 26.3M
[2024-03-31T06:13:57.022+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 55.2M
[2024-03-31T06:13:57.029+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 49.7M
[2024-03-31T06:13:57.033+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 97.2M
[2024-03-31T06:13:57.034+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  169M
[2024-03-31T06:13:57.044+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 5.59M
[2024-03-31T06:13:57.046+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 96.1M
[2024-03-31T06:13:57.047+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  300M
