[2024-04-02T06:09:14.154+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T06:09:14.351+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T06:09:14.386+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-02T06:09:14.529+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-04-01 00:00:00+00:00
[2024-04-02T06:09:14.593+0000] {standard_task_runner.py:60} INFO - Started process 171 to run task
[2024-04-02T06:09:14.679+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_0_task', 'scheduled__2024-04-01T00:00:00+00:00', '--job-id', '596', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpbexgagaw']
[2024-04-02T06:09:14.719+0000] {standard_task_runner.py:88} INFO - Job 596: Subtask download_dataset_0_task
[2024-04-02T06:09:15.402+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_0_task scheduled__2024-04-01T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-04-02T06:09:16.999+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-04-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-01T00:00:00+00:00'
[2024-04-02T06:09:17.031+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T06:09:17.039+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-04-02T06:09:17.262+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T06:09:17.581+0000] {subprocess.py:93} INFO - --2024-04-02 06:09:17--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-04-02T06:09:17.881+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-04-02T06:09:17.883+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-04-02T06:09:18.521+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T06:09:18.523+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-04-02T06:09:18.524+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-04-02T06:09:18.525+0000] {subprocess.py:93} INFO - 
[2024-04-02T06:09:18.631+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  461K
[2024-04-02T06:09:18.741+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  451K
[2024-04-02T06:09:18.851+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  457K
[2024-04-02T06:09:18.961+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  453K
[2024-04-02T06:09:19.063+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  494K
[2024-04-02T06:09:19.076+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 3.73M
[2024-04-02T06:09:19.220+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  347K
[2024-04-02T06:09:19.316+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  524K
[2024-04-02T06:09:19.416+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  506K
[2024-04-02T06:09:19.516+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  490K
[2024-04-02T06:09:19.611+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  543K
[2024-04-02T06:09:19.642+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 1.49M
[2024-04-02T06:09:19.747+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  471K
[2024-04-02T06:09:19.850+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  488K
[2024-04-02T06:09:19.929+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 5.55M
[2024-04-02T06:09:19.968+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  472K
[2024-04-02T06:09:20.068+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  483K
[2024-04-02T06:09:20.172+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  478K
[2024-04-02T06:09:20.177+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 10.5M
[2024-04-02T06:09:20.283+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  476K
[2024-04-02T06:09:20.387+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  476K
[2024-04-02T06:09:20.393+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 11.5M
[2024-04-02T06:09:20.519+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  393K
