[2024-04-02T06:09:14.522+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_1_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T06:09:14.748+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_1_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T06:09:14.769+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-02T06:09:15.279+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-04-01 00:00:00+00:00
[2024-04-02T06:09:15.387+0000] {standard_task_runner.py:60} INFO - Started process 176 to run task
[2024-04-02T06:09:15.412+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_1_task', 'scheduled__2024-04-01T00:00:00+00:00', '--job-id', '597', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp6r5c0_ic']
[2024-04-02T06:09:15.426+0000] {standard_task_runner.py:88} INFO - Job 597: Subtask download_dataset_1_task
[2024-04-02T06:09:15.831+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_1_task scheduled__2024-04-01T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-04-02T06:09:17.442+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-04-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-01T00:00:00+00:00'
[2024-04-02T06:09:17.450+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T06:09:17.494+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-04-02T06:09:17.797+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T06:09:17.888+0000] {subprocess.py:93} INFO - --2024-04-02 06:09:17--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-04-02T06:09:18.090+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-04-02T06:09:18.108+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-04-02T06:09:18.737+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T06:09:18.743+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-04-02T06:09:18.744+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-04-02T06:09:18.744+0000] {subprocess.py:93} INFO - 
[2024-04-02T06:09:18.852+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  437K
[2024-04-02T06:09:18.962+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  465K
[2024-04-02T06:09:19.075+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  434K
[2024-04-02T06:09:19.078+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 25.5M
[2024-04-02T06:09:19.216+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  358K
[2024-04-02T06:09:19.315+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  508K
[2024-04-02T06:09:19.414+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  503K
[2024-04-02T06:09:19.528+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  440K
[2024-04-02T06:09:19.532+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  188M
[2024-04-02T06:09:19.639+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  452K
[2024-04-02T06:09:19.747+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  462K
[2024-04-02T06:09:19.750+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 39.5M
[2024-04-02T06:09:19.857+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  459K
[2024-04-02T06:09:19.962+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  476K
[2024-04-02T06:09:20.069+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 9.52M
[2024-04-02T06:09:20.088+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  416K
[2024-04-02T06:09:20.191+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  485K
[2024-04-02T06:09:20.272+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  631K
[2024-04-02T06:09:20.305+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 1.42M
[2024-04-02T06:09:20.390+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  584K
[2024-04-02T06:09:20.417+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 2.46M
[2024-04-02T06:09:20.532+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  416K
[2024-04-02T06:09:20.627+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  654K
[2024-04-02T06:09:20.631+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... .......... 2.02M
[2024-04-02T06:09:20.745+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  451K
[2024-04-02T06:09:20.823+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  617K
[2024-04-02T06:09:20.851+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 1.69M
[2024-04-02T06:09:20.947+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  524K
[2024-04-02T06:09:20.958+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 4.42M
[2024-04-02T06:09:21.068+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  456K
[2024-04-02T06:09:21.150+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  650K
[2024-04-02T06:09:21.173+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 1.69M
[2024-04-02T06:09:21.272+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  505K
[2024-04-02T06:09:21.353+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  625K
[2024-04-02T06:09:21.391+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 1.27M
[2024-04-02T06:09:21.473+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  610K
[2024-04-02T06:09:21.502+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 1.66M
[2024-04-02T06:09:21.599+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  518K
[2024-04-02T06:09:21.686+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 3.17M
[2024-04-02T06:09:21.716+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  490K
[2024-04-02T06:09:21.820+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  481K
[2024-04-02T06:09:21.824+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 11.6M
[2024-04-02T06:09:21.928+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  493K
[2024-04-02T06:09:22.002+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  656K
[2024-04-02T06:09:22.067+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... .......... 1.08M
[2024-04-02T06:09:22.126+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  633K
[2024-04-02T06:09:22.172+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 1.61M
[2024-04-02T06:09:22.259+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  490K
[2024-04-02T06:09:22.358+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  506K
[2024-04-02T06:09:22.404+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 1.06M
[2024-04-02T06:09:22.470+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  749K
[2024-04-02T06:09:22.508+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... .......... 1.30M
[2024-04-02T06:09:22.599+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  547K
[2024-04-02T06:09:22.657+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  899K
[2024-04-02T06:09:22.725+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 1.28M
[2024-04-02T06:09:22.803+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  462K
[2024-04-02T06:09:22.870+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  773K
[2024-04-02T06:09:22.915+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... .......... 1011K
[2024-04-02T06:09:23.007+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  579K
[2024-04-02T06:09:23.027+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 1.90M
[2024-04-02T06:09:23.122+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  530K
[2024-04-02T06:09:23.155+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... .......... 1.46M
[2024-04-02T06:09:23.240+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  647K
[2024-04-02T06:09:23.322+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  556K
[2024-04-02T06:09:23.349+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 1.88M
[2024-04-02T06:09:23.455+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  470K
[2024-04-02T06:09:23.486+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 1.56M
[2024-04-02T06:09:23.564+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  645K
[2024-04-02T06:09:23.657+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  612K
[2024-04-02T06:09:23.677+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... .......... 1.85M
[2024-04-02T06:09:23.784+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  444K
[2024-04-02T06:09:23.812+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 1.74M
[2024-04-02T06:09:23.888+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  659K
[2024-04-02T06:09:23.926+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... .......... 1.37M
[2024-04-02T06:09:24.002+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  639K
[2024-04-02T06:09:24.042+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... .......... 1.28M
[2024-04-02T06:09:24.107+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  765K
[2024-04-02T06:09:24.181+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  675K
[2024-04-02T06:09:24.224+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 1.09M
[2024-04-02T06:09:24.309+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  595K
[2024-04-02T06:09:24.345+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 1.34M
[2024-04-02T06:09:24.427+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  606K
[2024-04-02T06:09:24.472+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 1.10M
[2024-04-02T06:09:24.552+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  630K
