[2024-04-02T06:09:23.160+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T06:09:23.296+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T06:09:23.306+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-04-02T06:09:23.508+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-04-01 00:00:00+00:00
[2024-04-02T06:09:23.559+0000] {standard_task_runner.py:60} INFO - Started process 189 to run task
[2024-04-02T06:09:23.587+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_3_task', 'scheduled__2024-04-01T00:00:00+00:00', '--job-id', '598', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpieoj0tqk']
[2024-04-02T06:09:23.594+0000] {standard_task_runner.py:88} INFO - Job 598: Subtask download_dataset_3_task
[2024-04-02T06:09:24.318+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_3_task scheduled__2024-04-01T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-04-02T06:09:25.538+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-04-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-01T00:00:00+00:00'
[2024-04-02T06:09:25.565+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T06:09:25.581+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-04-02T06:09:25.751+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T06:09:25.887+0000] {subprocess.py:93} INFO - --2024-04-02 06:09:25--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-04-02T06:09:26.193+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-04-02T06:09:26.195+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-04-02T06:09:26.916+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T06:09:26.931+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-04-02T06:09:26.933+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-04-02T06:09:26.938+0000] {subprocess.py:93} INFO - 
[2024-04-02T06:09:27.027+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  448K
[2024-04-02T06:09:27.137+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  458K
[2024-04-02T06:09:27.140+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  300M
[2024-04-02T06:09:27.239+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  489K
[2024-04-02T06:09:27.357+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  423K
[2024-04-02T06:09:27.360+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  342M
[2024-04-02T06:09:27.462+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  478K
[2024-04-02T06:09:27.577+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  437K
[2024-04-02T06:09:27.684+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  466K
[2024-04-02T06:09:27.689+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  219M
[2024-04-02T06:09:27.790+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  471K
[2024-04-02T06:09:27.895+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  483K
[2024-04-02T06:09:27.900+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  269M
[2024-04-02T06:09:28.004+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  451K
[2024-04-02T06:09:28.114+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  456K
[2024-04-02T06:09:28.115+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  396M
[2024-04-02T06:09:28.221+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  466K
[2024-04-02T06:09:28.323+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  491K
[2024-04-02T06:09:28.331+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 31.1M
[2024-04-02T06:09:28.445+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  418K
[2024-04-02T06:09:28.450+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  331M
[2024-04-02T06:09:28.541+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  526K
[2024-04-02T06:09:28.655+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  457K
