[2024-04-02T08:32:47.909+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T08:32:47.922+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-04-01T00:00:00+00:00 [queued]>
[2024-04-02T08:32:47.923+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-04-02T08:32:47.941+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-04-01 00:00:00+00:00
[2024-04-02T08:32:47.947+0000] {standard_task_runner.py:60} INFO - Started process 2803 to run task
[2024-04-02T08:32:47.949+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'ingesting_data_bq', 'download_dataset_4_task', 'scheduled__2024-04-01T00:00:00+00:00', '--job-id', '653', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp7_80f_pi']
[2024-04-02T08:32:47.951+0000] {standard_task_runner.py:88} INFO - Job 653: Subtask download_dataset_4_task
[2024-04-02T08:32:48.005+0000] {task_command.py:423} INFO - Running <TaskInstance: ingesting_data_bq.download_dataset_4_task scheduled__2024-04-01T00:00:00+00:00 [running]> on host 0f6b1d3e95d8
[2024-04-02T08:32:48.084+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='ingesting_data_bq' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-04-01T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-01T00:00:00+00:00'
[2024-04-02T08:32:48.085+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-02T08:32:48.086+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-04-02T08:32:48.104+0000] {subprocess.py:86} INFO - Output:
[2024-04-02T08:32:48.113+0000] {subprocess.py:93} INFO - --2024-04-02 08:32:48--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-04-02T08:32:48.126+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.205, 52.206.140.199
[2024-04-02T08:32:48.127+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-04-02T08:32:48.757+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-04-02T08:32:48.758+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-04-02T08:32:48.759+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-04-02T08:32:48.759+0000] {subprocess.py:93} INFO - 
[2024-04-02T08:32:48.865+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  466K
[2024-04-02T08:32:48.974+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  462K
[2024-04-02T08:32:49.015+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 4.77M
[2024-04-02T08:32:49.018+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 12.4M
[2024-04-02T08:32:49.092+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  483K
[2024-04-02T08:32:49.092+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  124M
[2024-04-02T08:32:49.092+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  529M
[2024-04-02T08:32:49.093+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  282M
[2024-04-02T08:32:49.248+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  324K
[2024-04-02T08:32:49.251+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  349M
[2024-04-02T08:32:49.252+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  511M
[2024-04-02T08:32:49.258+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  504M
[2024-04-02T08:32:49.264+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 4.41M
[2024-04-02T08:32:49.297+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 1.23M
[2024-04-02T08:32:49.298+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  492M
[2024-04-02T08:32:49.317+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 2.47M
[2024-04-02T08:32:49.320+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 16.6M
[2024-04-02T08:32:49.321+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 72.7M
[2024-04-02T08:32:49.321+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  123M
[2024-04-02T08:32:49.321+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  361M
[2024-04-02T08:32:49.322+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  137M
[2024-04-02T08:32:49.322+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  512M
[2024-04-02T08:32:49.322+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  601M
[2024-04-02T08:32:49.403+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  620K
[2024-04-02T08:32:49.410+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 11.8M
[2024-04-02T08:32:49.413+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  133M
[2024-04-02T08:32:49.417+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 30.3M
[2024-04-02T08:32:49.420+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 17.4M
[2024-04-02T08:32:49.422+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  291M
[2024-04-02T08:32:49.424+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 44.2M
[2024-04-02T08:32:49.428+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  288M
[2024-04-02T08:32:49.429+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 11.1M
[2024-04-02T08:32:49.433+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 80.3M
[2024-04-02T08:32:49.438+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 18.1M
[2024-04-02T08:32:49.441+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 55.9M
[2024-04-02T08:32:49.442+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 41.1M
[2024-04-02T08:32:49.456+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 31.9M
[2024-04-02T08:32:49.463+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 67.3M
[2024-04-02T08:32:49.466+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 6.05M
[2024-04-02T08:32:49.473+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... .......... 20.0M
[2024-04-02T08:32:49.479+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 33.0M
[2024-04-02T08:32:49.479+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 26.7M
[2024-04-02T08:32:49.480+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 43.5M
[2024-04-02T08:32:49.481+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 38.0M
[2024-04-02T08:32:49.519+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  648K
[2024-04-02T08:32:49.521+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... .......... 27.4M
[2024-04-02T08:32:49.536+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  505M
[2024-04-02T08:32:49.538+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  303M
[2024-04-02T08:32:49.538+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 4.54M
[2024-04-02T08:32:49.539+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 9.71M
[2024-04-02T08:32:49.547+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  426M
[2024-04-02T08:32:49.547+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  400M
[2024-04-02T08:32:49.548+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  458M
[2024-04-02T08:32:49.548+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  435M
[2024-04-02T08:32:49.548+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 37.6M
[2024-04-02T08:32:49.560+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  345M
[2024-04-02T08:32:49.574+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  416M
[2024-04-02T08:32:49.581+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  342M
[2024-04-02T08:32:49.587+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 6.41M
[2024-04-02T08:32:49.587+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  323M
[2024-04-02T08:32:49.587+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  335M
[2024-04-02T08:32:49.588+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  508M
[2024-04-02T08:32:49.588+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  550M
[2024-04-02T08:32:49.588+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  108M
[2024-04-02T08:32:49.635+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  567K
[2024-04-02T08:32:49.636+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  268M
[2024-04-02T08:32:49.644+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 10.2M
[2024-04-02T08:32:49.645+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 11.9M
[2024-04-02T08:32:49.652+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... .......... 89.7M
[2024-04-02T08:32:49.653+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  246M
[2024-04-02T08:32:49.653+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  141M
[2024-04-02T08:32:49.729+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  598K
[2024-04-02T08:32:49.739+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... .......... 4.68M
[2024-04-02T08:32:49.745+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... .......... 15.8M
[2024-04-02T08:32:49.746+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  241M
[2024-04-02T08:32:49.747+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  378M
[2024-04-02T08:32:49.760+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 6.21M
[2024-04-02T08:32:49.761+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 27.0M
[2024-04-02T08:32:49.762+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 7.12M
[2024-04-02T08:32:49.763+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  248M
[2024-04-02T08:32:49.763+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  313M
[2024-04-02T08:32:49.764+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  366M
[2024-04-02T08:32:49.766+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  459M
[2024-04-02T08:32:49.781+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 26.6M
[2024-04-02T08:32:49.787+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 47.8M
[2024-04-02T08:32:49.803+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 21.4M
[2024-04-02T08:32:49.809+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 53.0M
[2024-04-02T08:32:49.814+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 12.7M
[2024-04-02T08:32:49.823+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11.2M
[2024-04-02T08:32:49.833+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 31.0M
[2024-04-02T08:32:49.841+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 19.0M
[2024-04-02T08:32:49.846+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 5.77M
[2024-04-02T08:32:49.850+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 27.3M
[2024-04-02T08:32:49.851+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 46.3M
[2024-04-02T08:32:49.854+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 55.7M
[2024-04-02T08:32:49.855+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 31.0M
