[2024-03-12T10:47:26.939+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T10:47:26.947+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T10:47:26.948+0000] {taskinstance.py:2193} INFO - Starting attempt 4 of 4
[2024-03-12T10:47:26.960+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): l1_dynamic_generated_0> on 2024-03-12 10:11:12.059013+00:00
[2024-03-12T10:47:26.966+0000] {standard_task_runner.py:60} INFO - Started process 534 to run task
[2024-03-12T10:47:26.968+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'l1_dynamic_generated_0', 'manual__2024-03-12T10:11:12.059013+00:00', '--job-id', '33', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp_g4o650_']
[2024-03-12T10:47:26.970+0000] {standard_task_runner.py:88} INFO - Job 33: Subtask l1_dynamic_generated_0
[2024-03-12T10:47:27.007+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [running]> on host 9958f290dc4a
[2024-03-12T10:47:27.076+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='l1_dynamic_generated_0' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T10:11:12.059013+00:00' AIRFLOW_CTX_TRY_NUMBER='4' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T10:11:12.059013+00:00'
[2024-03-12T10:47:27.079+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T10:47:27.079+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O AIRFLOW_HOME\\data.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-12T10:47:27.090+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T10:47:27.095+0000] {subprocess.py:93} INFO - --2024-03-12 10:47:27--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-12T10:47:27.213+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-12T10:47:27.216+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-12T10:47:27.841+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T10:47:27.842+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T10:47:27.842+0000] {subprocess.py:93} INFO - Saving to: ‘AIRFLOW_HOMEdata.csv’
[2024-03-12T10:47:27.843+0000] {subprocess.py:93} INFO - 
[2024-03-12T10:47:27.952+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  449K
[2024-03-12T10:47:28.062+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  452K
[2024-03-12T10:47:28.174+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  451K
[2024-03-12T10:47:28.284+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  451K
[2024-03-12T10:47:28.286+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 39.7M
[2024-03-12T10:47:28.396+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  453K
[2024-03-12T10:47:28.508+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  448K
[2024-03-12T10:47:28.617+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  456K
[2024-03-12T10:47:28.729+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  447K
[2024-03-12T10:47:28.838+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  459K
[2024-03-12T10:47:28.840+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 28.9M
[2024-03-12T10:47:28.950+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  454K
[2024-03-12T10:47:29.061+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  454K
[2024-03-12T10:47:29.062+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 32.5M
[2024-03-12T10:47:29.172+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  454K
[2024-03-12T10:47:29.282+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  452K
[2024-03-12T10:47:29.392+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  455K
[2024-03-12T10:47:29.394+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 35.0M
[2024-03-12T10:47:29.505+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  451K
[2024-03-12T10:47:29.614+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  458K
[2024-03-12T10:47:29.615+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 33.4M
[2024-03-12T10:47:29.727+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  452K
[2024-03-12T10:47:29.839+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  442K
[2024-03-12T10:47:29.947+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  467K
[2024-03-12T10:47:29.948+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 32.9M
[2024-03-12T10:47:30.058+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  455K
[2024-03-12T10:47:30.168+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  454K
[2024-03-12T10:47:30.169+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 24.3M
[2024-03-12T10:47:30.279+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  455K
[2024-03-12T10:47:30.281+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 42.6M
[2024-03-12T10:47:30.391+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  454K
[2024-03-12T10:47:30.501+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  453K
[2024-03-12T10:47:30.611+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  455K
[2024-03-12T10:47:30.613+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 27.4M
[2024-03-12T10:47:30.722+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  456K
[2024-03-12T10:47:30.816+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  532K
[2024-03-12T10:47:30.834+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 2.77M
[2024-03-12T10:47:30.944+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  454K
[2024-03-12T10:47:31.054+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 31.2M
[2024-03-12T10:47:31.055+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  455K
[2024-03-12T10:47:31.167+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  452K
[2024-03-12T10:47:31.276+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  456K
[2024-03-12T10:47:31.277+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 29.0M
[2024-03-12T10:47:31.389+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  449K
[2024-03-12T10:47:31.389+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  245M
[2024-03-12T10:47:31.499+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  455K
[2024-03-12T10:47:31.609+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  452K
[2024-03-12T10:47:31.719+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  456K
[2024-03-12T10:47:31.720+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 37.5M
[2024-03-12T10:47:31.831+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  450K
[2024-03-12T10:47:31.925+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  534K
