[2024-03-12T10:52:40.146+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T10:52:40.157+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T10:52:40.158+0000] {taskinstance.py:2193} INFO - Starting attempt 7 of 7
[2024-03-12T10:52:40.180+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): l1_dynamic_generated_0> on 2024-03-12 10:11:12.059013+00:00
[2024-03-12T10:52:40.186+0000] {standard_task_runner.py:60} INFO - Started process 638 to run task
[2024-03-12T10:52:40.189+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'l1_dynamic_generated_0', 'manual__2024-03-12T10:11:12.059013+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpismutd9b']
[2024-03-12T10:52:40.191+0000] {standard_task_runner.py:88} INFO - Job 36: Subtask l1_dynamic_generated_0
[2024-03-12T10:52:40.234+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [running]> on host 9958f290dc4a
[2024-03-12T10:52:40.352+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='l1_dynamic_generated_0' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T10:11:12.059013+00:00' AIRFLOW_CTX_TRY_NUMBER='7' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T10:11:12.059013+00:00'
[2024-03-12T10:52:40.355+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T10:52:40.357+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/data.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-12T10:52:40.367+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T10:52:40.372+0000] {subprocess.py:93} INFO - --2024-03-12 10:52:40--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-12T10:52:40.438+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-12T10:52:40.440+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-12T10:52:41.062+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T10:52:41.063+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T10:52:41.064+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/data.csv’
[2024-03-12T10:52:41.064+0000] {subprocess.py:93} INFO - 
[2024-03-12T10:52:41.165+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  493K
[2024-03-12T10:52:41.272+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  470K
[2024-03-12T10:52:41.273+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 16.7M
[2024-03-12T10:52:41.275+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 44.9M
[2024-03-12T10:52:41.382+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  466K
[2024-03-12T10:52:41.383+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 42.5M
[2024-03-12T10:52:41.384+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  342M
[2024-03-12T10:52:41.385+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 51.0M
[2024-03-12T10:52:41.486+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  490K
[2024-03-12T10:52:41.492+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 31.6M
[2024-03-12T10:52:41.494+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 31.0M
[2024-03-12T10:52:41.494+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 33.3M
[2024-03-12T10:52:41.495+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 55.5M
[2024-03-12T10:52:41.594+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  489K
[2024-03-12T10:52:41.599+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 14.5M
[2024-03-12T10:52:41.600+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 20.4M
[2024-03-12T10:52:41.601+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 49.4M
[2024-03-12T10:52:41.603+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 37.6M
[2024-03-12T10:52:41.702+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  503K
[2024-03-12T10:52:41.704+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 22.2M
[2024-03-12T10:52:41.706+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 33.6M
[2024-03-12T10:52:41.715+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 4.95M
[2024-03-12T10:52:41.716+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  168M
[2024-03-12T10:52:41.717+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  327M
[2024-03-12T10:52:41.719+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 40.2M
[2024-03-12T10:52:41.720+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 20.4M
[2024-03-12T10:52:41.727+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 6.29M
[2024-03-12T10:52:41.728+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  193M
[2024-03-12T10:52:41.730+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  322M
[2024-03-12T10:52:41.731+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 17.2M
[2024-03-12T10:52:41.732+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 25.7M
[2024-03-12T10:52:41.734+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 22.0M
[2024-03-12T10:52:41.810+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  662K
[2024-03-12T10:52:41.814+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 10.6M
[2024-03-12T10:52:41.816+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 23.2M
[2024-03-12T10:52:41.818+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 31.3M
[2024-03-12T10:52:41.819+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 44.4M
[2024-03-12T10:52:41.822+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 20.4M
[2024-03-12T10:52:41.825+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 19.2M
[2024-03-12T10:52:41.831+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... .......... 6.99M
[2024-03-12T10:52:41.832+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 40.9M
[2024-03-12T10:52:41.840+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 6.31M
[2024-03-12T10:52:41.841+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 56.5M
[2024-03-12T10:52:41.843+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 19.0M
[2024-03-12T10:52:41.847+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... .......... 12.0M
[2024-03-12T10:52:41.849+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... .......... 33.8M
[2024-03-12T10:52:41.855+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 7.78M
[2024-03-12T10:52:41.856+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  184M
[2024-03-12T10:52:41.857+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  357M
[2024-03-12T10:52:41.858+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  368M
[2024-03-12T10:52:41.858+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  277M
[2024-03-12T10:52:41.916+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  826K
[2024-03-12T10:52:41.919+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 36.4M
[2024-03-12T10:52:41.920+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 21.7M
[2024-03-12T10:52:41.921+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 50.6M
