[2024-03-12T10:53:27.334+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T10:53:27.344+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T10:53:27.345+0000] {taskinstance.py:2193} INFO - Starting attempt 8 of 8
[2024-03-12T10:53:27.358+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): l1_dynamic_generated_0> on 2024-03-12 10:11:12.059013+00:00
[2024-03-12T10:53:27.363+0000] {standard_task_runner.py:60} INFO - Started process 659 to run task
[2024-03-12T10:53:27.365+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'l1_dynamic_generated_0', 'manual__2024-03-12T10:11:12.059013+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp5xut1c3g']
[2024-03-12T10:53:27.367+0000] {standard_task_runner.py:88} INFO - Job 37: Subtask l1_dynamic_generated_0
[2024-03-12T10:53:27.406+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.l1_dynamic_generated_0 manual__2024-03-12T10:11:12.059013+00:00 [running]> on host 9958f290dc4a
[2024-03-12T10:53:27.469+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='l1_dynamic_generated_0' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T10:11:12.059013+00:00' AIRFLOW_CTX_TRY_NUMBER='8' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T10:11:12.059013+00:00'
[2024-03-12T10:53:27.472+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T10:53:27.473+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/data.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-12T10:53:27.483+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T10:53:27.494+0000] {subprocess.py:93} INFO - --2024-03-12 10:53:27--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-12T10:53:27.511+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-12T10:53:27.513+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-12T10:53:28.135+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T10:53:28.138+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T10:53:28.140+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/data.csv’
[2024-03-12T10:53:28.142+0000] {subprocess.py:93} INFO - 
[2024-03-12T10:53:28.243+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  468K
[2024-03-12T10:53:28.349+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  467K
[2024-03-12T10:53:28.351+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 30.7M
[2024-03-12T10:53:28.352+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 51.2M
[2024-03-12T10:53:28.457+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  473K
[2024-03-12T10:53:28.563+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  471K
[2024-03-12T10:53:28.565+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 33.8M
[2024-03-12T10:53:28.673+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  464K
[2024-03-12T10:53:28.674+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 50.5M
[2024-03-12T10:53:28.780+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  470K
[2024-03-12T10:53:28.782+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 31.4M
[2024-03-12T10:53:28.886+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  477K
[2024-03-12T10:53:28.889+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 16.9M
[2024-03-12T10:53:28.995+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  472K
[2024-03-12T10:53:28.997+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 31.9M
[2024-03-12T10:53:29.105+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  461K
[2024-03-12T10:53:29.108+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 15.5M
[2024-03-12T10:53:29.209+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  495K
[2024-03-12T10:53:29.213+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 12.3M
[2024-03-12T10:53:29.317+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  484K
[2024-03-12T10:53:29.317+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 46.7M
[2024-03-12T10:53:29.318+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 50.2M
[2024-03-12T10:53:29.425+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  472K
