[2024-03-12T12:01:23.952+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.wget_dataset_1 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T12:01:23.985+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.wget_dataset_1 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T12:01:23.986+0000] {taskinstance.py:2193} INFO - Starting attempt 3 of 3
[2024-03-12T12:01:24.024+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): wget_dataset_1> on 2024-03-12 10:11:12.059013+00:00
[2024-03-12T12:01:24.035+0000] {standard_task_runner.py:60} INFO - Started process 1859 to run task
[2024-03-12T12:01:24.052+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'wget_dataset_1', 'manual__2024-03-12T10:11:12.059013+00:00', '--job-id', '60', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpmc_lzfn6']
[2024-03-12T12:01:24.057+0000] {standard_task_runner.py:88} INFO - Job 60: Subtask wget_dataset_1
[2024-03-12T12:01:24.157+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.wget_dataset_1 manual__2024-03-12T10:11:12.059013+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:01:24.261+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='wget_dataset_1' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T10:11:12.059013+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T10:11:12.059013+00:00'
[2024-03-12T12:01:24.264+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:01:24.266+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-12T12:01:24.279+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:01:24.286+0000] {subprocess.py:93} INFO - --2024-03-12 12:01:24--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-12T12:01:24.302+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-12T12:01:24.304+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-12T12:01:25.420+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:01:25.421+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:01:25.421+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-12T12:01:25.423+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:01:25.526+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  476K
[2024-03-12T12:01:25.633+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  466K
[2024-03-12T12:01:25.635+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 31.8M
[2024-03-12T12:01:25.655+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 2.43M
[2024-03-12T12:01:25.742+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  577K
[2024-03-12T12:01:25.749+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 23.9M
[2024-03-12T12:01:25.759+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 59.4M
[2024-03-12T12:01:25.760+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 12.4M
[2024-03-12T12:01:25.852+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  484K
[2024-03-12T12:01:25.862+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 5.55M
[2024-03-12T12:01:25.864+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 25.8M
[2024-03-12T12:01:25.870+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 25.1M
[2024-03-12T12:01:25.871+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 17.8M
[2024-03-12T12:01:25.958+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  547K
[2024-03-12T12:01:25.962+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 19.4M
[2024-03-12T12:01:25.964+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 17.7M
[2024-03-12T12:01:25.966+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 19.6M
[2024-03-12T12:01:25.984+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 11.7M
[2024-03-12T12:01:25.985+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 8.25M
[2024-03-12T12:01:25.986+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 52.0M
[2024-03-12T12:01:25.986+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 12.6M
[2024-03-12T12:01:25.986+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 44.2M
[2024-03-12T12:01:25.986+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  177M
