[2024-03-12T12:01:23.512+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.wget_dataset_2 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T12:01:23.551+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.wget_dataset_2 manual__2024-03-12T10:11:12.059013+00:00 [queued]>
[2024-03-12T12:01:23.554+0000] {taskinstance.py:2193} INFO - Starting attempt 3 of 3
[2024-03-12T12:01:23.601+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): wget_dataset_2> on 2024-03-12 10:11:12.059013+00:00
[2024-03-12T12:01:23.615+0000] {standard_task_runner.py:60} INFO - Started process 1854 to run task
[2024-03-12T12:01:23.628+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'wget_dataset_2', 'manual__2024-03-12T10:11:12.059013+00:00', '--job-id', '57', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmppo4dr8ad']
[2024-03-12T12:01:23.637+0000] {standard_task_runner.py:88} INFO - Job 57: Subtask wget_dataset_2
[2024-03-12T12:01:23.744+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.wget_dataset_2 manual__2024-03-12T10:11:12.059013+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:01:23.973+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='wget_dataset_2' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T10:11:12.059013+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T10:11:12.059013+00:00'
[2024-03-12T12:01:23.976+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:01:23.979+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-12T12:01:24.012+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:01:24.016+0000] {subprocess.py:93} INFO - --2024-03-12 12:01:24--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-12T12:01:24.053+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-12T12:01:24.054+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-12T12:01:25.195+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:01:25.196+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:01:25.197+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-12T12:01:25.197+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:01:25.307+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:01:25.420+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  453K
[2024-03-12T12:01:25.424+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 15.4M
[2024-03-12T12:01:25.424+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 60.9M
[2024-03-12T12:01:25.528+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  467K
[2024-03-12T12:01:25.531+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 16.2M
[2024-03-12T12:01:25.535+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 20.0M
[2024-03-12T12:01:25.536+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 53.1M
[2024-03-12T12:01:25.651+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  431K
[2024-03-12T12:01:25.651+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  509M
[2024-03-12T12:01:25.652+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  551M
[2024-03-12T12:01:25.652+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  301M
[2024-03-12T12:01:25.653+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 36.6M
[2024-03-12T12:01:25.751+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  504K
[2024-03-12T12:01:25.755+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 12.3M
[2024-03-12T12:01:25.758+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 21.3M
[2024-03-12T12:01:25.775+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 3.26M
[2024-03-12T12:01:25.776+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 44.2M
[2024-03-12T12:01:25.776+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 36.8M
[2024-03-12T12:01:25.896+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  414K
[2024-03-12T12:01:25.903+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 14.4M
[2024-03-12T12:01:26.018+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  423K
[2024-03-12T12:01:26.019+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 51.8M
