[2024-03-12T12:13:42.942+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:13:43.032+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:13:43.033+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:43.076+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-12 11:58:26.742535+00:00
[2024-03-12T12:13:43.109+0000] {standard_task_runner.py:60} INFO - Started process 2086 to run task
[2024-03-12T12:13:43.125+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_0_task', 'manual__2024-03-12T11:58:26.742535+00:00', '--job-id', '61', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp4amad6qz']
[2024-03-12T12:13:43.147+0000] {standard_task_runner.py:88} INFO - Job 61: Subtask download_dataset_0_task
[2024-03-12T12:13:43.313+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-12T11:58:26.742535+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:43.768+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T11:58:26.742535+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T11:58:26.742535+00:00'
[2024-03-12T12:13:43.832+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:43.833+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv.gz https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-12T12:13:43.876+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:43.933+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:43--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-12T12:13:44.201+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:44.215+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:44.854+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:44.854+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:44.855+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv.gz’
[2024-03-12T12:13:44.855+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:44.968+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  437K
[2024-03-12T12:13:45.082+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  440K
[2024-03-12T12:13:45.085+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 33.9M
[2024-03-12T12:13:45.085+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  489M
[2024-03-12T12:13:45.192+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  459K
[2024-03-12T12:13:45.304+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:13:45.304+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  478M
[2024-03-12T12:13:45.415+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  451K
[2024-03-12T12:13:45.415+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  273M
[2024-03-12T12:13:45.537+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  410K
[2024-03-12T12:13:45.537+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  296M
[2024-03-12T12:13:45.648+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:13:45.650+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 51.1M
[2024-03-12T12:13:45.760+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  451K
[2024-03-12T12:13:45.761+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  345M
[2024-03-12T12:13:45.871+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  457K
[2024-03-12T12:13:45.877+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 29.2M
[2024-03-12T12:13:45.981+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  455K
[2024-03-12T12:13:45.983+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 22.6M
[2024-03-12T12:13:46.093+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  458K
[2024-03-12T12:13:46.097+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 17.5M
[2024-03-12T12:13:46.200+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  479K
[2024-03-12T12:13:46.206+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 7.17M
[2024-03-12T12:13:46.311+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  477K
[2024-03-12T12:13:46.317+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 8.54M
[2024-03-12T12:13:46.323+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 7.91M
[2024-03-12T12:13:46.431+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  472K
[2024-03-12T12:13:46.432+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 16.2M
[2024-03-12T12:13:46.548+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  433K
[2024-03-12T12:13:46.558+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 5.52M
[2024-03-12T12:13:46.646+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 26.6M
[2024-03-12T12:13:46.655+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  517K
[2024-03-12T12:13:46.656+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 32.8M
[2024-03-12T12:13:46.767+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  452K
[2024-03-12T12:13:46.769+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 30.9M
[2024-03-12T12:13:46.877+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  462K
[2024-03-12T12:13:46.882+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 9.45M
[2024-03-12T12:13:46.886+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 11.8M
[2024-03-12T12:13:46.991+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  475K
[2024-03-12T12:13:46.994+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... .......... 18.5M
[2024-03-12T12:13:47.110+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  429K
[2024-03-12T12:13:47.112+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  299M
[2024-03-12T12:13:47.213+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  505K
[2024-03-12T12:13:47.254+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 4.61M
[2024-03-12T12:13:47.310+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... .......... 92.8M
[2024-03-12T12:13:47.325+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  479K
[2024-03-12T12:13:47.339+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 16.6M
[2024-03-12T12:13:47.441+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  445K
[2024-03-12T12:13:47.445+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 11.2M
[2024-03-12T12:13:47.447+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 24.2M
[2024-03-12T12:13:47.552+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  480K
[2024-03-12T12:13:47.557+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... .......... 8.51M
[2024-03-12T12:13:47.655+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  509K
[2024-03-12T12:13:47.675+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 2.48M
[2024-03-12T12:13:47.676+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  392M
[2024-03-12T12:13:47.775+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  502K
[2024-03-12T12:13:47.783+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 6.04M
[2024-03-12T12:13:47.887+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  509K
[2024-03-12T12:13:47.903+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 4.54M
[2024-03-12T12:13:47.910+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 6.51M
[2024-03-12T12:13:48.020+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  415K
[2024-03-12T12:13:48.021+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  313M
[2024-03-12T12:13:48.103+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  602K
[2024-03-12T12:13:48.116+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 3.81M
[2024-03-12T12:13:48.120+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 14.4M
[2024-03-12T12:13:48.219+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  502K
[2024-03-12T12:13:48.228+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 5.29M
[2024-03-12T12:13:48.230+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 23.8M
[2024-03-12T12:13:48.346+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  431K
[2024-03-12T12:13:48.367+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... .......... 2.39M
[2024-03-12T12:13:48.447+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  622K
[2024-03-12T12:13:48.455+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 5.72M
[2024-03-12T12:13:48.457+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... .......... 22.3M
[2024-03-12T12:13:48.564+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  472K
[2024-03-12T12:13:48.589+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... .......... 2.04M
[2024-03-12T12:13:48.679+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  563K
[2024-03-12T12:13:48.703+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 1.97M
