[2024-03-12T12:13:44.395+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:13:44.487+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:13:44.489+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:44.587+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-12 11:58:26.742535+00:00
[2024-03-12T12:13:44.618+0000] {standard_task_runner.py:60} INFO - Started process 2093 to run task
[2024-03-12T12:13:44.630+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_2_task', 'manual__2024-03-12T11:58:26.742535+00:00', '--job-id', '66', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp098vs20o']
[2024-03-12T12:13:44.644+0000] {standard_task_runner.py:88} INFO - Job 66: Subtask download_dataset_2_task
[2024-03-12T12:13:44.888+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-12T11:58:26.742535+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:45.170+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T11:58:26.742535+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T11:58:26.742535+00:00'
[2024-03-12T12:13:45.174+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:45.181+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv.gz https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-12T12:13:45.218+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:45.225+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:45--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-12T12:13:45.267+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:45.269+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:52.565+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:52.565+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:52.566+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv.gz’
[2024-03-12T12:13:52.566+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:52.674+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  458K
[2024-03-12T12:13:52.782+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  467K
[2024-03-12T12:13:52.785+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 18.4M
[2024-03-12T12:13:52.786+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 31.5M
[2024-03-12T12:13:52.890+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  476K
[2024-03-12T12:13:52.892+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 21.2M
[2024-03-12T12:13:52.896+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 35.3M
[2024-03-12T12:13:52.897+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 26.6M
[2024-03-12T12:13:52.998+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  489K
[2024-03-12T12:13:53.000+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 22.9M
[2024-03-12T12:13:53.001+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 48.6M
[2024-03-12T12:13:53.002+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 29.5M
[2024-03-12T12:13:53.006+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 14.2M
[2024-03-12T12:13:53.126+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  493K
[2024-03-12T12:13:53.134+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 1.96M
[2024-03-12T12:13:53.145+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  424M
[2024-03-12T12:13:53.150+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  554M
[2024-03-12T12:13:53.150+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  537M
[2024-03-12T12:13:53.151+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  555M
[2024-03-12T12:13:53.153+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  402M
[2024-03-12T12:13:53.154+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  545M
[2024-03-12T12:13:53.155+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  579M
[2024-03-12T12:13:53.155+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  572M
[2024-03-12T12:13:53.238+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  618K
[2024-03-12T12:13:53.256+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 4.45M
[2024-03-12T12:13:53.263+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 30.4M
[2024-03-12T12:13:53.267+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 5.52M
[2024-03-12T12:13:53.271+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  166M
[2024-03-12T12:13:53.271+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  227M
[2024-03-12T12:13:53.272+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  123M
[2024-03-12T12:13:53.272+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 34.8M
[2024-03-12T12:13:53.273+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 14.2M
[2024-03-12T12:13:53.274+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 5.18M
[2024-03-12T12:13:53.274+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 90.6M
[2024-03-12T12:13:53.275+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 14.0M
[2024-03-12T12:13:53.275+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 51.0M
[2024-03-12T12:13:53.276+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... .......... 84.1M
[2024-03-12T12:13:53.276+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 69.4M
[2024-03-12T12:13:53.277+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 11.4M
[2024-03-12T12:13:53.277+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  323M
[2024-03-12T12:13:53.278+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  652M
[2024-03-12T12:13:53.278+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... .......... 9.84M
[2024-03-12T12:13:53.312+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 1.56M
[2024-03-12T12:13:53.356+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 9.01M
[2024-03-12T12:13:53.375+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  409M
[2024-03-12T12:13:53.377+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... .......... 1.88M
[2024-03-12T12:13:53.381+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  386M
[2024-03-12T12:13:53.384+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 3.02M
[2024-03-12T12:13:53.385+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 10.2M
[2024-03-12T12:13:53.386+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  569M
[2024-03-12T12:13:53.414+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  652M
[2024-03-12T12:13:53.420+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  540M
[2024-03-12T12:13:53.420+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 3.30M
[2024-03-12T12:13:53.421+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 49.7M
[2024-03-12T12:13:53.421+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 1.53M
[2024-03-12T12:13:53.462+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... .......... 1.09M
[2024-03-12T12:13:53.490+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 1.07M
[2024-03-12T12:13:53.491+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  139M
[2024-03-12T12:13:53.491+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  514M
[2024-03-12T12:13:53.499+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 71.3M
[2024-03-12T12:13:53.501+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... .......... 4.20M
[2024-03-12T12:13:53.514+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... .......... 35.5M
[2024-03-12T12:13:53.545+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... .......... 1.14M
[2024-03-12T12:13:53.585+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 8.66M
[2024-03-12T12:13:53.601+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 1011K
[2024-03-12T12:13:53.633+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  450M
[2024-03-12T12:13:53.634+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  484M
[2024-03-12T12:13:53.648+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 1.24M
[2024-03-12T12:13:53.654+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  370M
[2024-03-12T12:13:53.685+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... .......... 1.14M
[2024-03-12T12:13:53.686+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... .......... 15.7M
[2024-03-12T12:13:53.726+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 1.25M
[2024-03-12T12:13:53.735+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  709M
[2024-03-12T12:13:53.793+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  741K
[2024-03-12T12:13:53.823+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... .......... 3.99M
[2024-03-12T12:13:53.824+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  101M
[2024-03-12T12:13:53.824+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 20.3M
[2024-03-12T12:13:53.824+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  248M
[2024-03-12T12:13:53.844+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 1.35M
[2024-03-12T12:13:53.867+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 2.15M
[2024-03-12T12:13:53.868+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 31.4M
[2024-03-12T12:13:53.870+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 24.9M
[2024-03-12T12:13:53.900+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 1.66M
[2024-03-12T12:13:53.903+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 39.8M
[2024-03-12T12:13:53.946+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 1.15M
[2024-03-12T12:13:53.948+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 21.8M
[2024-03-12T12:13:53.978+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 1.50M
[2024-03-12T12:13:53.988+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  414M
[2024-03-12T12:13:54.019+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 1.70M
[2024-03-12T12:13:54.020+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 8.70M
[2024-03-12T12:13:54.027+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  466M
[2024-03-12T12:13:54.061+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 1.04M
[2024-03-12T12:13:54.062+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  475M
[2024-03-12T12:13:54.086+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 1.86M
[2024-03-12T12:13:54.087+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  348M
[2024-03-12T12:13:54.126+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 1.23M
[2024-03-12T12:13:54.127+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 28.1M
[2024-03-12T12:13:54.162+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 1.43M
[2024-03-12T12:13:54.162+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  498M
[2024-03-12T12:13:54.197+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 1.44M
[2024-03-12T12:13:54.202+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... ..........  728M
[2024-03-12T12:13:54.233+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 1.35M
[2024-03-12T12:13:54.241+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 5.45M
[2024-03-12T12:13:54.272+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 1.57M
[2024-03-12T12:13:54.273+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... ..........  308M
[2024-03-12T12:13:54.274+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... ..........  577M
[2024-03-12T12:13:54.297+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 1.98M
[2024-03-12T12:13:54.298+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 37.6M
[2024-03-12T12:13:54.340+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 1.15M
[2024-03-12T12:13:54.342+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 33.6M
[2024-03-12T12:13:54.374+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 1.72M
[2024-03-12T12:13:54.374+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 19.8M
[2024-03-12T12:13:54.407+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 1.41M
[2024-03-12T12:13:54.409+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 35.7M
[2024-03-12T12:13:54.445+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 1.37M
