[2024-03-12T12:13:45.454+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:13:45.474+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:13:45.475+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:45.508+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-12 11:58:26.742535+00:00
[2024-03-12T12:13:45.516+0000] {standard_task_runner.py:60} INFO - Started process 2102 to run task
[2024-03-12T12:13:45.518+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_3_task', 'manual__2024-03-12T11:58:26.742535+00:00', '--job-id', '69', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmppxa9tt84']
[2024-03-12T12:13:45.527+0000] {standard_task_runner.py:88} INFO - Job 69: Subtask download_dataset_3_task
[2024-03-12T12:13:45.620+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T11:58:26.742535+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:45.791+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T11:58:26.742535+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T11:58:26.742535+00:00'
[2024-03-12T12:13:45.799+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:45.801+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv.gz https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-12T12:13:45.817+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:45.822+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:45--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-12T12:13:45.840+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:45.841+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:56.980+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:56.983+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:56.985+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv.gz’
[2024-03-12T12:13:56.986+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:57.095+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  433K
[2024-03-12T12:13:57.207+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:13:57.209+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 25.2M
[2024-03-12T12:13:57.209+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  127M
[2024-03-12T12:13:57.319+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  456K
[2024-03-12T12:13:57.319+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  391M
[2024-03-12T12:13:57.320+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  574M
[2024-03-12T12:13:57.320+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  450M
[2024-03-12T12:13:57.432+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  442K
[2024-03-12T12:13:57.433+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  417M
[2024-03-12T12:13:57.433+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  514M
[2024-03-12T12:13:57.434+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  664M
[2024-03-12T12:13:57.434+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  560M
[2024-03-12T12:13:57.550+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  426K
[2024-03-12T12:13:57.550+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  347M
[2024-03-12T12:13:57.551+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 37.1M
[2024-03-12T12:13:57.557+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 8.38M
[2024-03-12T12:13:57.558+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 89.7M
[2024-03-12T12:13:57.558+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  778M
[2024-03-12T12:13:57.559+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  771M
[2024-03-12T12:13:57.560+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 18.1M
[2024-03-12T12:13:57.566+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 8.87M
[2024-03-12T12:13:57.568+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  292M
[2024-03-12T12:13:57.658+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  546K
[2024-03-12T12:13:57.659+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 26.5M
[2024-03-12T12:13:57.670+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 29.5M
[2024-03-12T12:13:57.683+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 58.0M
[2024-03-12T12:13:57.684+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 51.6M
[2024-03-12T12:13:57.684+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 24.8M
[2024-03-12T12:13:57.685+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 57.2M
[2024-03-12T12:13:57.685+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 35.1M
[2024-03-12T12:13:57.685+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 29.5M
[2024-03-12T12:13:57.686+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 9.11M
[2024-03-12T12:13:57.686+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  321M
[2024-03-12T12:13:57.687+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 96.2M
