[2024-03-12T12:15:53.095+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:15:53.131+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:15:53.133+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-12T12:15:53.183+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-12 11:58:26.742535+00:00
[2024-03-12T12:15:53.194+0000] {standard_task_runner.py:60} INFO - Started process 2187 to run task
[2024-03-12T12:15:53.212+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_3_task', 'manual__2024-03-12T11:58:26.742535+00:00', '--job-id', '86', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpisfef983']
[2024-03-12T12:15:53.213+0000] {standard_task_runner.py:88} INFO - Job 86: Subtask download_dataset_3_task
[2024-03-12T12:15:53.328+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T11:58:26.742535+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:15:53.584+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T11:58:26.742535+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T11:58:26.742535+00:00'
[2024-03-12T12:15:53.585+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:15:53.587+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-12T12:15:53.598+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:15:53.603+0000] {subprocess.py:93} INFO - --2024-03-12 12:15:53--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-12T12:15:53.615+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.68.26, 52.206.140.199
[2024-03-12T12:15:53.616+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-12T12:15:54.224+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:15:54.225+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:15:54.225+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-12T12:15:54.226+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:15:54.331+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  474K
[2024-03-12T12:15:54.443+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  461K
[2024-03-12T12:15:54.444+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 10.1M
[2024-03-12T12:15:54.448+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 10.6M
[2024-03-12T12:15:54.554+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  472K
[2024-03-12T12:15:54.555+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  166M
[2024-03-12T12:15:54.559+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  334M
[2024-03-12T12:15:54.560+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  322M
[2024-03-12T12:15:54.660+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  480K
[2024-03-12T12:15:54.661+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 23.9M
[2024-03-12T12:15:54.667+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 10.1M
[2024-03-12T12:15:54.679+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 3.91M
[2024-03-12T12:15:54.681+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 16.7M
[2024-03-12T12:15:54.774+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  587K
[2024-03-12T12:15:54.799+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 2.27M
[2024-03-12T12:15:54.800+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 4.35M
[2024-03-12T12:15:54.802+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  326M
[2024-03-12T12:15:54.803+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  390M
[2024-03-12T12:15:54.989+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  268K
[2024-03-12T12:15:55.003+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 3.79M
[2024-03-12T12:15:55.004+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 12.3M
[2024-03-12T12:15:55.007+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 31.3M
[2024-03-12T12:15:55.007+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  152M
