[2024-03-12T12:15:52.651+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:15:52.699+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-12T11:58:26.742535+00:00 [queued]>
[2024-03-12T12:15:52.709+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-12T12:15:52.827+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-12 11:58:26.742535+00:00
[2024-03-12T12:15:52.833+0000] {standard_task_runner.py:60} INFO - Started process 2183 to run task
[2024-03-12T12:15:52.860+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_4_task', 'manual__2024-03-12T11:58:26.742535+00:00', '--job-id', '82', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp7lfypgu8']
[2024-03-12T12:15:52.868+0000] {standard_task_runner.py:88} INFO - Job 82: Subtask download_dataset_4_task
[2024-03-12T12:15:53.048+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-12T11:58:26.742535+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:15:53.233+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T11:58:26.742535+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T11:58:26.742535+00:00'
[2024-03-12T12:15:53.242+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:15:53.246+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-12T12:15:53.283+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:15:53.305+0000] {subprocess.py:93} INFO - --2024-03-12 12:15:53--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-12T12:15:53.379+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.68.26, 52.206.140.199
[2024-03-12T12:15:53.384+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-12T12:15:53.994+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:15:53.997+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:15:53.997+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv’
[2024-03-12T12:15:53.998+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:15:54.104+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  459K
[2024-03-12T12:15:54.212+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  464K
[2024-03-12T12:15:54.214+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 23.7M
[2024-03-12T12:15:54.215+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 60.7M
[2024-03-12T12:15:54.326+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  460K
[2024-03-12T12:15:54.327+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 15.1M
[2024-03-12T12:15:54.327+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  118M
[2024-03-12T12:15:54.328+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 93.8M
[2024-03-12T12:15:54.435+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  464K
[2024-03-12T12:15:54.436+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  253M
[2024-03-12T12:15:54.437+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  347M
[2024-03-12T12:15:54.439+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  488M
[2024-03-12T12:15:54.445+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  494M
[2024-03-12T12:15:54.545+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  456K
[2024-03-12T12:15:54.546+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  107M
[2024-03-12T12:15:54.554+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 5.99M
[2024-03-12T12:15:54.554+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  475M
[2024-03-12T12:15:54.556+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  474M
[2024-03-12T12:15:54.646+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  549K
[2024-03-12T12:15:54.650+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 64.4M
[2024-03-12T12:15:54.654+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 11.3M
[2024-03-12T12:15:54.659+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 16.5M
[2024-03-12T12:15:54.684+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 2.80M
