[2024-03-12T12:13:45.038+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:45.101+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:45.102+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:45.160+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-12 12:13:33.995482+00:00
[2024-03-12T12:13:45.167+0000] {standard_task_runner.py:60} INFO - Started process 2098 to run task
[2024-03-12T12:13:45.211+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_0_task', 'manual__2024-03-12T12:13:33.995482+00:00', '--job-id', '68', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpeefcrrzh']
[2024-03-12T12:13:45.234+0000] {standard_task_runner.py:88} INFO - Job 68: Subtask download_dataset_0_task
[2024-03-12T12:13:45.360+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-12T12:13:33.995482+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:45.504+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T12:13:33.995482+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T12:13:33.995482+00:00'
[2024-03-12T12:13:45.505+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:45.507+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv.gz https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-12T12:13:45.534+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:45.548+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:45--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-12T12:13:45.584+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:45.585+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:52.889+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:52.891+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:52.892+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv.gz’
[2024-03-12T12:13:52.896+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:52.998+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  451K
[2024-03-12T12:13:53.124+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  404K
[2024-03-12T12:13:53.134+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  106M
[2024-03-12T12:13:53.148+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 4.61M
[2024-03-12T12:13:53.221+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  568K
[2024-03-12T12:13:53.225+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 12.9M
[2024-03-12T12:13:53.240+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 4.40M
[2024-03-12T12:13:53.255+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  119M
[2024-03-12T12:13:53.321+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  591K
[2024-03-12T12:13:53.334+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 9.11M
[2024-03-12T12:13:53.354+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 14.4M
[2024-03-12T12:13:53.354+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 3.20M
[2024-03-12T12:13:53.364+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 10.2M
[2024-03-12T12:13:53.430+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  627K
[2024-03-12T12:13:53.431+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 45.7M
[2024-03-12T12:13:53.441+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 4.83M
[2024-03-12T12:13:53.459+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 23.9M
[2024-03-12T12:13:53.462+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 12.0M
[2024-03-12T12:13:53.468+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 19.4M
[2024-03-12T12:13:53.482+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 10.2M
[2024-03-12T12:13:53.484+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 81.2M
[2024-03-12T12:13:53.485+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  327M
[2024-03-12T12:13:53.485+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 8.01M
[2024-03-12T12:13:53.536+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  667K
[2024-03-12T12:13:53.541+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 10.8M
[2024-03-12T12:13:53.544+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 21.4M
[2024-03-12T12:13:53.607+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 55.7M
[2024-03-12T12:13:53.633+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 38.2M
[2024-03-12T12:13:53.634+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  395M
[2024-03-12T12:13:53.634+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  771K
[2024-03-12T12:13:53.635+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  103M
[2024-03-12T12:13:53.639+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 36.7M
[2024-03-12T12:13:53.642+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 59.8M
[2024-03-12T12:13:53.643+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 1.70M
[2024-03-12T12:13:53.644+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  383M
[2024-03-12T12:13:53.644+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  527M
[2024-03-12T12:13:53.644+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  542M
[2024-03-12T12:13:53.645+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  583M
[2024-03-12T12:13:53.657+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  376M
[2024-03-12T12:13:53.673+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  438M
[2024-03-12T12:13:53.673+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  579M
[2024-03-12T12:13:53.674+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  399M
[2024-03-12T12:13:53.675+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  499M
[2024-03-12T12:13:53.675+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  284M
[2024-03-12T12:13:53.695+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  617M
[2024-03-12T12:13:53.697+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  700M
[2024-03-12T12:13:53.698+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 7.87M
[2024-03-12T12:13:53.702+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 9.27M
[2024-03-12T12:13:53.752+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 61.9M
[2024-03-12T12:13:53.755+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  826K
[2024-03-12T12:13:53.757+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 37.8M
[2024-03-12T12:13:53.768+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... .......... 62.9M
[2024-03-12T12:13:53.769+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 2.90M
[2024-03-12T12:13:53.770+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 89.6M
[2024-03-12T12:13:53.827+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  818K
[2024-03-12T12:13:53.828+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... .......... 5.74M
[2024-03-12T12:13:53.836+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... .......... 1.62M
[2024-03-12T12:13:53.845+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... .......... 30.9M
[2024-03-12T12:13:53.849+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 3.62M
[2024-03-12T12:13:53.850+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... .......... 50.3M
[2024-03-12T12:13:53.886+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... .......... 1.37M
[2024-03-12T12:13:53.887+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... .......... 47.2M
[2024-03-12T12:13:53.890+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... .......... 20.5M
[2024-03-12T12:13:53.927+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 1.36M
[2024-03-12T12:13:53.928+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... .......... 21.0M
[2024-03-12T12:13:53.961+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... .......... 1.55M
[2024-03-12T12:13:53.969+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... .......... 9.80M
[2024-03-12T12:13:53.994+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 1.65M
[2024-03-12T12:13:53.995+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... .......... 51.5M
