[2024-03-12T12:13:44.563+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:44.640+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:44.644+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:44.767+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-12 12:13:33.995482+00:00
[2024-03-12T12:13:44.801+0000] {standard_task_runner.py:60} INFO - Started process 2096 to run task
[2024-03-12T12:13:44.823+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_1_task', 'manual__2024-03-12T12:13:33.995482+00:00', '--job-id', '67', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp5reu01sj']
[2024-03-12T12:13:44.838+0000] {standard_task_runner.py:88} INFO - Job 67: Subtask download_dataset_1_task
[2024-03-12T12:13:44.990+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-12T12:13:33.995482+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:45.277+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T12:13:33.995482+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T12:13:33.995482+00:00'
[2024-03-12T12:13:45.278+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:45.282+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv.gz https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-12T12:13:45.318+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:45.330+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:45--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-12T12:13:45.377+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:45.379+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:56.929+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:56.930+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:56.931+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv.gz’
[2024-03-12T12:13:56.933+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:57.043+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  440K
[2024-03-12T12:13:57.154+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:13:57.159+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 10.7M
[2024-03-12T12:13:57.162+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 18.2M
[2024-03-12T12:13:57.271+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  458K
[2024-03-12T12:13:57.381+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  453K
[2024-03-12T12:13:57.496+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 15.1M
[2024-03-12T12:13:57.501+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  427K
[2024-03-12T12:13:57.606+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  479K
[2024-03-12T12:13:57.607+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 32.5M
[2024-03-12T12:13:57.721+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  439K
[2024-03-12T12:13:57.724+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 35.5M
[2024-03-12T12:13:57.834+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  454K
[2024-03-12T12:13:57.858+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 6.31M
[2024-03-12T12:13:57.942+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 8.70M
[2024-03-12T12:13:57.944+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  512K
[2024-03-12T12:13:58.053+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  456K
[2024-03-12T12:13:58.056+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 23.8M
[2024-03-12T12:13:58.057+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 28.2M
[2024-03-12T12:13:58.169+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  447K
[2024-03-12T12:13:58.169+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 78.6M
[2024-03-12T12:13:58.290+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  415K
[2024-03-12T12:13:58.343+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 5.12M
