[2024-03-12T12:13:43.878+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:43.990+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:44.002+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:44.189+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-12 12:13:33.995482+00:00
[2024-03-12T12:13:44.225+0000] {standard_task_runner.py:60} INFO - Started process 2091 to run task
[2024-03-12T12:13:44.267+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_2_task', 'manual__2024-03-12T12:13:33.995482+00:00', '--job-id', '64', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpglp3vq5r']
[2024-03-12T12:13:44.330+0000] {standard_task_runner.py:88} INFO - Job 64: Subtask download_dataset_2_task
[2024-03-12T12:13:44.502+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-12T12:13:33.995482+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:44.947+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T12:13:33.995482+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T12:13:33.995482+00:00'
[2024-03-12T12:13:44.952+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:44.954+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv.gz https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-12T12:13:45.011+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:45.025+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:45--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-12T12:13:45.053+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:45.055+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:45.682+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:45.683+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:45.690+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv.gz’
[2024-03-12T12:13:45.691+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:45.797+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  434K
[2024-03-12T12:13:45.907+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  452K
[2024-03-12T12:13:45.908+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 30.9M
[2024-03-12T12:13:46.021+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  445K
[2024-03-12T12:13:46.024+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 15.2M
[2024-03-12T12:13:46.135+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  452K
[2024-03-12T12:13:46.139+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 13.4M
[2024-03-12T12:13:46.143+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 11.5M
[2024-03-12T12:13:46.147+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 20.0M
[2024-03-12T12:13:46.239+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  531K
[2024-03-12T12:13:46.264+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 2.39M
[2024-03-12T12:13:46.274+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 4.23M
[2024-03-12T12:13:46.284+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 37.2M
[2024-03-12T12:13:46.285+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  432M
[2024-03-12T12:13:46.358+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  383M
[2024-03-12T12:13:46.371+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  511K
[2024-03-12T12:13:46.373+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 26.5M
[2024-03-12T12:13:46.377+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 23.6M
[2024-03-12T12:13:46.381+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 9.20M
[2024-03-12T12:13:46.384+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  338M
[2024-03-12T12:13:46.387+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  306M
[2024-03-12T12:13:46.388+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  229M
[2024-03-12T12:13:46.388+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 43.2M
[2024-03-12T12:13:46.389+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... .......... 9.34M
[2024-03-12T12:13:46.390+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  377M
[2024-03-12T12:13:46.474+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  577K
[2024-03-12T12:13:46.514+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... .......... 3.89M
[2024-03-12T12:13:46.559+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 38.9M
[2024-03-12T12:13:46.569+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 19.9M
[2024-03-12T12:13:46.575+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... .......... 17.5M
[2024-03-12T12:13:46.577+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 5.11M
[2024-03-12T12:13:46.582+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 21.0M
[2024-03-12T12:13:46.589+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... .......... 3.06M
[2024-03-12T12:13:46.599+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 4.79M
[2024-03-12T12:13:46.607+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 1.70M
[2024-03-12T12:13:46.611+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  111M
[2024-03-12T12:13:46.625+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  360M
[2024-03-12T12:13:46.626+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  379M
[2024-03-12T12:13:46.630+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  356M
[2024-03-12T12:13:46.631+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  278M
[2024-03-12T12:13:46.632+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... ..........  175M
[2024-03-12T12:13:46.633+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  130M
[2024-03-12T12:13:46.633+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  435M
[2024-03-12T12:13:46.634+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  165M
[2024-03-12T12:13:46.634+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  190M
[2024-03-12T12:13:46.635+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  207M
[2024-03-12T12:13:46.635+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 1.82M
[2024-03-12T12:13:46.717+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  391K
[2024-03-12T12:13:46.718+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  324M
[2024-03-12T12:13:46.719+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 24.3M
[2024-03-12T12:13:46.724+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 13.2M
