[2024-03-12T12:13:43.583+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:43.630+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:43.631+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:43.752+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-12 12:13:33.995482+00:00
[2024-03-12T12:13:43.759+0000] {standard_task_runner.py:60} INFO - Started process 2088 to run task
[2024-03-12T12:13:43.782+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_3_task', 'manual__2024-03-12T12:13:33.995482+00:00', '--job-id', '63', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpi2pkue9v']
[2024-03-12T12:13:43.787+0000] {standard_task_runner.py:88} INFO - Job 63: Subtask download_dataset_3_task
[2024-03-12T12:13:44.056+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-12T12:13:33.995482+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:44.599+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T12:13:33.995482+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T12:13:33.995482+00:00'
[2024-03-12T12:13:44.605+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:44.610+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv.gz https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-12T12:13:44.701+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:44.742+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:44--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-12T12:13:44.844+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:44.845+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:45.488+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:45.488+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:45.489+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv.gz’
[2024-03-12T12:13:45.490+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:45.601+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  439K
[2024-03-12T12:13:45.713+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  450K
[2024-03-12T12:13:45.714+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 41.6M
[2024-03-12T12:13:45.714+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  490M
[2024-03-12T12:13:45.824+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  451K
[2024-03-12T12:13:45.936+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:13:45.937+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 32.5M
[2024-03-12T12:13:46.046+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  458K
[2024-03-12T12:13:46.048+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 36.3M
[2024-03-12T12:13:46.160+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  444K
[2024-03-12T12:13:46.162+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 28.1M
[2024-03-12T12:13:46.269+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  470K
[2024-03-12T12:13:46.285+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 6.84M
[2024-03-12T12:13:46.292+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 7.15M
[2024-03-12T12:13:46.386+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  484K
[2024-03-12T12:13:46.387+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 45.9M
[2024-03-12T12:13:46.496+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  459K
[2024-03-12T12:13:46.506+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 9.68M
[2024-03-12T12:13:46.619+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  427K
[2024-03-12T12:13:46.623+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 9.59M
[2024-03-12T12:13:46.628+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 32.4M
[2024-03-12T12:13:46.741+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  430K
[2024-03-12T12:13:46.743+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 19.8M
