[2024-03-12T12:13:43.294+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:43.365+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-12T12:13:33.995482+00:00 [queued]>
[2024-03-12T12:13:43.368+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-12T12:13:43.518+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_4_task> on 2024-03-12 12:13:33.995482+00:00
[2024-03-12T12:13:43.568+0000] {standard_task_runner.py:60} INFO - Started process 2087 to run task
[2024-03-12T12:13:43.593+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_4_task', 'manual__2024-03-12T12:13:33.995482+00:00', '--job-id', '62', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpnrflt2ig']
[2024-03-12T12:13:43.595+0000] {standard_task_runner.py:88} INFO - Job 62: Subtask download_dataset_4_task
[2024-03-12T12:13:43.854+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_4_task manual__2024-03-12T12:13:33.995482+00:00 [running]> on host 9958f290dc4a
[2024-03-12T12:13:44.448+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_4_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-12T12:13:33.995482+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-12T12:13:33.995482+00:00'
[2024-03-12T12:13:44.450+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-12T12:13:44.461+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_4.csv.gz https://data.cityofchicago.org/resource/qzdf-xmn8.csv?\\$limit=300000']
[2024-03-12T12:13:44.594+0000] {subprocess.py:86} INFO - Output:
[2024-03-12T12:13:44.614+0000] {subprocess.py:93} INFO - --2024-03-12 12:13:44--  https://data.cityofchicago.org/resource/qzdf-xmn8.csv?$limit=300000
[2024-03-12T12:13:44.719+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.68.26, 52.206.140.205
[2024-03-12T12:13:44.721+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-12T12:13:45.344+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-12T12:13:45.346+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-12T12:13:45.347+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_4.csv.gz’
[2024-03-12T12:13:45.347+0000] {subprocess.py:93} INFO - 
[2024-03-12T12:13:45.450+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  473K
[2024-03-12T12:13:45.558+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  464K
[2024-03-12T12:13:45.665+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  468K
[2024-03-12T12:13:45.670+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 11.2M
[2024-03-12T12:13:45.780+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  453K
[2024-03-12T12:13:45.884+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  479K
[2024-03-12T12:13:45.987+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  488K
[2024-03-12T12:13:46.094+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  465K
[2024-03-12T12:13:46.097+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 15.2M
[2024-03-12T12:13:46.202+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  479K
[2024-03-12T12:13:46.420+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  230K
[2024-03-12T12:13:46.425+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 8.88M
[2024-03-12T12:13:46.524+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  505K
[2024-03-12T12:13:46.630+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  474K
[2024-03-12T12:13:46.739+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  464K
[2024-03-12T12:13:46.849+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:13:47.605+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 66.3K
[2024-03-12T12:13:48.144+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 92.4K
[2024-03-12T12:13:48.250+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  474K
[2024-03-12T12:13:48.467+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  230K
[2024-03-12T12:13:48.570+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  491K
[2024-03-12T12:13:48.690+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  416K
[2024-03-12T12:13:48.808+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  449K
[2024-03-12T12:13:48.917+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  437K
[2024-03-12T12:13:49.027+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  446K
[2024-03-12T12:13:49.117+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... ..........  563K
[2024-03-12T12:13:49.234+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  422K
[2024-03-12T12:13:49.443+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  244K
[2024-03-12T12:13:49.540+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  499K
[2024-03-12T12:13:49.650+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  450K
[2024-03-12T12:13:50.324+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... ..........  147K
[2024-03-12T12:13:50.662+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... .......... 74.5K
[2024-03-12T12:13:50.768+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  466K
[2024-03-12T12:13:50.978+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  238K
[2024-03-12T12:13:51.093+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  457K
[2024-03-12T12:13:51.197+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  464K
[2024-03-12T12:13:51.301+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  472K
