[2024-03-14T11:11:34.250+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:11:34.285+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:11:34.285+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-14T11:11:34.379+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-14 11:11:16.722311+00:00
[2024-03-14T11:11:34.415+0000] {standard_task_runner.py:60} INFO - Started process 596 to run task
[2024-03-14T11:11:34.438+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_0_task', 'manual__2024-03-14T11:11:16.722311+00:00', '--job-id', '127', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpkxw7r_o9']
[2024-03-14T11:11:34.441+0000] {standard_task_runner.py:88} INFO - Job 127: Subtask download_dataset_0_task
[2024-03-14T11:11:34.563+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-14T11:11:16.722311+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:11:34.911+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-14T11:11:16.722311+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-14T11:11:16.722311+00:00'
[2024-03-14T11:11:34.918+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:11:34.934+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-14T11:11:35.011+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:11:35.109+0000] {subprocess.py:93} INFO - --2024-03-14 11:11:35--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-14T11:11:35.209+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-14T11:11:35.214+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-14T11:11:36.231+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:11:36.232+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:11:36.233+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-14T11:11:36.233+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:11:36.343+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  448K
[2024-03-14T11:11:36.454+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  451K
[2024-03-14T11:11:36.567+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  443K
[2024-03-14T11:11:36.676+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  460K
[2024-03-14T11:11:36.677+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 44.6M
[2024-03-14T11:11:36.788+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  452K
[2024-03-14T11:11:36.899+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  451K
[2024-03-14T11:11:37.011+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  445K
[2024-03-14T11:11:37.124+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  443K
[2024-03-14T11:11:37.232+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  462K
[2024-03-14T11:11:37.234+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 18.7M
[2024-03-14T11:11:37.343+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  460K
[2024-03-14T11:11:37.456+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  442K
[2024-03-14T11:11:37.565+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  460K
[2024-03-14T11:11:37.678+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 3.60M
[2024-03-14T11:11:37.679+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  496K
[2024-03-14T11:11:37.789+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  458K
[2024-03-14T11:11:37.899+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  456K
[2024-03-14T11:11:37.900+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 25.5M
[2024-03-14T11:11:38.017+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  429K
[2024-03-14T11:11:38.120+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  483K
[2024-03-14T11:11:38.123+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... .......... 18.9M
[2024-03-14T11:11:38.233+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  456K
[2024-03-14T11:11:38.343+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  451K
[2024-03-14T11:11:38.456+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  444K
[2024-03-14T11:11:38.461+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 19.9M
[2024-03-14T11:11:38.566+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  465K
[2024-03-14T11:11:38.569+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 16.0M
[2024-03-14T11:11:38.678+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  457K
[2024-03-14T11:11:38.788+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  457K
[2024-03-14T11:11:38.904+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 34.4M
[2024-03-14T11:11:38.905+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  431K
[2024-03-14T11:11:39.031+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  427K
[2024-03-14T11:11:39.122+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... ..........  511K
[2024-03-14T11:11:39.123+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... .......... 15.3M
[2024-03-14T11:11:39.238+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... ..........  436K
[2024-03-14T11:11:39.345+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  474K
[2024-03-14T11:11:39.346+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 19.6M
[2024-03-14T11:11:39.456+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:39.566+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  448K
[2024-03-14T11:11:39.567+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 28.4M
[2024-03-14T11:11:39.676+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  460K
[2024-03-14T11:11:39.786+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  454K
[2024-03-14T11:11:39.802+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 3.10M
[2024-03-14T11:11:39.901+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  508K
[2024-03-14T11:11:40.009+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:40.018+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... .......... 8.45M
[2024-03-14T11:11:40.126+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  449K
[2024-03-14T11:11:40.242+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  429K
[2024-03-14T11:11:40.253+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... .......... 4.87M
[2024-03-14T11:11:40.351+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  508K
[2024-03-14T11:11:40.452+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  490K
[2024-03-14T11:11:40.459+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 9.91M
[2024-03-14T11:11:40.574+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  438K
[2024-03-14T11:11:40.677+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 7.13M
[2024-03-14T11:11:40.683+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  491K
[2024-03-14T11:11:40.789+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:40.896+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  466K
[2024-03-14T11:11:40.902+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... .......... 10.6M
[2024-03-14T11:11:41.011+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  456K
[2024-03-14T11:11:41.014+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... .......... 16.7M
[2024-03-14T11:11:41.125+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  445K
[2024-03-14T11:11:41.236+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  482K
[2024-03-14T11:11:41.240+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 6.79M
[2024-03-14T11:11:41.344+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:41.346+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... .......... 26.6M
[2024-03-14T11:11:41.457+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  450K
[2024-03-14T11:11:41.564+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  469K
[2024-03-14T11:11:41.569+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... .......... 13.0M
[2024-03-14T11:11:41.708+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  354K
[2024-03-14T11:11:41.793+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  612K
[2024-03-14T11:11:41.815+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 17.4M
[2024-03-14T11:11:41.899+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  482K
[2024-03-14T11:11:41.912+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... .......... 9.16M
[2024-03-14T11:11:42.011+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  460K
[2024-03-14T11:11:42.032+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... .......... 10.4M
[2024-03-14T11:11:42.129+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  442K
[2024-03-14T11:11:42.135+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 7.04M
[2024-03-14T11:11:42.248+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  502K
[2024-03-14T11:11:42.353+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  426K
[2024-03-14T11:11:42.354+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  106M
[2024-03-14T11:11:42.470+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  434K
[2024-03-14T11:11:42.488+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 29.6M
[2024-03-14T11:11:42.601+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  381K
[2024-03-14T11:11:42.609+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 38.9M
[2024-03-14T11:11:42.724+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  418K
[2024-03-14T11:11:42.815+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  648K
[2024-03-14T11:11:43.007+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  242K
[2024-03-14T11:11:43.032+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 68.1M
[2024-03-14T11:11:43.325+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 90.9M
[2024-03-14T11:11:43.347+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 4.04M
[2024-03-14T11:11:43.405+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 4.36M
[2024-03-14T11:11:43.584+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  556K
[2024-03-14T11:11:43.761+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 9.77M
[2024-03-14T11:11:43.799+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  287K
[2024-03-14T11:11:43.976+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  379M
[2024-03-14T11:11:43.988+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  493K
[2024-03-14T11:11:44.060+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 40.6M
[2024-03-14T11:11:44.068+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  831K
[2024-03-14T11:11:44.081+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  120M
[2024-03-14T11:11:44.084+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... ..........  175K
[2024-03-14T11:11:44.100+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... ..........  336M
[2024-03-14T11:11:44.107+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... ..........  301M
[2024-03-14T11:11:44.109+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... ..........  476M
[2024-03-14T11:11:44.169+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 1.27M
[2024-03-14T11:11:44.232+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 25.9M
[2024-03-14T11:11:44.261+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... ..........  458K
[2024-03-14T11:11:44.366+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 7.57M
[2024-03-14T11:11:44.536+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... ..........  481K
[2024-03-14T11:11:44.631+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 16.9M
[2024-03-14T11:11:44.646+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:44.664+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 5.28M
[2024-03-14T11:11:44.672+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 7.37M
[2024-03-14T11:11:44.682+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... ..........  504K
[2024-03-14T11:11:44.688+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 9.84M
[2024-03-14T11:11:44.694+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... ..........  498K
[2024-03-14T11:11:44.696+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 9.90M
[2024-03-14T11:11:44.698+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 19.5M
[2024-03-14T11:11:44.699+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... ..........  394K
[2024-03-14T11:11:44.708+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 1.89M
[2024-03-14T11:11:44.713+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... ..........  580K
[2024-03-14T11:11:44.722+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... ..........  138M
[2024-03-14T11:11:44.726+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 37.8M
[2024-03-14T11:11:44.737+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... ..........  571K
[2024-03-14T11:11:44.742+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 17.9M
[2024-03-14T11:11:44.920+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 39.8M
[2024-03-14T11:11:44.976+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... ..........  426K
[2024-03-14T11:11:45.081+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... ..........  195M
[2024-03-14T11:11:45.162+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... ..........  505K
[2024-03-14T11:11:45.176+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 3.50M
[2024-03-14T11:11:45.208+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... ..........  299M
[2024-03-14T11:11:45.211+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... ..........  494K
[2024-03-14T11:11:45.212+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 21.0M
[2024-03-14T11:11:45.215+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 41.2M
[2024-03-14T11:11:45.220+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... ..........  421K
[2024-03-14T11:11:45.222+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... ..........  446M
[2024-03-14T11:11:45.225+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... ..........  487M
[2024-03-14T11:11:45.228+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... ..........  540K
[2024-03-14T11:11:45.235+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 6.85M
[2024-03-14T11:11:45.239+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 12.8M
[2024-03-14T11:11:45.337+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... ..........  507K
[2024-03-14T11:11:45.347+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 5.00M
[2024-03-14T11:11:45.352+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 19.9M
[2024-03-14T11:11:45.451+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... ..........  491K
