[2024-03-14T11:11:29.562+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:11:29.572+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:11:29.573+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-14T11:11:29.588+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-14 11:11:16.722311+00:00
[2024-03-14T11:11:29.594+0000] {standard_task_runner.py:60} INFO - Started process 587 to run task
[2024-03-14T11:11:29.597+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_1_task', 'manual__2024-03-14T11:11:16.722311+00:00', '--job-id', '126', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpt6kbaadw']
[2024-03-14T11:11:29.598+0000] {standard_task_runner.py:88} INFO - Job 126: Subtask download_dataset_1_task
[2024-03-14T11:11:29.644+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-14T11:11:16.722311+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:11:29.731+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-14T11:11:16.722311+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-14T11:11:16.722311+00:00'
[2024-03-14T11:11:29.734+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:11:29.735+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-14T11:11:29.747+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:11:29.760+0000] {subprocess.py:93} INFO - --2024-03-14 11:11:29--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-14T11:11:29.766+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-14T11:11:29.767+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-14T11:11:30.834+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:11:30.846+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:11:30.847+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-14T11:11:30.848+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:11:30.949+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  435K
[2024-03-14T11:11:31.054+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  487K
[2024-03-14T11:11:31.159+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  468K
[2024-03-14T11:11:31.160+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 40.5M
[2024-03-14T11:11:31.268+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:31.376+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  462K
[2024-03-14T11:11:31.484+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  462K
[2024-03-14T11:11:31.594+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  454K
[2024-03-14T11:11:31.598+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  321M
[2024-03-14T11:11:31.701+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  470K
[2024-03-14T11:11:31.807+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  469K
[2024-03-14T11:11:31.808+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 42.3M
[2024-03-14T11:11:31.920+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  451K
[2024-03-14T11:11:32.025+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  475K
[2024-03-14T11:11:32.027+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  557M
[2024-03-14T11:11:32.133+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:32.241+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  465K
[2024-03-14T11:11:32.242+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  429M
[2024-03-14T11:11:32.351+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  454K
[2024-03-14T11:11:32.461+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  455K
[2024-03-14T11:11:32.461+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  657M
[2024-03-14T11:11:32.566+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  478K
[2024-03-14T11:11:32.673+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  683M
[2024-03-14T11:11:32.674+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:32.781+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  466K
[2024-03-14T11:11:32.782+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 79.1M
[2024-03-14T11:11:32.896+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  441K
[2024-03-14T11:11:32.996+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... ..........  499K
[2024-03-14T11:11:32.998+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 26.2M
[2024-03-14T11:11:33.106+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  460K
[2024-03-14T11:11:33.156+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 9.53M
[2024-03-14T11:11:33.213+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  493K
[2024-03-14T11:11:33.321+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  465K
[2024-03-14T11:11:33.327+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 18.3M
[2024-03-14T11:11:33.432+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  462K
[2024-03-14T11:11:33.432+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 70.8M
[2024-03-14T11:11:33.540+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:11:33.601+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... ..........  823K
[2024-03-14T11:11:33.649+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... .......... 1.01M
[2024-03-14T11:11:33.755+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  471K
[2024-03-14T11:11:33.804+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 1020K
[2024-03-14T11:11:33.863+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  857K
[2024-03-14T11:11:33.970+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  467K
[2024-03-14T11:11:33.972+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... .......... 20.1M
[2024-03-14T11:11:34.078+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  471K
[2024-03-14T11:11:34.088+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... .......... 35.3M
[2024-03-14T11:11:34.188+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:34.296+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  465K
[2024-03-14T11:11:34.297+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... .......... 42.7M
[2024-03-14T11:11:34.404+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  473K
[2024-03-14T11:11:34.452+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 1009K
[2024-03-14T11:11:34.511+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  859K
[2024-03-14T11:11:34.606+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  524K
[2024-03-14T11:11:34.618+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... .......... 3.84M
[2024-03-14T11:11:34.734+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  434K
[2024-03-14T11:11:34.775+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... .......... 1.18M
[2024-03-14T11:11:34.834+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  845K
[2024-03-14T11:11:34.943+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  459K
[2024-03-14T11:11:34.944+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  358M
[2024-03-14T11:11:35.060+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  443K
[2024-03-14T11:11:35.100+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... .......... 1.12M
[2024-03-14T11:11:35.158+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  859K
[2024-03-14T11:11:35.265+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  467K
[2024-03-14T11:11:35.270+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... .......... 21.5M
[2024-03-14T11:11:35.376+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:35.424+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... .......... 1.01M
[2024-03-14T11:11:35.483+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  857K
[2024-03-14T11:11:35.534+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... .......... 1.01M
[2024-03-14T11:11:35.595+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  820K
[2024-03-14T11:11:35.642+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... .......... 1.02M
[2024-03-14T11:11:35.763+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  405K
[2024-03-14T11:11:35.809+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... .......... 1.09M
[2024-03-14T11:11:35.854+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... .......... 1.06M
[2024-03-14T11:11:35.929+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  669K
[2024-03-14T11:11:35.976+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... .......... 1.07M
[2024-03-14T11:11:36.030+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  899K
[2024-03-14T11:11:36.116+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  581K
[2024-03-14T11:11:36.165+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 1.09M
[2024-03-14T11:11:36.243+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  637K
[2024-03-14T11:11:36.246+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 8.43M
[2024-03-14T11:11:36.347+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  492K
[2024-03-14T11:11:36.349+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 22.5M
[2024-03-14T11:11:36.466+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  429K
[2024-03-14T11:11:36.470+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 15.9M
[2024-03-14T11:11:36.583+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  439K
[2024-03-14T11:11:36.609+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 1.84M
[2024-03-14T11:11:36.671+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  805K
[2024-03-14T11:11:36.718+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 1.05M
[2024-03-14T11:11:36.778+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  833K
[2024-03-14T11:11:36.827+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 1.00M
[2024-03-14T11:11:36.888+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  815K
