[2024-03-14T11:16:10.026+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:16:10.068+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:16:10.076+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-14T11:16:10.173+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-14 11:11:16.722311+00:00
[2024-03-14T11:16:10.198+0000] {standard_task_runner.py:60} INFO - Started process 848 to run task
[2024-03-14T11:16:10.241+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_1_task', 'manual__2024-03-14T11:11:16.722311+00:00', '--job-id', '168', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp4p9a2huw']
[2024-03-14T11:16:10.253+0000] {standard_task_runner.py:88} INFO - Job 168: Subtask download_dataset_1_task
[2024-03-14T11:16:10.406+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-14T11:11:16.722311+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:16:10.562+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-14T11:11:16.722311+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-14T11:11:16.722311+00:00'
[2024-03-14T11:16:10.565+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:16:10.567+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-14T11:16:10.594+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:16:10.602+0000] {subprocess.py:93} INFO - --2024-03-14 11:16:10--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-14T11:16:10.620+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.140.205, 52.206.68.26, ...
[2024-03-14T11:16:10.622+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-14T11:16:11.626+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:16:11.627+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:16:11.627+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-14T11:16:11.636+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:16:11.796+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  313K
[2024-03-14T11:16:11.878+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  548K
[2024-03-14T11:16:11.902+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 2.20M
[2024-03-14T11:16:12.033+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  375K
[2024-03-14T11:16:12.043+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 15.4M
[2024-03-14T11:16:12.085+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 1021K
[2024-03-14T11:16:12.134+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 2.94M
[2024-03-14T11:16:12.137+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... .......... 1.54M
[2024-03-14T11:16:12.138+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  323M
[2024-03-14T11:16:12.184+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  996K
[2024-03-14T11:16:12.206+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 2.31M
[2024-03-14T11:16:12.209+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 13.2M
[2024-03-14T11:16:12.227+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 2.75M
[2024-03-14T11:16:12.230+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  318M
[2024-03-14T11:16:12.297+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  788K
[2024-03-14T11:16:12.327+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 1.59M
[2024-03-14T11:16:12.328+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 7.86M
[2024-03-14T11:16:12.340+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 3.94M
