[2024-03-14T11:11:35.452+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:11:35.484+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:11:35.485+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-14T11:11:35.511+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-14 11:11:16.722311+00:00
[2024-03-14T11:11:35.518+0000] {standard_task_runner.py:60} INFO - Started process 599 to run task
[2024-03-14T11:11:35.541+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_2_task', 'manual__2024-03-14T11:11:16.722311+00:00', '--job-id', '130', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpbqd4szwf']
[2024-03-14T11:11:35.542+0000] {standard_task_runner.py:88} INFO - Job 130: Subtask download_dataset_2_task
[2024-03-14T11:11:35.656+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-14T11:11:16.722311+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:11:35.874+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-14T11:11:16.722311+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-14T11:11:16.722311+00:00'
[2024-03-14T11:11:35.878+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:11:35.885+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-14T11:11:35.944+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:11:36.009+0000] {subprocess.py:93} INFO - --2024-03-14 11:11:35--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-14T11:11:36.067+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26
[2024-03-14T11:11:36.078+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-14T11:11:37.129+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:11:37.130+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:11:37.130+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-14T11:11:37.131+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:11:37.241+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  447K
[2024-03-14T11:11:37.353+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  443K
[2024-03-14T11:11:37.463+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  458K
[2024-03-14T11:11:37.486+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 2.12M
[2024-03-14T11:11:37.578+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  542K
[2024-03-14T11:11:37.685+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  466K
[2024-03-14T11:11:37.812+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  419K
[2024-03-14T11:11:37.907+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  489K
[2024-03-14T11:11:37.913+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... .......... 7.19M
[2024-03-14T11:11:38.019+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  474K
[2024-03-14T11:11:38.138+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  420K
[2024-03-14T11:11:38.140+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  120M
[2024-03-14T11:11:38.241+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  486K
[2024-03-14T11:11:38.352+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  451K
[2024-03-14T11:11:38.355+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 17.0M
[2024-03-14T11:11:38.467+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  446K
[2024-03-14T11:11:38.574+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  466K
[2024-03-14T11:11:38.576+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 26.1M
[2024-03-14T11:11:38.687+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  449K
[2024-03-14T11:11:38.796+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  461K
[2024-03-14T11:11:38.797+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 44.5M
[2024-03-14T11:11:38.908+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  451K
[2024-03-14T11:11:39.030+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... .......... 10.3M
[2024-03-14T11:11:39.032+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... ..........  424K
[2024-03-14T11:11:39.131+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... ..........  500K
[2024-03-14T11:11:39.134+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 15.5M
[2024-03-14T11:11:39.244+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  458K
[2024-03-14T11:11:39.248+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 10.8M
[2024-03-14T11:11:39.354+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... ..........  469K
[2024-03-14T11:11:39.467+0000] {subprocess.py:93} INFO -   1450K .......... .......... .......... .......... ..........  449K
[2024-03-14T11:11:39.486+0000] {subprocess.py:93} INFO -   1500K .......... .......... .......... .......... .......... 12.8M
[2024-03-14T11:11:39.579+0000] {subprocess.py:93} INFO -   1550K .......... .......... .......... .......... ..........  457K
[2024-03-14T11:11:39.685+0000] {subprocess.py:93} INFO -   1600K .......... .......... .......... .......... ..........  471K
[2024-03-14T11:11:39.692+0000] {subprocess.py:93} INFO -   1650K .......... .......... .......... .......... .......... 7.17M
[2024-03-14T11:11:39.803+0000] {subprocess.py:93} INFO -   1700K .......... .......... .......... .......... ..........  448K
[2024-03-14T11:11:39.817+0000] {subprocess.py:93} INFO -   1750K .......... .......... .......... .......... .......... 3.69M
[2024-03-14T11:11:39.920+0000] {subprocess.py:93} INFO -   1800K .......... .......... .......... .......... ..........  484K
[2024-03-14T11:11:39.923+0000] {subprocess.py:93} INFO -   1850K .......... .......... .......... .......... .......... 18.8M
[2024-03-14T11:11:40.024+0000] {subprocess.py:93} INFO -   1900K .......... .......... .......... .......... ..........  494K
[2024-03-14T11:11:40.135+0000] {subprocess.py:93} INFO -   1950K .......... .......... .......... .......... ..........  452K
[2024-03-14T11:11:40.141+0000] {subprocess.py:93} INFO -   2000K .......... .......... .......... .......... .......... 12.6M
[2024-03-14T11:11:40.246+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  470K
[2024-03-14T11:11:40.254+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... .......... 6.49M
[2024-03-14T11:11:40.357+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  474K
[2024-03-14T11:11:40.470+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  444K
[2024-03-14T11:11:40.483+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  353M
[2024-03-14T11:11:40.581+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  457K
[2024-03-14T11:11:40.589+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... .......... 5.29M
[2024-03-14T11:11:40.690+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  492K
[2024-03-14T11:11:40.807+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  430K
[2024-03-14T11:11:40.811+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... .......... 11.9M
[2024-03-14T11:11:40.911+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  497K
[2024-03-14T11:11:40.914+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... .......... 16.2M
[2024-03-14T11:11:41.021+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  468K
[2024-03-14T11:11:41.140+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... .......... 10.6M
[2024-03-14T11:11:41.142+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  438K
[2024-03-14T11:11:41.243+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  486K
