[2024-03-14T11:16:08.456+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:16:08.504+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:16:08.506+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-14T11:16:08.639+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_2_task> on 2024-03-14 11:11:16.722311+00:00
[2024-03-14T11:16:08.772+0000] {standard_task_runner.py:60} INFO - Started process 842 to run task
[2024-03-14T11:16:08.820+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_2_task', 'manual__2024-03-14T11:11:16.722311+00:00', '--job-id', '164', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmp25urrkt3']
[2024-03-14T11:16:08.867+0000] {standard_task_runner.py:88} INFO - Job 164: Subtask download_dataset_2_task
[2024-03-14T11:16:09.003+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_2_task manual__2024-03-14T11:11:16.722311+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:16:09.214+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_2_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-14T11:11:16.722311+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-14T11:11:16.722311+00:00'
[2024-03-14T11:16:09.222+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:16:09.230+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_2.csv https://data.cityofchicago.org/resource/3i3m-jwuy.csv?\\$limit=300000']
[2024-03-14T11:16:09.312+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:16:09.349+0000] {subprocess.py:93} INFO - --2024-03-14 11:16:09--  https://data.cityofchicago.org/resource/3i3m-jwuy.csv?$limit=300000
[2024-03-14T11:16:09.451+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.140.205, 52.206.68.26
[2024-03-14T11:16:09.454+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-14T11:16:10.466+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:16:10.467+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:16:10.468+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_2.csv’
[2024-03-14T11:16:10.468+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:16:10.574+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:16:10.682+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:16:10.796+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  440K
[2024-03-14T11:16:10.905+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  456K
[2024-03-14T11:16:10.907+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... .......... 28.1M
[2024-03-14T11:16:11.012+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  477K
[2024-03-14T11:16:11.128+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  430K
[2024-03-14T11:16:11.236+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:16:11.237+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  201M
[2024-03-14T11:16:11.347+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  453K
[2024-03-14T11:16:11.455+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  463K
[2024-03-14T11:16:11.456+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  151M
[2024-03-14T11:16:11.562+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  470K
[2024-03-14T11:16:11.699+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  373K
[2024-03-14T11:16:11.789+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 6.67M
[2024-03-14T11:16:11.927+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  224K
[2024-03-14T11:16:11.983+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  891K
[2024-03-14T11:16:11.999+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 3.00M
[2024-03-14T11:16:12.037+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 1.26M
[2024-03-14T11:16:12.185+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... ..........  439K
[2024-03-14T11:16:12.190+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 1.49M
[2024-03-14T11:16:12.250+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  753K
[2024-03-14T11:16:12.367+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  440K
