[2024-03-14T11:16:09.525+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:16:09.546+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-14T11:11:16.722311+00:00 [queued]>
[2024-03-14T11:16:09.553+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-14T11:16:09.581+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_3_task> on 2024-03-14 11:11:16.722311+00:00
[2024-03-14T11:16:09.600+0000] {standard_task_runner.py:60} INFO - Started process 846 to run task
[2024-03-14T11:16:09.640+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_3_task', 'manual__2024-03-14T11:11:16.722311+00:00', '--job-id', '167', '--raw', '--subdir', 'DAGS_FOLDER/create_dag.py', '--cfg-path', '/tmp/tmpbh3aofpb']
[2024-03-14T11:16:09.654+0000] {standard_task_runner.py:88} INFO - Job 167: Subtask download_dataset_3_task
[2024-03-14T11:16:09.850+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_3_task manual__2024-03-14T11:11:16.722311+00:00 [running]> on host 9958f290dc4a
[2024-03-14T11:16:10.214+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_3_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-14T11:11:16.722311+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-14T11:11:16.722311+00:00'
[2024-03-14T11:16:10.223+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-14T11:16:10.231+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_3.csv https://data.cityofchicago.org/resource/w98m-zvie.csv?\\$limit=300000']
[2024-03-14T11:16:10.287+0000] {subprocess.py:86} INFO - Output:
[2024-03-14T11:16:10.343+0000] {subprocess.py:93} INFO - --2024-03-14 11:16:10--  https://data.cityofchicago.org/resource/w98m-zvie.csv?$limit=300000
[2024-03-14T11:16:10.378+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.199, 52.206.140.205, 52.206.68.26, ...
[2024-03-14T11:16:10.380+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.199|:443... connected.
[2024-03-14T11:16:11.378+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-14T11:16:11.379+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-14T11:16:11.380+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_3.csv’
[2024-03-14T11:16:11.381+0000] {subprocess.py:93} INFO - 
[2024-03-14T11:16:11.496+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  426K
[2024-03-14T11:16:11.594+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  509K
[2024-03-14T11:16:11.606+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... .......... 4.14M
[2024-03-14T11:16:11.608+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... .......... 76.6M
[2024-03-14T11:16:11.728+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  413K
[2024-03-14T11:16:11.740+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 8.86M
[2024-03-14T11:16:11.779+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... .......... 2.98M
[2024-03-14T11:16:11.797+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  239M
[2024-03-14T11:16:11.921+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  297K
[2024-03-14T11:16:11.936+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 42.2M
[2024-03-14T11:16:11.958+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 87.9M
[2024-03-14T11:16:11.963+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 41.1M
[2024-03-14T11:16:11.970+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 2.52M
[2024-03-14T11:16:11.992+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... .......... 2.75M
[2024-03-14T11:16:12.005+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 49.3M
[2024-03-14T11:16:12.037+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 1.20M
[2024-03-14T11:16:12.039+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... .......... 19.6M
[2024-03-14T11:16:12.052+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... .......... 5.27M
[2024-03-14T11:16:12.067+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... .......... 2.17M
[2024-03-14T11:16:12.087+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 3.12M
[2024-03-14T11:16:12.096+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... .......... 4.12M
[2024-03-14T11:16:12.101+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  411M
[2024-03-14T11:16:12.116+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  230M
[2024-03-14T11:16:12.155+0000] {subprocess.py:93} INFO -   1150K .......... .......... .......... .......... .......... 2.06M
[2024-03-14T11:16:12.156+0000] {subprocess.py:93} INFO -   1200K .......... .......... .......... .......... .......... 24.5M
[2024-03-14T11:16:12.163+0000] {subprocess.py:93} INFO -   1250K .......... .......... .......... .......... .......... 13.5M
[2024-03-14T11:16:12.174+0000] {subprocess.py:93} INFO -   1300K .......... .......... .......... .......... ..........  421M
[2024-03-14T11:16:12.177+0000] {subprocess.py:93} INFO -   1350K .......... .......... .......... .......... .......... 3.42M
[2024-03-14T11:16:12.180+0000] {subprocess.py:93} INFO -   1400K .......... .......... .......... .......... .......... 9.35M
