[2024-03-18T06:41:24.515+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:41:24.611+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:41:24.624+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 1
[2024-03-18T06:41:24.797+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-18 06:40:31.356042+00:00
[2024-03-18T06:41:24.896+0000] {standard_task_runner.py:60} INFO - Started process 279 to run task
[2024-03-18T06:41:24.944+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_0_task', 'manual__2024-03-18T06:40:31.356042+00:00', '--job-id', '215', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpx6ay_2mv']
[2024-03-18T06:41:25.005+0000] {standard_task_runner.py:88} INFO - Job 215: Subtask download_dataset_0_task
[2024-03-18T06:41:25.432+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-18T06:40:31.356042+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:41:26.029+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-18T06:40:31.356042+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-18T06:40:31.356042+00:00'
[2024-03-18T06:41:26.091+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:41:26.093+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-18T06:41:26.242+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:41:26.315+0000] {subprocess.py:93} INFO - --2024-03-18 06:41:26--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-18T06:41:26.547+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.68.26, 52.206.140.199, 52.206.140.205
[2024-03-18T06:41:26.549+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.68.26|:443... connected.
[2024-03-18T06:41:27.204+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:41:27.205+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:41:27.206+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-18T06:41:27.207+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:41:27.320+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  432K
[2024-03-18T06:41:27.429+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  457K
[2024-03-18T06:41:27.434+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  235M
[2024-03-18T06:41:27.434+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  256M
[2024-03-18T06:41:27.541+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  449K
[2024-03-18T06:41:27.541+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  513M
[2024-03-18T06:41:27.542+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  534M
[2024-03-18T06:41:27.542+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  444M
[2024-03-18T06:41:27.648+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  470K
[2024-03-18T06:41:27.651+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 35.9M
[2024-03-18T06:41:27.651+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 58.4M
[2024-03-18T06:41:27.652+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 49.4M
[2024-03-18T06:41:27.652+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... .......... 91.3M
[2024-03-18T06:41:27.757+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  473K
[2024-03-18T06:41:27.763+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 14.5M
[2024-03-18T06:41:27.764+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 26.5M
[2024-03-18T06:41:27.764+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  225M
[2024-03-18T06:41:27.764+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  190M
[2024-03-18T06:41:27.874+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  484K
[2024-03-18T06:41:27.887+0000] {subprocess.py:93} INFO -    950K .......... .......... .......... .......... .......... 2.40M
[2024-03-18T06:41:27.888+0000] {subprocess.py:93} INFO -   1000K .......... .......... .......... .......... ..........  226M
[2024-03-18T06:41:27.888+0000] {subprocess.py:93} INFO -   1050K .......... .......... .......... .......... ..........  534M
[2024-03-18T06:41:27.889+0000] {subprocess.py:93} INFO -   1100K .......... .......... .......... .......... ..........  512M
