[2024-03-18T06:45:29.797+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:45:30.039+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:45:30.045+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-18T06:45:30.259+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_0_task> on 2024-03-18 06:40:31.356042+00:00
[2024-03-18T06:45:30.344+0000] {standard_task_runner.py:60} INFO - Started process 479 to run task
[2024-03-18T06:45:30.375+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_0_task', 'manual__2024-03-18T06:40:31.356042+00:00', '--job-id', '247', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmp_06z87k6']
[2024-03-18T06:45:30.379+0000] {standard_task_runner.py:88} INFO - Job 247: Subtask download_dataset_0_task
[2024-03-18T06:45:31.159+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_0_task manual__2024-03-18T06:40:31.356042+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:45:32.976+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_0_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-18T06:40:31.356042+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-18T06:40:31.356042+00:00'
[2024-03-18T06:45:32.986+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:45:33.047+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_0.csv https://data.cityofchicago.org/resource/kf95-mnd6.csv?\\$limit=300000']
[2024-03-18T06:45:33.428+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:45:33.492+0000] {subprocess.py:93} INFO - --2024-03-18 06:45:33--  https://data.cityofchicago.org/resource/kf95-mnd6.csv?$limit=300000
[2024-03-18T06:45:33.831+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26, ...
[2024-03-18T06:45:33.841+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-18T06:45:34.496+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:45:34.508+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:45:34.513+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_0.csv’
[2024-03-18T06:45:34.513+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:45:34.603+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  474K
[2024-03-18T06:45:34.710+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  467K
[2024-03-18T06:45:34.818+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  461K
[2024-03-18T06:45:34.929+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  448K
[2024-03-18T06:45:35.041+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  451K
[2024-03-18T06:45:35.138+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... ..........  511K
[2024-03-18T06:45:35.246+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  469K
[2024-03-18T06:45:35.353+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  463K
[2024-03-18T06:45:35.471+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  424K
[2024-03-18T06:45:35.578+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... ..........  464K
[2024-03-18T06:45:35.677+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... ..........  510K
[2024-03-18T06:45:35.678+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... .......... 94.1M
[2024-03-18T06:45:35.780+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  484K
[2024-03-18T06:45:35.887+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  468K
[2024-03-18T06:45:36.067+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... ..........  458K
[2024-03-18T06:45:36.106+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... ..........  460K
[2024-03-18T06:45:36.208+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  491K
[2024-03-18T06:45:36.260+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  935K
[2024-03-18T06:45:36.324+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  789K
