[2024-03-18T06:45:26.463+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:45:26.500+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-18T06:40:31.356042+00:00 [queued]>
[2024-03-18T06:45:26.501+0000] {taskinstance.py:2193} INFO - Starting attempt 2 of 2
[2024-03-18T06:45:26.657+0000] {taskinstance.py:2214} INFO - Executing <Task(BashOperator): download_dataset_1_task> on 2024-03-18 06:40:31.356042+00:00
[2024-03-18T06:45:26.686+0000] {standard_task_runner.py:60} INFO - Started process 445 to run task
[2024-03-18T06:45:26.755+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'two_separate_groups', 'download_dataset_1_task', 'manual__2024-03-18T06:40:31.356042+00:00', '--job-id', '239', '--raw', '--subdir', 'DAGS_FOLDER/ingest_data_to_gcs.py', '--cfg-path', '/tmp/tmpiv55ieo5']
[2024-03-18T06:45:26.783+0000] {standard_task_runner.py:88} INFO - Job 239: Subtask download_dataset_1_task
[2024-03-18T06:45:27.423+0000] {task_command.py:423} INFO - Running <TaskInstance: two_separate_groups.download_dataset_1_task manual__2024-03-18T06:40:31.356042+00:00 [running]> on host 9958f290dc4a
[2024-03-18T06:45:28.355+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='two_separate_groups' AIRFLOW_CTX_TASK_ID='download_dataset_1_task' AIRFLOW_CTX_EXECUTION_DATE='2024-03-18T06:40:31.356042+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-03-18T06:40:31.356042+00:00'
[2024-03-18T06:45:28.369+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-03-18T06:45:28.405+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'wget -O /opt/***/chicago_crime_data_1.csv https://data.cityofchicago.org/resource/d62x-nvdr.csv?\\$limit=300000']
[2024-03-18T06:45:28.563+0000] {subprocess.py:86} INFO - Output:
[2024-03-18T06:45:28.739+0000] {subprocess.py:93} INFO - --2024-03-18 06:45:28--  https://data.cityofchicago.org/resource/d62x-nvdr.csv?$limit=300000
[2024-03-18T06:45:28.878+0000] {subprocess.py:93} INFO - Resolving data.cityofchicago.org (data.cityofchicago.org)... 52.206.140.205, 52.206.140.199, 52.206.68.26, ...
[2024-03-18T06:45:28.891+0000] {subprocess.py:93} INFO - Connecting to data.cityofchicago.org (data.cityofchicago.org)|52.206.140.205|:443... connected.
[2024-03-18T06:45:29.527+0000] {subprocess.py:93} INFO - HTTP request sent, awaiting response... 200 OK
[2024-03-18T06:45:29.530+0000] {subprocess.py:93} INFO - Length: unspecified [text/csv]
[2024-03-18T06:45:29.532+0000] {subprocess.py:93} INFO - Saving to: ‘/opt/***/chicago_crime_data_1.csv’
[2024-03-18T06:45:29.533+0000] {subprocess.py:93} INFO - 
[2024-03-18T06:45:29.645+0000] {subprocess.py:93} INFO -      0K .......... .......... .......... .......... ..........  426K
[2024-03-18T06:45:29.753+0000] {subprocess.py:93} INFO -     50K .......... .......... .......... .......... ..........  464K
[2024-03-18T06:45:29.754+0000] {subprocess.py:93} INFO -    100K .......... .......... .......... .......... ..........  273M
[2024-03-18T06:45:29.757+0000] {subprocess.py:93} INFO -    150K .......... .......... .......... .......... ..........  252M
[2024-03-18T06:45:29.864+0000] {subprocess.py:93} INFO -    200K .......... .......... .......... .......... ..........  450K
[2024-03-18T06:45:29.865+0000] {subprocess.py:93} INFO -    250K .......... .......... .......... .......... .......... 39.2M
[2024-03-18T06:45:29.866+0000] {subprocess.py:93} INFO -    300K .......... .......... .......... .......... ..........  336M
[2024-03-18T06:45:29.866+0000] {subprocess.py:93} INFO -    350K .......... .......... .......... .......... ..........  294M
[2024-03-18T06:45:29.972+0000] {subprocess.py:93} INFO -    400K .......... .......... .......... .......... ..........  470K
[2024-03-18T06:45:29.995+0000] {subprocess.py:93} INFO -    450K .......... .......... .......... .......... .......... 2.09M
[2024-03-18T06:45:29.997+0000] {subprocess.py:93} INFO -    500K .......... .......... .......... .......... .......... 28.8M
[2024-03-18T06:45:29.998+0000] {subprocess.py:93} INFO -    550K .......... .......... .......... .......... ..........  278M
[2024-03-18T06:45:29.998+0000] {subprocess.py:93} INFO -    600K .......... .......... .......... .......... ..........  417M
[2024-03-18T06:45:30.090+0000] {subprocess.py:93} INFO -    650K .......... .......... .......... .......... ..........  566K
[2024-03-18T06:45:30.091+0000] {subprocess.py:93} INFO -    700K .......... .......... .......... .......... .......... 9.15M
[2024-03-18T06:45:30.092+0000] {subprocess.py:93} INFO -    750K .......... .......... .......... .......... .......... 94.9M
[2024-03-18T06:45:30.093+0000] {subprocess.py:93} INFO -    800K .......... .......... .......... .......... ..........  133M
[2024-03-18T06:45:30.094+0000] {subprocess.py:93} INFO -    850K .......... .......... .......... .......... ..........  193M
[2024-03-18T06:45:30.199+0000] {subprocess.py:93} INFO -    900K .......... .......... .......... .......... ..........  468K
